,X,old_formation,EE,change_to
1,56,2dε,absent,2dε
2,57,A,absent,A
3,14,A',absent,A'
4,58,Aachen,absent,Aachen
5,59,Aalter,absent,Aalter
6,60,Abad,absent,Abad
7,61,Abadeh,absent,Abadeh
8,7246,Abadia,present,Abadia
9,62,Abazinka,absent,Abazinka
10,9698,Abbotsford Mudstone,present,Abbotsford Mudstone
11,63,Abderaz,absent,Abderaz
12,8224,Abeih,present,Abeih
13,9975,Abel Head,present,Abel Head
14,9079,Abels Bay,present,Abels Bay
15,64,Abenaki,absent,Abenaki
16,65,Abercrombie,absent,Abercrombie
17,66,Aberdeen Lake,absent,Aberdeen Lake
18,7145,Aberdouz,present,Aberdouz
19,7013,Aberhan Pliensbach,present,Aberhan Pliensbach
20,7012,Aberhan Sinemur,present,Aberhan Sinemur
21,7014,Aberhan Toarc,present,Aberhan Toarc
22,7811,Abisinia,present,Abisinia
23,8016,Ablakoskövölgy Limestone,present,Ablakoskövölgy Limestone
24,8303,Abrakurrie Limestone,present,Abrakurrie Limestone
25,7712,Abu Durba,present,Abu Durba
26,67,Abu Hashish,absent,Abu Hashish
27,68,Abu Imama,absent,Abu Imama
28,9171,Abu Qada,present,Abu Qada
29,69,Abu Qada/Raha,absent,Abu Qada/Raha
30,9438,Abu Roash,present,Abu Roash
31,19,Abu Tartur,absent,Abu Tartur
32,70,Abundancia,absent,Abundancia
33,71,Acadoparadoxides oelandicus Shales,absent,Acadoparadoxides oelandicus Shales
34,9968,Acanthopyge,present,Acanthopyge
35,72,Acanthopyge Limestone,absent,Acanthopyge Limestone
36,10274,Achdorf,present,Achdorf
37,73,Achen,absent,Achen
38,74,Acheshbok,absent,Acheshbok
39,75,Achladia,absent,Achladia
40,6569,Acoite,present,Acoite
41,76,Acre Limestone,absent,Acre Limestone
42,7918,Acredale,present,Acredale
43,6672,Acton Scott,present,Acton Scott
44,77,Adaev,absent,Adaev
45,7474,Adam Mudstone,present,Adam Mudstone
46,78,Adams Bjerg,absent,Adams Bjerg
47,8603,Adatsag,present,Adatsag
48,79,Adila,absent,Adila
49,7563,Adjuntas,present,Adjuntas
50,9221,Admiral,present,Admiral
51,9560,Adnet,present,Adnet
52,80,Adorf,absent,Adorf
53,81,Adorf-Bänderschiefer,absent,Adorf-Bänderschiefer
54,6764,Advance,present,Advance
55,8606,Adz'va,present,Adz'va
56,82,Adze,absent,Adze
57,8507,Aertashi,present,Aertashi
58,83,Aftenstjernesø,absent,Aftenstjernesø
59,6478,Aftenstjernesø Fjord,present,Aftenstjernesø Fjord
60,20,AG 4,absent,AG 4
61,84,AG4,absent,AG 4
62,9056,Agabyt,present,Agabyt
63,10116,Agardfjellet,present,Agardfjellet
64,9625,Agardhfjellet,present,Agardhfjellet
65,7125,Agatdal,present,Agatdal
66,9283,Ager,present,Ager
67,8713,Agglomeratic Slate,present,Agglomeratic Slate
68,85,Aghia Varvara,absent,Aghia Varvara
69,10038,Agidyl,present,Agidyl
