"","OFFICIAL.LANG.CODE","ISO2.CODE","ISO3.CODE"
"1","EN","KH","KHM"
"2","FR","CH","CHE"
"3","EN","NG","NGA"
"4","EN","CZ","CZE"
"5","EN","UZ","UZB"
"6","FR","GF","GUF"
"7","EN","DE","DEU"
"8","EN","BH","BHR"
"9","EN","MH","MHL"
"10","SP","VE","VEN"
"11","FR","RE","REU"
"12","EN","GY","GUY"
"13","FR","BI","BDI"
"14","EN","KI","KIR"
"15","EN","JO","JOR"
"16","EN","AU","AUS"
"17","SP","EH","ESH"
"18","EN","GE","GEO"
"19","EN","T1","TZ1"
"20","EN","UA","UKR"
"21","EN","ZW","ZWE"
"22","EN","SY","SYR"
"23","EN","TO","TON"
"24","FR","LU","LUX"
"25","EN","JP","JPN"
"26","SP","BO","BOL"
"27","EN","D2","DE2"
"28","EN","AL","ALB"
"29","EN","ME","MNE"
"30","EN","US","USA"
"31","EN","BA","BIH"
"32","EN","PG","PNG"
"33","EN","LV","LVA"
"34","EN","AG","ATG"
"35","SP","AR","ARG"
"36","FR","RO","ROU"
"37","EN","PS","PSE"
"38","EN","JM","JAM"
"39","EN","MV","MDV"
"40","FR","GW","GNB"
"41","FR","MR","MRT"
"42","EN","IR","IRN"
"43","EN","GM","GMB"
"44","FR","NC","NCL"
"45","EN","KS","KOS"
"46","EN","BN","BRN"
"47","SP","BR","BRA"
"48","EN","NO","NOR"
"49","FR","GA","GAB"
"50","EN","T2","TZ2"
"51","EN","IQ","IRQ"
"52","EN","SU","URS"
"53","FR","DJ","DJI"
"54","EN","PL","POL"
"55","EN","SO","SOM"
"56","EN","M1","MY1"
"57","EN","SE","SWE"
"58","EN","PK","PAK"
"59","EN","KY","CYM"
"60","FR","MC","MCO"
"61","EN","BS","BHS"
"62","EN","E1","ET1"
"63","SP","CO","COL"
"64","SP","SV","SLV"
"65","EN","PH","PHL"
"66","EN","SD","SDN"
"67","EN","NU","NIU"
"68","EN","D3","DE3"
"69","EN","BZ","BLZ"
"70","EN","IT","ITA"
"71","EN","FI","FIN"
"72","SP","PY","PRY"
"73","EN","AF","AFG"
"74","EN","AE","ARE"
"75","SP","PE","PER"
"76","FR","CG","COG"
"77","SP","HN","HND"
"78","EN","VI","VIR"
"79","EN","CK","COK"
"80","EN","SL","SLE"
"81","EN","NL","NLD"
"82","FR","TN","TUN"
"83","EN","CY","CYP"
"84","EN","M3","MY3"
"85","EN","KP","PRK"
"86","EN","D1","DE1"
"87","EN","GI","GIB"
"88","EN","TW","TWN"
"89","FR","CD","COD"
"90","EN","MP","MNP"
"91","EN","ET","ETH"
"92","EN","AT","AUT"
"93","EN","CN","CHN"
"94","EN","SC","SYC"
"95","EN","MO","MAC"
"96","EN","UG","UGA"
"97","FR","MA","MAR"
"98","EN","YE","YEM"
"99","EN","M2","MY2"
"100","EN","IM","IMN"
"101","EN","TC","TCA"
"102","EN","LY","LBY"
"103","EN","HR","HRV"
"104","FR","TG","TGO"
"105","FR","SN","SEN"
"106","EN","NF","NFK"
"107","EN","KN","KNA"
"108","EN","BT","BTN"
"109","EN","PW","PLW"
"110","EN","KZ","KAZ"
"111","FR","BJ","BEN"
"112","EN","AW","ABW"
"113","EN","CS","SCG"
"114","SP","DO","DOM"
"115","EN","Y1","YE1"
"116","SP","EC","ECU"
"117","SP","NI","NIC"
"118","SP","CU","CUB"
"119","EN","KW","KWT"
"120","FR","PT","PRT"
"121","EN","Y2","YE2"
"122","EN","GR","GRC"
"123","FR","LB","LBN"
"124","EN","LR","LBR"
"125","EN","AZ","AZE"
"126","SP","ES","ESP"
"127","EN","QA","QAT"
