"","unique.PBDB....formation..."
"1","Carboniferous Limestone"
"2","Zhaojiashan"
"3","Fort Scott"
"4","Pawnee"
"5","Altamont limestone"
"6","Verdigris"
"7","Lost Branch"
"8",""
"9","Hertha"
"10","Swope"
"11","Dennis"
"12","Cherryvale"
"13","Dewey"
"14","Iola"
"15","Wyandotte"
"16","Wann"
"17","Plattsburg"
"18","Stanton"
"19","Oread"
"20","Poleta"
"21","Lecompton"
"22","Deer Creek Limestone"
"23","Schodack"
"24","Scoresby Bay"
"25","Police Post"
"26","Bright Angel"
"27","Mount Whyte"
"28","Shady"
"29","Preble"
"30","Parker Slate"
"31","Kinzers"
"32","Monkton Quartzite"
"33","Langston"
"34","Cathedral Dolomite"
"35","Ute Limestone"
"36","Muav Limestone"
"37","Meagher"
"38","Stephen"
"39","Wheeler"
"40","St. Albans Shale"
"41","Gros Ventre"
"42","Skeels Corner Slate"
"43","Deadwood"
"44","Pilgrim"
"45","Dresbach"
"46","Dunderberg"
"47","Snowy Range"
"48","Franconia"
"49","St. Charles"
"50","Hoyt Limestone"
"51","Trempealeau"
"52","Notch Peak"
"53","Marjum Limestone"
"54","Old Dominion Limestone"
"55","Antietam Sandstone"
"56","Pioche Shale"
"57","Tanyard"
"58","Schaghticoke"
"59","Great Meadows"
"60","Stonehenge Limestone"
"61","House"
"62","Highgate"
"63","Goodwin"
"64","Gorman"
"65","Rockdale Run"
"66","Lower Road River"
"67","Fort Ann"
"68","Ninemile"
"69","Honeycut"
"70","Broken Skull"
"71","Garden City"
"72","Antelope Valley"
"73","Swan Peak"
"74","Barrel Spring"
"75","Deepkill Shale"
"76","Whitesburg"
"77","Duo Lake"
"78","Pamelia"
"79","Benbolt"
"80","Copenhagen"
"81","Chaumont"
"82","Lantz Mills"
"83","Liberty Hall"
"84","Normanskill"
"85","Moccasin"
"86","Dunleith"
"87","Caesar Canyon Limestone"
"88","Kings Falls"
"89","Sugar River"
"90","Verulam"
"91","Denley Limestone"
"92","Dolgeville Facies"
"93","Utica Shale"
"94","Martinsburg"
"95","Onny Shale"
"96","Bills Creek"
"97","Dillsboro"
"98","Tanners Creek"
"99","Maquoketa"
"100","Scales"
"101","Hanson Creek"
"102","Langoyen"
"103","Langara"
"104","Husbergoya Shale"
"105","Waynesville"
"106","Kope"
"107","Bull Fork"
"108","Whitewater"
"109","Bellevue"
"110","Fairview"
"111","Liberty"
"112","Jerrestad Shale"
"113","Lough Shee Mudrocks"
"114","Orchard Creek Shale"
"115","Corryville"
"116","Mount Auburn"
"117","Elkhorn"
"118","Skelgill"
"119","Fossil Hill"
"120","Hopkinton Dolomite"
"121","Wych"
"122","Lower Visby"
"123","Roberts Mountain"
"124","Joslin Hill"
"125","Oak Orchard"
"126","Lockport"
"127","Louisville Limestone"
"128","Upper Visby"
"129","Whitcliffe Beds"
"130","Leintwardine Beds"
"131","Bringewood"
"132","Elton Beds"
"133","Tonoloway Limestone"
"134","Fiddlers Green"
"135","Raisin River"
"136","Cape Phillips"
"137","Read Bay"
"138","Ferriters Cove"
"139","Drom Point"
"140","Solvik"
"141","Manitoulin"
"142","Thorold"
"143","Road River"
"144","Akron"
"145","Kokomo"
"146","Put-In-Bay"
"147","Pentamerus"
"148","Damery Beds"
"149","Cowleigh Park Beds"
"150","Neahga Shale"
"151","Henryhouse"
"152","Sauquoit"
"153","Sutherland River"
"154","Clough"
"155","Dyer Bay"
"156","Cordell"
"157","Rochester Shale"
"158","Syracuse"
"159","Alan Mountain Limestone"
"160","Yohin"
"161","Brazer Dolomite"
"162","Flett"
"163","New Providence Shale"
"164","Tererro"
"165","Monte Cristo Limestone"
"166","Edwardsville"
"167","Locust Point"
"168","Carwood"
"169","Deseret Limestone"
"170","Borden"
"171","Castle Reef Dolomite"
"172","Second Abden Limestone"
"173","Barnett Shale"
"174","Floyd Shale"
"175","Bobcaygeon"
"176","Platteville"
"177","Badger Flat"
"178","Nicolet River"
"179","Power Glen Shale"
"180","Sodus Shale"
"181","Top Hosie Shale"
"182","Great Blue Limestone"
"183","Heath"
"184","Cameron Creek"
"185","Otter"
"186","Amsden"
"187","Bragdon and Baird"
"188","Tor Limestone"
"189","Dalhousie Shale"
"190","Radotinkalk"
"191","Windmill Limestone"
"192","McMonnigal Limestone"
"193","Cap Bon Ami"
"194","Grande Greve"
"195","Oriskany"
"196","Rabbit Hill Limestone"
"197","Sylvania Sandstone"
"198","McColley Canyon"
"199","Onondaga"
"200","Telegraph Canyon"
"201","Marcellus"
"202","Nahanni"
"203","Headless"
"204","Manitoba Limestone"
"205","Horn Plateau"
"206","Mahantango"
"207","Cooking Lake"
"208","Duvernay"
"209","Jefferson"
"210","Long Rapids"
"211","Foreknobs"
"212","Sappington"
"213","Ouray"
"214","Keyser Limestone"
"215","Chagrin Shale"
"216","Roncelles"
"217","Leduc"
"218","Hare Indian"
"219","Slave Point"
"220","Racine"
"221","El Castro"
"222","Beattie Limestone"
"223","Foraker Limestome"
