"","original","updated"
"1","",""
"2","?Echinosphaerites Ls (c)","?Echinosphaerites Ls (c)"
"3","?Lincoln Creek","?Lincoln Creek"
"4","""Antelope Shale""","""Antelope Shale"""
"5","""Balin Oolite""","""Balin Oolite"""
"6","""Capay shale""","""Capay shale"""
"7","""Cortina"" Formation","""Cortina"" Formation"
"8","""Deer Valley"" Formation","""Deer Valley"" Formation"
"9","""Valle Formation""","""Valle Formation"""
"10","AALTEN FORMATION","AALTEN FORMATION"
"11","Aalter (Sands) Formation","Aalter (Sands) Formation"
"12","Aberdaron Formation","Aberdaron Formation"
"13","Abisinia","Abisinia"
"14","Abo Sandstone","Abo Sandstone"
"15","Abo Sandstone Formation","Abo Sandstone Formation"
"16","Abrigo Fm","Abrigo Fm"
"17","Aburayama Formation","Aburayama Formation"
"18","Acatita Formation","Acatita Formation"
"19","Accraian Series","Accraian Series"
"20","Acton Scott Beds","Acton Scott Beds"
"21","Acunsion","Acunsion"
"22","Adaville","Adaville"
"23","Adaville Fm","Adaville Fm"
"24","Admiral Formation","Admiral Formation"
"25","Admire Fm","Admire Fm"
"26","Admire Shale","Admire Shale"
"27","Aeltere Grauwacke","Aeltere Grauwacke"
"28","Agate Beach Formation","Agate Beach Formation"
"29","Agrio Formation","Agrio Formation"
"30","Agua Clara","Agua Clara"
"31","Agueguexite","Agueguexite"
"32","AGUEGUEXQUITE FORMATION","AGUEGUEXQUITE FORMATION"
"33","Aguja Formation","Aguja Formation"
"34","Ahbach Beds","Ahbach Beds"
"35","Ahbach Schichten","Ahbach Schichten"
"36","Ahrdorf Beds","Ahrdorf Beds"
"37","Ahrdorf Formation","Ahrdorf Formation"
"38","Airvault Limestone","Airvault Limestone"
"39","Aizy Formation","Aizy Formation"
"40","Akaiwa Formation","Akaiwa Formation"
"41","Akdombak Formation","Akdombak Formation"
"42","Akeyo Formation","Akeyo Formation"
"43","Akrabon Formation","Akrabon Formation"
"44","ALACHUA FORMATION?","ALACHUA FORMATION?"
"45","ALAJUELA FORMATION","ALAJUELA FORMATION"
"46","Alazan Formation","Alazan Formation"
"47","Albion Fm.","Albion Fm."
"48","Aldwell","Aldwell"
"49","Alegria Formation","Alegria Formation"
"50","Aleman Limestone Formation","Aleman Limestone Formation"
"51","Ali Bashi","Ali Bashi"
"52","Alisitos","Alisitos"
"53","Alisitos Formation","Alisitos Formation"
"54","Allegheny Fm","Allegheny Fm"
"55","Allegheny Formation","Allegheny Formation"
"56","Allen Bay Fm","Allen Bay Fm"
"57","Allen Limestone","Allen Limestone"
"58","Allentown Fm.","Allentown Fm."
"59","Almejas Formation","Almejas Formation"
"60","Almond Fm","Almond Fm"
"61","ALPENA LIMESTONE","ALPENA LIMESTONE"
"62","Alpena Limestone & Dock Street Shale","Alpena Limestone & Dock Street Shale"
"63","Alpena Limestone Formation","Alpena Limestone Formation"
"64","Alpena Ls","Alpena Ls"
"65","Alpena Ls.","Alpena Ls."
"66","Alsea","Alsea"
"67","Alsea Formation","Alsea Formation"
"68","Alston Formation","Alston Formation"
"69","Altamont Formation","Altamont Formation"
"70","Altamont Limestone","Altamont Limestone"
"71","Altamont Ls","Altamont Ls"
"72","Altmühltal Formation","Altmühltal Formation"
"73","Alto Fm","Alto Fm"
"74","Altuda Fm","Altuda Fm"
"75","Alum Sh","Alum Sh"
"76","Alum Shales","Alum Shales"
"77","Alymer","Alymer"
"78","Americus Ls","Americus Ls"
