"","stage","cluster","bivalve","brachiopod","cookiePalaeoLng","cookiePalaeoLat","cookieLith","cookieBath","cookieReef","cookieAbsLat","stage_midpoint","PTME"
"2","3","3_1",1,8,-6393959.06221695,-7510560.22478165,0.942857142857143,0,0,7510560.22478165,517.75,"PrePTME"
"3","3","3_2",1,9,2281040.93778305,814439.775218347,0.984375,0.0416666666666667,0.5,814439.775218347,517.75,"PrePTME"
"4","3","3_3",0,13,7506040.93778305,-85560.2247816529,0.0384615384615384,0.348214285714285,0,85560.2247816529,517.75,"PrePTME"
"5","3","3_4",0,9,1531040.93778305,1139439.77521835,1,0,1,1139439.77521835,517.75,"PrePTME"
"6","4","4_1",1,8,-8846251.56221695,-1565725.22478165,0.24995084790673,0.261583333333333,0.23195,1565725.22478165,510.5,"PrePTME"
"7","4","4_2",2,7,-10743959.0622169,-2635560.22478165,0.5,0.25,0.75,2635560.22478165,510.5,"PrePTME"
"8","4","4_3",0,10,-11818917.8122169,-1885560.22478165,0.334175,0.5,0,1885560.22478165,510.5,"PrePTME"
"9","4","4_4",0,8,-11343959.0622169,2039439.77521835,0.25,0.75,0,2039439.77521835,510.5,"PrePTME"
"10","5","5_1",0,16,-11093959.0622169,2064439.77521835,0.415940224159402,1,0,2064439.77521835,505.5,"PrePTME"
"11","5","5_2",0,6,9108517.18778305,1200813.52521835,0.947002380952381,0,0,1200813.52521835,505.5,"PrePTME"
"12","10","10_1",0,8,-11143959.0622169,1614439.77521835,1,0,0,1614439.77521835,488.925,"PrePTME"
"13","11","11_1",1.5,15.5,8222205.93778305,-1362197.72478165,0.91159,0.2387625,0,1362197.72478165,481.975,"PrePTME"
"14","11","11_2",4,10,-7268824.06221695,-4260178.97478165,0.125768939393939,0.112926923076923,0,4260178.97478165,481.975,"PrePTME"
"15","11","11_3",0,12,-10968959.0622169,1389439.77521835,0.891666666666666,0,0,1389439.77521835,481.975,"PrePTME"
"16","12","12_1",5,3,-4968959.06221695,-4760560.22478165,0,0,0,4760560.22478165,474.2,"PrePTME"
"17","12","12_2",0,10,-10902287.8122169,1231251.02521835,0.888858333333333,0.944429166666667,0,1231251.02521835,474.2,"PrePTME"
"18","12","12_3",0,26,8266153.43778305,-1209887.72478165,0.412367045454546,0.7258925,0.2227625,1209887.72478165,474.2,"PrePTME"
"19","12","12_4",0,22,-3945636.56221695,-5109805.22478165,0.475600778721683,0.24245,0.370394444444444,5109805.22478165,474.2,"PrePTME"
"20","12","12_5",0,12,-4343959.06221695,-4935560.22478165,0.257391304347826,0,0,4935560.22478165,474.2,"PrePTME"
"21","12","12_6",0,6,-10543959.0622169,989439.775218347,0.947368421052632,0,0,989439.775218347,474.2,"PrePTME"
"22","13","13_1",1,16,-10978936.5622169,1068696.02521835,0.966003235815603,0.188304974489796,0.0373021276595745,1068696.02521835,470.35,"PrePTME"
"23","13","13_2",1,31,8256040.93778305,-1060560.22478165,0.619047619047619,0.194444444444445,0,1060560.22478165,470.35,"PrePTME"
"24","13","13_3",0,14,7931040.93778305,-1135560.22478165,0.214285714285714,0.25,0,1135560.22478165,470.35,"PrePTME"
"25","13","13_4",0,20,-4419172.81221695,-4747991.47478165,0.89216818488529,0.1243125,0.1243125,4747991.47478165,470.35,"PrePTME"
"26","13","13_5",0,29,-4041495.31221695,-4855456.47478165,0.808320840743639,0.0844375,0.296345302492643,4855456.47478165,470.35,"PrePTME"
"27","13","13_6",0,10,-10518959.0622169,839439.775218347,0.88235294117647,0,0,839439.775218347,470.35,"PrePTME"
"28","13","13_7",0,7,-4943959.06221695,-4685560.22478165,1,0.75,0.25,4685560.22478165,470.35,"PrePTME"
"29","14","14_1",6,24,-6368920.31221695,-6015093.97478165,0.00880936363636364,0.406741005535055,0,6015093.97478165,463.8,"PrePTME"
"30","14","14_2",8,4,1506069.68778305,-7410510.22478165,0,1,0,7410510.22478165,463.8,"PrePTME"
"31","14","14_3",11,13,-518959.062216949,-8210560.22478165,0,1,0,8210560.22478165,463.8,"PrePTME"
"32","14","14_4",1,18,-5252329.06221695,-3668861.47478165,0.666575,0.5,0.3332875,3668861.47478165,463.8,"PrePTME"
"33","14","14_5",1,30,-11285459.0622169,-2302381.47478165,1,0.415578389830508,0,2302381.47478165,463.8,"PrePTME"
