"","stage","cluster","bivalve","brachiopod","cookiePalaeoLng","cookiePalaeoLat","cookieLith","cookieBath","cookieReef","cookieAbsLat"
"2","3","3_1",1,9,-6393959.06221695,-7510560.22478165,0.942857142857143,0,0,7510560.22478165
"3","3","3_2",1,9,2281040.93778305,814439.775218347,0.984375,0.0416666666666667,0.5,814439.775218347
"4","3","3_3",0,10,7506040.93778305,-85560.2247816529,0.0384615384615384,0.348214285714285,0,85560.2247816529
"5","3","3_4",0,10,1531040.93778305,1139439.77521835,1,0,1,1139439.77521835
"6","4","4_1",1,9,-8845354.96221695,-1563558.32478165,0.255786271330154,0.256336666666667,0.220314,1563558.32478165
"7","4","4_2",2,8,-10743959.0622169,-2635560.22478165,0.5,0.25,0.75,2635560.22478165
"8","4","4_3",0,10,-11818952.362217,-1885560.22478165,0.333343,0.5,0,1885560.22478165
"9","4","4_4",0,10,-11343959.0622169,2039439.77521835,0.25,0.75,0,2039439.77521835
"10","5","5_1",0,10,-11093959.0622169,2064439.77521835,0.415940224159402,1,0,2064439.77521835
"11","5","5_2",0,10,9105302.33778305,1199644.17521835,0.944555047619048,0,0,1199644.17521835
"12","10","10_1",0,10,-11143959.0622169,1614439.77521835,1,0,0,1614439.77521835
"13","11","11_1",2,8,8221780.53778305,-1362582.62478165,0.9114328,0.235632,0,1362582.62478165
"14","11","11_2",3,7,-7269207.86221695,-4260382.02478165,0.124644525252525,0.113184,0,4260382.02478165
"15","11","11_3",0,10,-10968959.0622169,1389439.77521835,0.891666666666666,0,0,1389439.77521835
"16","12","12_1",NA,NA,NA,NA,NA,NA,NA,NA
"17","12","12_2",NA,NA,NA,NA,NA,NA,NA,NA
"18","12","12_3",NA,NA,NA,NA,NA,NA,NA,NA
"19","12","12_4",NA,NA,NA,NA,NA,NA,NA,NA
"20","12","12_5",NA,NA,NA,NA,NA,NA,NA,NA
"21","12","12_6",NA,NA,NA,NA,NA,NA,NA,NA
"22","13","13_1",NA,NA,NA,NA,NA,NA,NA,NA
"23","13","13_2",NA,NA,NA,NA,NA,NA,NA,NA
"24","13","13_3",NA,NA,NA,NA,NA,NA,NA,NA
"25","13","13_4",NA,NA,NA,NA,NA,NA,NA,NA
"26","13","13_5",NA,NA,NA,NA,NA,NA,NA,NA
"27","13","13_6",NA,NA,NA,NA,NA,NA,NA,NA
"28","13","13_7",NA,NA,NA,NA,NA,NA,NA,NA
"29","14","14_1",NA,NA,NA,NA,NA,NA,NA,NA
"30","14","14_2",NA,NA,NA,NA,NA,NA,NA,NA
"31","14","14_3",NA,NA,NA,NA,NA,NA,NA,NA
"32","14","14_4",NA,NA,NA,NA,NA,NA,NA,NA
"33","14","14_5",NA,NA,NA,NA,NA,NA,NA,NA
"34","14","14_6",NA,NA,NA,NA,NA,NA,NA,NA
"35","14","14_7",NA,NA,NA,NA,NA,NA,NA,NA
"36","14","14_8",NA,NA,NA,NA,NA,NA,NA,NA
"37","14","14_9",NA,NA,NA,NA,NA,NA,NA,NA
"38","14","14_10",NA,NA,NA,NA,NA,NA,NA,NA
"39","14","14_11",NA,NA,NA,NA,NA,NA,NA,NA
"40","14","14_12",NA,NA,NA,NA,NA,NA,NA,NA
"41","14","14_13",NA,NA,NA,NA,NA,NA,NA,NA
"42","14","14_14",NA,NA,NA,NA,NA,NA,NA,NA
"43","14","14_15",NA,NA,NA,NA,NA,NA,NA,NA
"44","14","14_16",NA,NA,NA,NA,NA,NA,NA,NA
"45","14","14_17",NA,NA,NA,NA,NA,NA,NA,NA
"46","14","14_18",NA,NA,NA,NA,NA,NA,NA,NA
"47","14","14_19",NA,NA,NA,NA,NA,NA,NA,NA
"48","14","14_20",NA,NA,NA,NA,NA,NA,NA,NA
"49","14","14_21",NA,NA,NA,NA,NA,NA,NA,NA
