"","stage","cluster","bivalve","brachiopod","cookiePalaeoLng","cookiePalaeoLat","cookieLith","cookieBath","cookieReef","cookieAbsLat","stage_midpoint","PTME"
"2","4","4_1",1,10,-8844709.06221695,-1562810.22478165,0.271247129482424,0.277777777777778,0.181666666666667,1562810.22478165,510.5,"PrePTME"
"3","4","4_2",0,13,-11818959.0622169,-1885560.22478165,0.333333333333333,0.5,0,1885560.22478165,510.5,"PrePTME"
"4","5","5_1",0,8,9090124.27111639,1191782.27521835,0.932554761904762,0,0,1191782.27521835,505.5,"PrePTME"
"5","11","11_1",2.5,16,8235244.27111638,-1346577.72478165,0.88302,0.315030555555556,0,1346577.72478165,481.975,"PrePTME"
"6","11","11_2",4,13,-7269959.06221695,-4259726.89144832,0.127693602693603,0.108461538461539,0,4259726.89144832,481.975,"PrePTME"
"7","12","12_1",0,11,-10902292.3955503,1231106.44188501,0.888888888888889,0.944444444444444,0,1231106.44188501,474.2,"PrePTME"
"8","12","12_2",0,18.5,-3943709.06221695,-5110643.55811499,0.454588052858684,0.250833333333333,0.386635802469136,5110643.55811499,474.2,"PrePTME"
"9","12","12_3",0,23,8264374.27111638,-1202226.89144832,0.507575757575758,0.766666666666667,0.166666666666667,1202226.89144832,474.2,"PrePTME"
"10","13","13_1",2,19.75,-10994603.2288836,1073783.94188501,0.971956176122932,0.209957397959184,0.0444652482269504,1073783.94188501,470.35,"PrePTME"
"11","13","13_2",0,21,-4418959.89555028,-4747976.89144832,0.892668364822312,0.124166666666667,0.124166666666667,4747976.89144832,470.35,"PrePTME"
"12","13","13_3",0,24,-4039269.89555028,-4855811.89144832,0.808655279629453,0.0850666666666667,0.291748470948012,4855811.89144832,470.35,"PrePTME"
"13","14","14_1",7,27,-6360554.06221695,-6018354.39144832,0.006264,0.433035547355474,0,6018354.39144832,463.8,"PrePTME"
"14","14","14_2",10,6,1505970.93778305,-7410543.55811499,0,1,0,7410543.55811499,463.8,"PrePTME"
"15","14","14_3",1,19,-5252292.39555028,-3668893.55811499,0.666666666666667,0.5,0.333333333333333,3668893.55811499,463.8,"PrePTME"
"16","14","14_4",1,27,-11285625.7288836,-2302226.89144832,1,0.412429378531073,0,2302226.89144832,463.8,"PrePTME"
"17","14","14_5",0,18,-11085625.7288836,-2402226.89144832,0.868055555555556,0.166666666666667,0.166666666666667,2402226.89144832,463.8,"PrePTME"
"18","14","14_6",0,30,-8002292.39555028,-2218893.55811499,0.276255707762557,0.5,0.5,2218893.55811499,463.8,"PrePTME"
"19","14","14_7",0,10,-4490459.06221695,-4587893.55811499,0.778695526695527,0,0,4587893.55811499,463.8,"PrePTME"
"20","14","14_8",0,17,-5518959.06221695,-4035560.22478165,0.666666666666667,0.5,0.333333333333333,4035560.22478165,463.8,"PrePTME"
"21","14","14_9",3,13,-11268959.0622169,-2102226.89144832,0.833333333333333,0.5,0,2102226.89144832,463.8,"PrePTME"
"22","14","14_10",0,11,-4902292.39555028,-4035560.22478165,1,0.333333333333333,0.333333333333333,4035560.22478165,463.8,"PrePTME"
"23","14","14_11",13,20,-11054441.5622169,-2237034.39144832,0.5,0.5,0,2237034.39144832,463.8,"PrePTME"
"24","14","14_12",1,14,-11498771.5622169,-1934386.89144832,0.5,0.5,0,1934386.89144832,463.8,"PrePTME"
"25","15","15_1",8,20,-9962562.39555028,-2504161.05811499,0.841385532407407,0.203091666666667,0.501000396825397,2504161.05811499,455.5,"PrePTME"
"26","15","15_2",6,17,-11132596.5622169,-1643484.39144832,0.681931025641026,0.392208333333333,0.008275,1643484.39144832,455.5,"PrePTME"
"27","15","15_3",6,16.5,-5699110.72888362,-3535276.89144832,0.422623589993502,0.556173220973783,0.222680740740741,3535276.89144832,455.5,"PrePTME"
"28","15","15_4",6,28.5,-6405980.72888362,-5493652.72478165,0.0434955741506201,0.470304896290387,0.0628583333333333,5493652.72478165,455.5,"PrePTME"
"29","15","15_5",13,25,1431040.93778305,-7235560.22478165,0.0198412698412698,0.410628019323671,0,7235560.22478165,455.5,"PrePTME"
"30","15","15_6",7.5,35,-7943217.39555028,-2235180.22478165,0.00894058524173028,0.655308870967742,0,2235180.22478165,455.5,"PrePTME"
"31","15","15_7",15,11,-11109193.2288836,-1239091.05811499,0.04205,0.321583333333333,0.139708333333333,1239091.05811499,455.5,"PrePTME"
"32","15","15_8",7,20,-10286896.5622169,-2286020.22478165,1,0.572541851851852,0,2286020.22478165,455.5,"PrePTME"
"33","15","15_9",10,17,-11002703.2288836,-2508762.72478165,1,0.311120469662921,0.0425,2508762.72478165,455.5,"PrePTME"
"34","15","15_10",0,21,-4863016.56221695,-3776147.72478165,0.800724515543922,0.232925,0.200291666666667,3776147.72478165,455.5,"PrePTME"
"35","15","15_11",1,19,6297707.60444972,-235560.224781653,1,0.518518518518519,0.037037037037037,235560.224781653,455.5,"PrePTME"
"36","15","15_12",0,14,-10459704.8955503,1902868.10855168,1,0.898200555555556,0.075175,1902868.10855168,455.5,"PrePTME"
"37","15","15_13",0,21,-10868959.0622169,131106.441885014,0.696296296296296,1,0,131106.441885014,455.5,"PrePTME"
"38","15","15_14",0,25,2878230.10444972,-1901110.22478165,0.629752962962963,0.216396296296296,0.629752962962963,1901110.22478165,455.5,"PrePTME"
"39","15","15_15",0,15,-4799000.72888362,-4187425.22478165,0.852933333333333,0.5,0.5,4187425.22478165,455.5,"PrePTME"
"40","15","15_16",1,25,-10976384.0622169,-2712848.55811499,0.91359817405735,0.537900187251376,0.096722019587977,2712848.55811499,455.5,"PrePTME"
"41","15","15_17",0,14,-1485625.72888362,514439.775218347,0.386344086021505,0.333333333333333,0,514439.775218347,455.5,"PrePTME"
"42","16","16_1",8,15.5,-9887580.72888361,-2753467.72478165,0.285569444444444,0.795925,0.121733333333333,2753467.72478165,449,"PrePTME"
"43","16","16_2",13,26,-10980382.3955503,-1730851.05811499,0.468319383763902,0.53575,0.124375,1730851.05811499,449,"PrePTME"
"44","16","16_3",11,28,-5714209.06221695,-3280754.39144832,0.768859846743295,0.611666666666667,0.231966666666667,3280754.39144832,449,"PrePTME"
"45","16","16_4",12,13,-9592936.56221695,-2614343.55811499,0.793426744186047,0.412325,0.238375,2614343.55811499,449,"PrePTME"
"46","16","16_5",7,27,-6237719.06221695,-5135987.72478165,0.34764,0.638526136363636,0.192441666666667,5135987.72478165,449,"PrePTME"
"47","16","16_6",11.5,29.5,1331040.93778305,-6910560.22478165,0.0671732305936073,0.755464480874317,0,6910560.22478165,449,"PrePTME"
"48","16","16_7",1,26,7346127.60444972,-111966.058114986,0.18332235042735,0.499076647940075,0.135130813953488,111966.058114986,449,"PrePTME"
"49","16","16_8",2,33,-6187989.06221695,-4860586.89144832,0.0648705922009959,0.823906029810298,0,4860586.89144832,449,"PrePTME"
"50","16","16_9",1,31,-6135625.72888362,-4635560.22478165,0.00803212851405623,0.991967871485944,0.00803212851405623,4635560.22478165,449,"PrePTME"
"51","16","16_10",10,37.5,-7844377.39555028,-2236444.39144832,0,0.579110696517413,0,2236444.39144832,449,"PrePTME"
"52","16","16_11",4,29,-8895276.56221695,-2570696.89144832,0.601933736936638,0.609733333333333,0.0529666666666667,2570696.89144832,449,"PrePTME"
"53","16","16_12",15,22,-10179173.2288836,-2374931.05811499,0.769198803461996,0.525948544973545,0.116803681318681,2374931.05811499,449,"PrePTME"
"54","16","16_13",14,20,-10542709.0622169,-1886393.55811499,0.706617647058823,0.833333333333333,0,1886393.55811499,449,"PrePTME"
"55","16","16_14",0,29,12853937.6044497,2055217.27521835,0.942949670052792,0.460224800684764,0.00182701149425287,2055217.27521835,449,"PrePTME"
"56","16","16_15",0,21,-5510980.72888362,-3370116.05811499,0.737121153846154,0.408833333333333,0.408466666666667,3370116.05811499,449,"PrePTME"
"57","16","16_16",0,16,7780806.77111638,32458.9418850138,0.548222222222222,0.601275,0.235091666666667,32458.9418850138,449,"PrePTME"
"58","16","16_17",0,18,-11818959.0622169,-2102226.89144832,0.700379867046534,0.833333333333333,0,2102226.89144832,449,"PrePTME"
"59","16","16_18",0,15,-10148248.2288836,-381584.39144832,0.569259794207317,0.5,0.5,381584.39144832,449,"PrePTME"
"60","16","16_19",0,16,-10367547.3955503,1552256.44188501,1,0.81115,0.18885,1552256.44188501,449,"PrePTME"
"61","16","16_20",0,20.5,1781040.93778305,-1485560.22478165,1,0.5,0.5,1485560.22478165,449,"PrePTME"
"62","16","16_21",0,19,-7102292.39555028,-2035560.22478165,0.583333333333333,0.5,0.166666666666667,2035560.22478165,449,"PrePTME"
"63","16","16_22",0,20,-3778054.06221695,-1509436.05811499,0.852191666666667,0.352591666666667,0.352591666666667,1509436.05811499,449,"PrePTME"
"64","16","16_23",0,21.5,-4892079.89555028,-3579248.55811499,0.899536952638005,0.415033333333333,0.331977777777778,3579248.55811499,449,"PrePTME"
"65","16","16_24",0,11,3381040.93778305,-5285560.22478165,0,0.666666666666667,0,5285560.22478165,449,"PrePTME"
"66","16","16_25",0,24,-5585625.72888362,-5252226.89144832,0,1,0,5252226.89144832,449,"PrePTME"
"67","16","16_26",1,31,-7681480.72888362,-2135509.39144832,0.24965,0.374783333333333,0.125025,2135509.39144832,449,"PrePTME"
"68","16","16_27",10,20,-10666944.8955503,-2777324.39144832,0.633165772537853,0.467373217868568,0.0175525788387857,2777324.39144832,449,"PrePTME"
"69","16","16_28",7,19,-8952292.39555028,-735560.224781653,1,0.5,0.5,735560.224781653,449,"PrePTME"
"70","17","17_1",6,15,7414374.27111638,-4452226.89144832,0,1,0,4452226.89144832,444.15,"PrePTME"
"71","17","17_2",3,19,7704453.43778305,206895.60855168,0.388185389610389,0.152358333333333,0.152358333333333,206895.60855168,444.15,"PrePTME"
"72","17","17_3",1,21.75,-5436390.72888362,-3155921.89144832,0.79735,0.5,0.398675,3155921.89144832,444.15,"PrePTME"
"73","17","17_4",0,29,-6127042.39555028,-4226976.89144832,0.261904761904762,0.790223577235772,0.0825,4226976.89144832,444.15,"PrePTME"
"74","17","17_5",0,22,-8612830.72888361,-2515687.72478165,0.445969149659864,0.168471078431373,0.831528921568627,2515687.72478165,444.15,"PrePTME"
"75","17","17_6",0,15,-4963449.06221695,-3149272.72478165,0.719725,0.5,0.5,3149272.72478165,444.15,"PrePTME"
"76","18","18_1",0,27,-6096353.22888362,-3896432.72478165,0,0.550833333333333,0,3896432.72478165,441.8,"PrePTME"
"77","18","18_2",0,19.25,-8400944.89555028,-2580762.72478165,0.681099238536861,0.437032407407407,0.108007407407407,2580762.72478165,441.8,"PrePTME"
"78","18","18_3",0,15,7264374.27111638,-4718893.55811499,0.088888888888889,0.5,0,4718893.55811499,441.8,"PrePTME"
"79","18","18_4",0,20,-4991787.39555028,-2699933.55811499,0.947725,0.425525,0.504928333333333,2699933.55811499,441.8,"PrePTME"
"80","18","18_5",0,26.5,-5652292.39555028,-2785560.22478165,0.0374149659863947,0.5,0,2785560.22478165,441.8,"PrePTME"
"81","19","19_1",1,25,-8200628.22888362,-2653792.72478165,0.96647879539115,0.534576262626262,0.465423737373737,2653792.72478165,439.55,"PrePTME"
"82","19","19_2",2,23,-10304792.3955503,-2190143.55811499,1,0.768103448275862,0,2190143.55811499,439.55,"PrePTME"
"83","19","19_3",7,21,-9323728.22888361,-2856326.89144832,0.856853133903134,0.878151702724359,0,2856326.89144832,439.55,"PrePTME"
"84","19","19_4",0,32,-6102959.06221695,-3711560.22478165,0.166666666666667,0.5,0.42,3711560.22478165,439.55,"PrePTME"
"85","19","19_5",0,19,-5001219.89555028,-2476711.89144832,1,0.440308333333333,0.554916333333333,2476711.89144832,439.55,"PrePTME"
"86","20","20_1",8,27,-8927824.89555028,-2918314.39144832,0.168032402904004,0.743676010626011,0,2918314.39144832,435.75,"PrePTME"
"87","20","20_2",3,30,-6017628.22888362,-3249819.39144832,0,0.539066666666667,0,3249819.39144832,435.75,"PrePTME"
"88","20","20_3",8,15.25,7753663.43778305,558366.441885014,0.0210833333333334,0.5,0,558366.441885014,435.75,"PrePTME"
"89","20","20_4",9,27.5,-6797194.06221695,-1928179.39144832,0.189711111111111,0.569541666666667,0.14335,1928179.39144832,435.75,"PrePTME"
"90","20","20_5",1,25,-7980542.39555028,-2613560.22478165,0.9425,0.224166666666667,0.336481481481481,2613560.22478165,435.75,"PrePTME"
"91","20","20_6",1,18,-6518959.06221695,-1718893.55811499,1,0,0.666666666666667,1718893.55811499,435.75,"PrePTME"
"92","20","20_7",0,20,-9082121.56221695,-1585203.55811499,1,0,0.80853950617284,1585203.55811499,435.75,"PrePTME"
"93","20","20_8",0,20,-5043951.56221695,-1895345.22478165,1,0.5,0.5,1895345.22478165,435.75,"PrePTME"
