"","stage","cluster","bivalve","brachiopod","cookiePalaeoLng","cookiePalaeoLat","cookieLith","cookieBath","cookieReef","cookieAbsLat","stage_midpoint","PTME"
"2","4","4_1",2,13,-8844709.06221695,-1562810.22478165,0.271247129482424,0.277777777777778,0.181666666666667,1562810.22478165,510.5,"PrePTME"
"3","4","4_2",0,15,-11818959.0622169,-1885560.22478165,0.333333333333333,0.5,0,1885560.22478165,510.5,"PrePTME"
"4","5","5_1",0,15,9090045.93778305,1191895.60855168,0.931749206349206,0,0,1191895.60855168,505.5,"PrePTME"
"5","11","11_1",2,13,8235109.27111638,-1346687.72478165,0.8835,0.314363888888889,0,1346687.72478165,481.975,"PrePTME"
"6","11","11_2",3,12,-7269959.06221695,-4259726.89144832,0.127693602693603,0.108461538461539,0,4259726.89144832,481.975,"PrePTME"
"7","12","12_1",0,15,-10902292.3955503,1231106.44188501,0.888888888888889,0.944444444444444,0,1231106.44188501,474.2,"PrePTME"
"8","12","12_2",0,15,-3943709.06221695,-5110643.55811499,0.454588052858684,0.250833333333333,0.386635802469136,5110643.55811499,474.2,"PrePTME"
"9","12","12_3",0,15,8264374.27111638,-1202226.89144832,0.507575757575758,0.766666666666667,0.166666666666667,1202226.89144832,474.2,"PrePTME"
"10","13","13_1",1,14,-10994463.2288836,1073796.44188501,0.971942287234043,0.209553826530612,0.0444652482269504,1073796.44188501,470.35,"PrePTME"
"11","13","13_2",0,15,-4418919.89555028,-4748105.22478165,0.893037775528565,0.12545,0.12545,4748105.22478165,470.35,"PrePTME"
"12","13","13_3",0,15,-4039151.56221695,-4855840.22478165,0.808153577089271,0.0843083333333333,0.29193080751255,4855840.22478165,470.35,"PrePTME"
"13","14","14_1",2,13,-6360779.89555028,-6018456.05811499,0.00632618181818182,0.431391943419434,0,6018456.05811499,463.8,"PrePTME"
"14","14","14_2",11,4,1505932.60444972,-7410621.05811499,0,1,0,7410621.05811499,463.8,"PrePTME"
"15","14","14_3",0,15,-5252292.39555028,-3668893.55811499,0.666666666666667,0.5,0.333333333333333,3668893.55811499,463.8,"PrePTME"
"16","14","14_4",0,15,-11285625.7288836,-2302226.89144832,1,0.412429378531073,0,2302226.89144832,463.8,"PrePTME"
"17","14","14_5",0,15,-11085625.7288836,-2402226.89144832,0.868055555555556,0.166666666666667,0.166666666666667,2402226.89144832,463.8,"PrePTME"
