"","stage_cell","stage","cell","bivalve","brachiopod","cellPalaeoLng","cellPalaeoLat","cellLith","cellBath","cellReef","cellAbsLat","PTME","n"
"1","38_30499","38","30499","14","28",-3393959.06221695,-410560.224781653,0,1,0,410560.224781653,"PrePTME",532
"2","38_29123","38","29123","9","32",-2993959.06221695,-10560.2247816529,0,0.0517241379310345,0,10560.2247816529,"PrePTME",478
"3","38_29811","38","29811","52","49",-3193959.06221695,-210560.224781653,0.185185185185185,0.103448275862069,0,210560.224781653,"PrePTME",7040
"4","38_30155","38","30155","24","27",-3293959.06221695,-310560.224781653,0,1,0,310560.224781653,"PrePTME",587
"5","39_29466","39","29466","20","17",-3193959.06221695,-110560.224781653,0,1,0,110560.224781653,"PrePTME",308
"6","39_29465","39","29465","19","21",-3293959.06221695,-110560.224781653,0,1,0,110560.224781653,"PrePTME",641
"7","13_25249","13","25249","2","19",-10893959.0622169,1089439.77521835,1,0.72972972972973,0,1089439.77521835,"PrePTME",74
"8","16_38714","16","38714","6","23",-9893959.06221695,-2810560.22478165,0.405797101449275,0.836734693877551,0,2810560.22478165,"PrePTME",72
"9","16_38016","16","38016","23","41",-10693959.0622169,-2610560.22478165,0.901166781056966,0.762473647224174,0,2610560.22478165,"PrePTME",1762
"10","16_38362","16","38362","21","45",-10593959.0622169,-2710560.22478165,0.984848484848485,0.306122448979592,0,2710560.22478165,"PrePTME",1851
"11","16_35598","16","35598","30","23",-10993959.0622169,-1910560.22478165,1,0.571428571428571,0,1910560.22478165,"PrePTME",153
"12","16_38015","16","38015","24","40",-10793959.0622169,-2610560.22478165,0.935483870967742,0.631578947368421,0.0207877461706783,2610560.22478165,"PrePTME",1032
"13","16_38017","16","38017","26","39",-10593959.0622169,-2610560.22478165,0.96969696969697,0.713717693836978,0,2610560.22478165,"PrePTME",1445
"14","16_38361","16","38361","30","43",-10693959.0622169,-2710560.22478165,0.807400379506641,0.761,0,2710560.22478165,"PrePTME",1139
"15","16_37671","16","37671","8","13",-10693959.0622169,-2510560.22478165,1,0,0.193181818181818,2510560.22478165,"PrePTME",103
"16","20_39068","20","39068","4","46",-8993959.06221695,-2910560.22478165,0.273885350318471,1,0,2910560.22478165,"PrePTME",157
"17","21_39073","21","39073","11","38",-8493959.06221695,-2910560.22478165,0.24375,0,0,2910560.22478165,"PrePTME",191
"18","21_38726","21","38726","9","51",-8693959.06221695,-2810560.22478165,0.428571428571429,0.605442176870748,0.2,2810560.22478165,"PrePTME",259
"19","24_41494","24","41494","3","7",-7893959.06221695,-3610560.22478165,0.769230769230769,0,0,3610560.22478165,"PrePTME",29
"20","20_40133","20","40133","3","39",-5993959.06221695,-3210560.22478165,0,1,0,3210560.22478165,"PrePTME",416
"21","25_41155","25","41155","5","7",-7293959.06221695,-3510560.22478165,1,0,0,3510560.22478165,"PrePTME",37
"22","34_38767","34","38767","17","38",-4593959.06221695,-2810560.22478165,0.0309278350515464,0,0,2810560.22478165,"PrePTME",374
"23","34_39457","34","39457","18","32",-4593959.06221695,-3010560.22478165,0,1,0,3010560.22478165,"PrePTME",176
"24","16_35944","16","35944","4","13",-10893959.0622169,-2010560.22478165,1,0,0,2010560.22478165,"PrePTME",99
"25","15_34561","15","34561","2","8",-11193959.0622169,-1610560.22478165,1,0,0,1610560.22478165,"PrePTME",25
"26","16_35599","16","35599","1","25",-10893959.0622169,-1910560.22478165,0.5,0.555555555555556,0,1910560.22478165,"PrePTME",130
"27","15_35980","15","35980","2","13",-7293959.06221695,-2010560.22478165,0.93939393939394,0,0,2010560.22478165,"PrePTME",37
"28","17_33596","17","33596","3","37",-4193959.06221695,-1310560.22478165,0.238938053097345,0.76,0,1310560.22478165,"PrePTME",113
"29","16_38026","16","38026","10","12",-9693959.06221695,-2610560.22478165,0.822222222222222,0,0,2610560.22478165,"PrePTME",45
"30","29_38443","29","38443","16","72",-2493959.06221695,-2710560.22478165,0.141104294478528,0.460431654676259,0.23125,2710560.22478165,"PrePTME",209
"31","30_45316","30","45316","26","44",-5193959.06221695,-4710560.22478165,0,0.609375,0,4710560.22478165,"PrePTME",298
"32","32_42901","32","42901","4","16",-5193959.06221695,-4010560.22478165,0,1,0,4010560.22478165,"PrePTME",53
"33","40_28088","40","28088","12","27",-2993959.06221695,289439.775218347,0.236065573770492,0.810526315789474,0,289439.775218347,"PrePTME",309
"34","39_28432","39","28432","15","36",-3093959.06221695,189439.775218347,0.449532710280374,0.654054054054054,0,189439.775218347,"PrePTME",1631
"35","40_28433","40","28433","8","21",-2993959.06221695,189439.775218347,0.142857142857143,0.848484848484849,0,189439.775218347,"PrePTME",63
"36","40_27743","40","27743","8","20",-2993959.06221695,389439.775218347,0.46875,0.745454545454545,0,389439.775218347,"PrePTME",64
