"","stage_cell","stage","cell","bivalve","brachiopod","cellPalaeoLng","cellPalaeoLat","cellAbsLat","PTME","n","temp","bath"
"1","16_38017",16,38017,5,26,-10593959.0622169,-2610560.22478165,2610560.22478165,"PrePTME",67,26.7901859283447,-3480
"2","16_38016",16,38016,2,16,-10693959.0622169,-2610560.22478165,2610560.22478165,"PrePTME",43,26.8123188018799,-3480
"3","16_37671",16,37671,3,13,-10693959.0622169,-2510560.22478165,2510560.22478165,"PrePTME",40,26.8123188018799,-3480
"9","38_31185",38,31185,10,13,-3793959.06221695,-610560.224781653,610560.224781653,"PrePTME",49,24.3918533325195,-40
"10","39_30496",39,30496,4,21,-3693959.06221695,-410560.224781653,410560.224781653,"PrePTME",58,24.9866046905518,-120
"11","39_30841",39,30841,3,10,-3693959.06221695,-510560.224781653,510560.224781653,"PrePTME",28,25.0550174713135,-200
"23","78_12211",78,12211,48,0,-3693959.06221695,4889439.77521835,4889439.77521835,"PostPTME",97,22.5312805175781,-40
"25","78_15354",78,15354,6,0,106040.937783051,3989439.77521835,3989439.77521835,"PostPTME",20,26.7325916290283,-240
"32","77_12847",77,12847,11,0,-9093959.06221695,4689439.77521835,4689439.77521835,"PostPTME",23,22.9191818237305,-5200
"33","77_8399",77,8399,9,0,-5393959.06221695,5989439.77521835,5989439.77521835,"PostPTME",22,18.1767234802246,-440
"34","72_10190",72,10190,21,1,1206040.93778305,5489439.77521835,5489439.77521835,"PostPTME",44,20.3516063690186,-80
"35","71_11573",71,11573,11,13,1506040.93778305,5089439.77521835,5089439.77521835,"PostPTME",44,20.8450984954834,0
"36","71_11574",71,11574,15,12,1606040.93778305,5089439.77521835,5089439.77521835,"PostPTME",53,20.8450984954834,0
"37","71_11229",71,11229,2,20,1606040.93778305,5189439.77521835,5189439.77521835,"PostPTME",43,20.8450984954834,0
"41","73_14267",73,14267,9,0,-5093959.06221695,4289439.77521835,4289439.77521835,"PostPTME",21,26.0695858001709,-80
"42","71_13304",71,13304,12,8,2106040.93778305,4589439.77521835,4589439.77521835,"PostPTME",43,24.52467918396,-2480
"43","64_36778",64,36778,2,11,3506040.93778305,-2210560.22478165,2210560.22478165,"PostPTME",26,28.6360378265381,-3080
"44","63_36433",63,36433,11,11,3506040.93778305,-2110560.22478165,2110560.22478165,"PostPTME",45,28.9802341461182,-2120
"55","84_16669",84,16669,11,0,-6393959.06221695,3589439.77521835,3589439.77521835,"PostPTME",24,27.7741832733154,-800
"57","31_43940",31,43940,4,7,-4793959.06221695,-4310560.22478165,4310560.22478165,"PrePTME",23,23.0771350860596,-160
"58","31_43938",31,43938,15,4,-4993959.06221695,-4310560.22478165,4310560.22478165,"PrePTME",40,23.1769580841064,-160
"59","15_48064",15,48064,2,25,-6393959.06221695,-5510560.22478165,5510560.22478165,"PrePTME",56,16.9311943054199,-3520
"60","16_46686",16,46686,1,13,-6193959.06221695,-5110560.22478165,5110560.22478165,"PrePTME",32,16.2133827209473,-3560
"61","14_54698",14,54698,10,3,1506040.93778305,-7410560.22478165,7410560.22478165,"PrePTME",25,10.1106805801392,-3480
"62","15_54007",15,54007,9,14,1406040.93778305,-7210560.22478165,7210560.22478165,"PrePTME",42,9.10492992401123,-3400
"63","16_53317",16,53317,8,7,1406040.93778305,-7010560.22478165,7010560.22478165,"PrePTME",31,10.4572525024414,-3440
"68","78_13927",78,13927,15,0,-4593959.06221695,4389439.77521835,4389439.77521835,"PostPTME",30,24.9455242156982,-80
"69","78_14272",78,14272,14,0,-4593959.06221695,4289439.77521835,4289439.77521835,"PostPTME",31,24.9455242156982,-80
"70","78_12552",78,12552,24,0,-4093959.06221695,4789439.77521835,4789439.77521835,"PostPTME",47,22.8620929718018,-80
"77","73_13923",73,13923,8,1,-4993959.06221695,4389439.77521835,4389439.77521835,"PostPTME",20,25.6384048461914,-160
"78","72_13926",72,13926,8,0,-4693959.06221695,4389439.77521835,4389439.77521835,"PostPTME",20,24.1384220123291,0
"79","16_38361",16,38361,1,11,-10693959.0622169,-2710560.22478165,2710560.22478165,"PrePTME",29,26.6299743652344,-3480
"80","83_14952",83,14952,11,5,-5593959.06221695,4089439.77521835,4089439.77521835,"PostPTME",33,26.1999092102051,-5120
"81","64_14333",64,14333,26,4,1506040.93778305,4289439.77521835,4289439.77521835,"PostPTME",69,24.5204524993896,-160
"82","64_13986",64,13986,12,0,1306040.93778305,4389439.77521835,4389439.77521835,"PostPTME",29,24.6643505096436,-160
"83","35_28422",35,28422,4,22,-4093959.06221695,189439.775218347,189439.775218347,"PrePTME",54,27.8816776275635,-160
"85","65_13986",65,13986,6,3,1306040.93778305,4389439.77521835,4389439.77521835,"PostPTME",21,24.0615234375,0
"90","64_10877",64,10877,8,1,906040.937783051,5289439.77521835,5289439.77521835,"PostPTME",22,18.9052848815918,0
"93","65_15701",65,15701,8,0,306040.937783051,3889439.77521835,3889439.77521835,"PostPTME",20,25.5413875579834,-160
"94","32_41514",32,41514,3,19,-5893959.06221695,-3610560.22478165,3610560.22478165,"PrePTME",49,25.5804443359375,-200
"96","77_12904",77,12904,25,0,-3393959.06221695,4689439.77521835,4689439.77521835,"PostPTME",53,23.6866073608398,-120
"97","77_12557",77,12557,15,0,-3593959.06221695,4789439.77521835,4789439.77521835,"PostPTME",31,23.2668685913086,0
"100","73_13922",73,13922,8,0,-5093959.06221695,4389439.77521835,4389439.77521835,"PostPTME",20,26.0695858001709,-80
"105","77_13588",77,13588,10,0,-3993959.06221695,4489439.77521835,4489439.77521835,"PostPTME",22,25.0141010284424,-80
"106","78_13584",78,13584,9,0,-4393959.06221695,4489439.77521835,4489439.77521835,"PostPTME",20,24.4993457794189,-1720
"107","65_16046",65,16046,12,0,306040.937783051,3789439.77521835,3789439.77521835,"PostPTME",21,25.6491985321045,-1920
"113","65_17084",65,17084,8,1,606040.937783051,3489439.77521835,3489439.77521835,"PostPTME",20,26.1838455200195,-3720
"114","24_37033",24,37033,1,5,-5493959.06221695,-2310560.22478165,2310560.22478165,"PrePTME",20,25.8455944061279,-160
"115","65_13641",65,13641,7,3,1306040.93778305,4489439.77521835,4489439.77521835,"PostPTME",22,24.0615234375,0
"116","64_14337",64,14337,33,8,1906040.93778305,4289439.77521835,4289439.77521835,"PostPTME",88,24.0909271240234,-3480
"117","30_44280",30,44280,3,24,-5293959.06221695,-4410560.22478165,4410560.22478165,"PrePTME",65,22.5834808349609,-240
"118","30_44282",30,44282,7,19,-5093959.06221695,-4410560.22478165,4410560.22478165,"PrePTME",59,22.5031547546387,-200
"119","30_44283",30,44283,2,9,-4993959.06221695,-4410560.22478165,4410560.22478165,"PrePTME",22,22.4801197052002,-200
"120","30_44628",30,44628,11,22,-4993959.06221695,-4510560.22478165,4510560.22478165,"PrePTME",69,22.0611419677734,-200
"121","30_44281",30,44281,2,24,-5193959.06221695,-4410560.22478165,4410560.22478165,"PrePTME",59,22.5294055938721,-240
"125","30_45317",30,45317,5,17,-5093959.06221695,-4710560.22478165,4710560.22478165,"PrePTME",43,21.1340713500977,-160
"126","30_45316",30,45316,8,16,-5193959.06221695,-4710560.22478165,4710560.22478165,"PrePTME",49,21.1205558776855,-160
"127","31_44284",31,44284,8,1,-4893959.06221695,-4410560.22478165,4410560.22478165,"PrePTME",21,23.1351623535156,-160
"128","31_43939",31,43939,7,0,-4893959.06221695,-4310560.22478165,4310560.22478165,"PrePTME",20,23.1351623535156,-160
"129","31_44283",31,44283,11,3,-4993959.06221695,-4410560.22478165,4410560.22478165,"PrePTME",40,23.1769580841064,-160
"137","74_10881",74,10881,5,1,1306040.93778305,5289439.77521835,5289439.77521835,"PostPTME",20,24.8835563659668,-80
"138","64_15717",64,15717,1,8,1906040.93778305,3889439.77521835,3889439.77521835,"PostPTME",20,26.0250854492188,-160
"139","88_12877",88,12877,44,0,-6093959.06221695,4689439.77521835,4689439.77521835,"PostPTME",89,20.4949054718018,-560
"140","63_21924",63,21924,16,4,1606040.93778305,2089439.77521835,2089439.77521835,"PostPTME",43,28.6341133117676,-240
"141","24_32555",24,32555,1,23,-4793959.06221695,-1010560.22478165,1010560.22478165,"PrePTME",47,26.7598037719727,-160
"142","21_34276",21,34276,3,56,-5193959.06221695,-1510560.22478165,1510560.22478165,"PrePTME",118,27.0468788146973,-200
"143","24_32900",24,32900,4,35,-4793959.06221695,-1110560.22478165,1110560.22478165,"PrePTME",78,26.9286346435547,-200
"144","25_42273",25,42273,9,4,1006040.93778305,-3810560.22478165,3810560.22478165,"PrePTME",25,23.1580066680908,-3480
"145","26_40548",26,40548,2,8,1006040.93778305,-3310560.22478165,3310560.22478165,"PrePTME",20,26.0677700042725,-3480
"147","24_37378",24,37378,2,14,-5493959.06221695,-2410560.22478165,2410560.22478165,"PrePTME",34,25.7446727752686,-160
"148","20_35640",20,35640,0,8,-6793959.06221695,-1910560.22478165,1910560.22478165,"PrePTME",20,27.5849018096924,-280
"150","16_38015",16,38015,4,27,-10793959.0622169,-2610560.22478165,2610560.22478165,"PrePTME",70,26.8313465118408,-3480
"153","59_17090",59,17090,18,8,1206040.93778305,3489439.77521835,3489439.77521835,"PostPTME",54,28.5325965881348,-80
"154","15_57443",15,57443,2,17,6040.93778305128,-8210560.22478165,8210560.22478165,"PrePTME",35,5.60682964324951,-3480
"155","59_17091",59,17091,17,16,1306040.93778305,3489439.77521835,3489439.77521835,"PostPTME",68,28.5781154632568,-80
"156","59_16401",59,16401,9,17,1306040.93778305,3689439.77521835,3689439.77521835,"PostPTME",58,28.315465927124,0
"157","59_16050",59,16050,8,17,706040.937783051,3789439.77521835,3789439.77521835,"PostPTME",50,28.4970607757568,-160
