"","stage_cell","stage","cell","bivalve","brachiopod","cellPalaeoLng","cellPalaeoLat","cellLith","cellBath","cellReef","cellAbsLat","PTME"
"1","16_38017","16","38017","4","26",-10593959.0622169,-2610560.22478165,0.96969696969697,0.713717693836978,0,2610560.22478165,"PrePTME"
"2","16_38016","16","38016","2","16",-10693959.0622169,-2610560.22478165,0.901166781056966,0.762473647224174,0,2610560.22478165,"PrePTME"
"3","16_37671","16","37671","3","13",-10693959.0622169,-2510560.22478165,1,0,0.193181818181818,2510560.22478165,"PrePTME"
"4","40_28088","40","28088","4","15.5",-2993959.06221695,289439.775218347,0.236065573770492,0.810526315789474,0,289439.775218347,"PrePTME"
"5","39_28432","39","28432","3","17",-3093959.06221695,189439.775218347,0.449532710280374,0.654054054054054,0,189439.775218347,"PrePTME"
"6","39_28433","39","28433","5","18",-2993959.06221695,189439.775218347,0.839506172839506,0.4,0,189439.775218347,"PrePTME"
"7","39_29121","39","29121","6","20",-3193959.06221695,-10560.2247816529,0.316901408450704,1,0,10560.2247816529,"PrePTME"
"8","39_30152","39","30152","7","21",-3593959.06221695,-310560.224781653,0.490364025695931,0,0,310560.224781653,"PrePTME"
"9","38_31185","38","31185","10","13",-3793959.06221695,-610560.224781653,1,0,0,610560.224781653,"PrePTME"
"10","39_30496","39","30496","4","20.5",-3693959.06221695,-410560.224781653,0.403846153846154,0,0,410560.224781653,"PrePTME"
"11","39_30841","39","30841","3","10",-3693959.06221695,-510560.224781653,0,0,0,510560.224781653,"PrePTME"
"12","78_12534","78","12534","25","0",-5893959.06221695,4789439.77521835,0.0482758620689655,0,0,4789439.77521835,"PostPTME"
"13","78_13566","78","13566","33","0",-6193959.06221695,4489439.77521835,0,0,0,4489439.77521835,"PostPTME"
"14","78_13564","78","13564","18","0",-6393959.06221695,4489439.77521835,0.134275618374558,0,0,4489439.77521835,"PostPTME"
"15","78_13563","78","13563","8","0",-6493959.06221695,4489439.77521835,0.138576779026217,0,0,4489439.77521835,"PostPTME"
"16","78_12886","78","12886","32","0",-5193959.06221695,4689439.77521835,0.0247933884297521,0.866666666666667,0,4689439.77521835,"PostPTME"
"17","78_12885","78","12885","25","0",-5293959.06221695,4689439.77521835,0.367164179104478,0.521739130434783,0,4689439.77521835,"PostPTME"
"18","78_13575","78","13575","23","0",-5293959.06221695,4489439.77521835,0.738613861386139,1,0,4489439.77521835,"PostPTME"
"19","78_13920","78","13920","24","0",-5293959.06221695,4389439.77521835,0.497098646034816,0.257575757575758,0,4389439.77521835,"PostPTME"
"20","78_13921","78","13921","33","1",-5193959.06221695,4389439.77521835,0.0866425992779783,0.685185185185185,0,4389439.77521835,"PostPTME"
"21","78_14267","78","14267","31","0",-5093959.06221695,4289439.77521835,0,0.685185185185185,0,4289439.77521835,"PostPTME"
"22","78_12211","78","12211","49","0",-3693959.06221695,4889439.77521835,0,0,0,4889439.77521835,"PostPTME"
"23","78_11921","78","11921","25","0",1806040.93778305,4989439.77521835,0.957943925233645,0,0,4989439.77521835,"PostPTME"
"24","78_47734","78","47734","7","0",-4893959.06221695,-5410560.22478165,0.0983606557377049,0,0,5410560.22478165,"PostPTME"
"25","78_10191","78","10191","13","16",1306040.93778305,5489439.77521835,1,0,0,5489439.77521835,"PostPTME"
"26","78_12878","78","12878","35","0",-5993959.06221695,4689439.77521835,0.0962566844919786,0,0,4689439.77521835,"PostPTME"
"27","78_13565","78","13565","27","0",-6293959.06221695,4489439.77521835,0.0265957446808511,0,0,4489439.77521835,"PostPTME"
"28","64_7077","64","7077","7","0",406040.937783051,6389439.77521835,0,0.0740740740740741,0,6389439.77521835,"PostPTME"
"29","77_12847","77","12847","11","0",-9093959.06221695,4689439.77521835,0,1,0,4689439.77521835,"PostPTME"
"30","77_8399","77","8399","9","0",-5393959.06221695,5989439.77521835,0.0193548387096774,1,0,5989439.77521835,"PostPTME"
"31","72_11858","72","11858","4.5","1",-4493959.06221695,4989439.77521835,0,0.252747252747253,0,4989439.77521835,"PostPTME"
"32","72_11515","72","11515","5","1",-4293959.06221695,5089439.77521835,0,0.17816091954023,0,5089439.77521835,"PostPTME"
"33","73_14267","73","14267","9","0",-5093959.06221695,4289439.77521835,0.0629370629370629,0,0,4289439.77521835,"PostPTME"
"34","64_36778","64","36778","2","11",3506040.93778305,-2210560.22478165,0,0,0,2210560.22478165,"PostPTME"
"35","73_11504","73","11504","2","0",-5393959.06221695,5089439.77521835,0.451219512195122,1,0,5089439.77521835,"PostPTME"
"36","79_14264","79","14264","7","0",-5393959.06221695,4289439.77521835,0.844827586206897,0.3,0,4289439.77521835,"PostPTME"
"37","79_14263","79","14263","5","0",-5493959.06221695,4289439.77521835,0.517241379310345,0.385416666666667,0,4289439.77521835,"PostPTME"
"38","79_53943","79","53943","7","0",-4993959.06221695,-7210560.22478165,0,0.876190476190476,0,7210560.22478165,"PostPTME"
"39","74_11497","74","11497","5","0",-6093959.06221695,5089439.77521835,0,1,0,5089439.77521835,"PostPTME"
"40","81_11213","81","11213","21","0",6040.93778305128,5189439.77521835,0,0.989010989010989,0,5189439.77521835,"PostPTME"
"41","83_11214","83","11214","240","0",106040.937783051,5189439.77521835,0,0,0,5189439.77521835,"PostPTME"
"42","83_15287","83","15287","37","0",-6593959.06221695,3989439.77521835,0,1,0,3989439.77521835,"PostPTME"
"43","83_15632","83","15632","85","0",-6593959.06221695,3889439.77521835,0.0149253731343284,0,0,3889439.77521835,"PostPTME"
"44","83_14941","83","14941","28","0",-6693959.06221695,4089439.77521835,0,0,0,4089439.77521835,"PostPTME"
"45","31_43940","31","43940","4","7",-4793959.06221695,-4310560.22478165,0,0,0,4310560.22478165,"PrePTME"
"46","31_43938","31","43938","15","4",-4993959.06221695,-4310560.22478165,0,0.223684210526316,0,4310560.22478165,"PrePTME"
"47","15_48064","15","48064","2","25",-6393959.06221695,-5510560.22478165,0,0.12093023255814,0,5510560.22478165,"PrePTME"
"48","16_46686","16","46686","1","13",-6193959.06221695,-5110560.22478165,0.0388349514563107,0.295454545454545,0,5110560.22478165,"PrePTME"
"49","14_54698","14","54698","10","3",1506040.93778305,-7410560.22478165,0,1,0,7410560.22478165,"PrePTME"
"50","15_54007","15","54007","9","14",1406040.93778305,-7210560.22478165,0.0537634408602151,0.242857142857143,0,7210560.22478165,"PrePTME"
"51","16_53317","16","53317","8","7",1406040.93778305,-7010560.22478165,0.0441176470588235,0.0327868852459016,0,7010560.22478165,"PrePTME"
"52","78_12887","78","12887","24","0",-5093959.06221695,4689439.77521835,0,0.866666666666667,0,4689439.77521835,"PostPTME"
"53","78_12541","78","12541","29","0",-5193959.06221695,4789439.77521835,0,0.694202898550725,0,4789439.77521835,"PostPTME"
"54","78_13230","78","13230","18","0",-5293959.06221695,4589439.77521835,0.758139534883721,1,0,4589439.77521835,"PostPTME"
"55","78_14268","78","14268","22","0",-4993959.06221695,4289439.77521835,0,0.685185185185185,0,4289439.77521835,"PostPTME"
"56","78_12552","78","12552","24","0",-4093959.06221695,4789439.77521835,0,0,0,4789439.77521835,"PostPTME"
"57","78_11851","78","11851","20","0",-5193959.06221695,4989439.77521835,0,0.694202898550725,0,4989439.77521835,"PostPTME"
"58","78_12535","78","12535","15","0",-5793959.06221695,4789439.77521835,0.228571428571429,0,0,4789439.77521835,"PostPTME"
"59","78_13222","78","13222","17","0",-6093959.06221695,4589439.77521835,0,0,0,4589439.77521835,"PostPTME"
"60","78_13221","78","13221","21","0",-6193959.06221695,4589439.77521835,0.004739336492891,0,0,4589439.77521835,"PostPTME"
"61","78_13908","78","13908","8","0",-6493959.06221695,4389439.77521835,0,0,0,4389439.77521835,"PostPTME"
"62","73_14268","73","14268","6","1",-4993959.06221695,4289439.77521835,0.0135135135135135,0,0,4289439.77521835,"PostPTME"
"63","73_13923","73","13923","8","1",-4993959.06221695,4389439.77521835,0.010498687664042,0,0,4389439.77521835,"PostPTME"
"64","72_13926","72","13926","8","0",-4693959.06221695,4389439.77521835,0.843373493975904,0.270833333333333,0,4389439.77521835,"PostPTME"
"65","16_38361","16","38361","1","11",-10693959.0622169,-2710560.22478165,0.807400379506641,0.761,0,2710560.22478165,"PrePTME"
"66","83_14952","83","14952","11","5",-5593959.06221695,4089439.77521835,1,0.974789915966387,0,4089439.77521835,"PostPTME"
"67","64_14333","64","14333","26","4",1506040.93778305,4289439.77521835,0.933333333333333,0.0963855421686747,0.165413533834586,4289439.77521835,"PostPTME"
"68","64_13986","64","13986","12","0",1306040.93778305,4389439.77521835,0.801136363636364,0.82051282051282,0,4389439.77521835,"PostPTME"
"69","35_28422","35","28422","3","22",-4093959.06221695,189439.775218347,0.63013698630137,0.945578231292517,0,189439.775218347,"PrePTME"
"70","64_12257","64","12257","7","0",906040.937783051,4889439.77521835,0.691588785046729,0.607476635514019,0,4889439.77521835,"PostPTME"
"71","65_13986","65","13986","6","3",1306040.93778305,4389439.77521835,0.875,1,0,4389439.77521835,"PostPTME"
"72","64_12607","64","12607","5","1",1406040.93778305,4789439.77521835,0.972602739726027,0,0,4789439.77521835,"PostPTME"
"73","64_12606","64","12606","15","1",1306040.93778305,4789439.77521835,0.818840579710145,0.176470588235294,0.0291970802919708,4789439.77521835,"PostPTME"
"74","64_12949","64","12949","23","0",1106040.93778305,4689439.77521835,0.547619047619048,0.619047619047619,0,4689439.77521835,"PostPTME"
"75","85_15628","85","15628","38","0",-6993959.06221695,3889439.77521835,0.232258064516129,0.8875,0,3889439.77521835,"PostPTME"
"76","64_10877","64","10877","8","1",906040.937783051,5289439.77521835,0.546961325966851,0.331491712707182,0,5289439.77521835,"PostPTME"
"77","85_15283","85","15283","47","0",-6993959.06221695,3989439.77521835,0.409090909090909,0.990950226244344,0,3989439.77521835,"PostPTME"
"78","85_15282","85","15282","69","0",-7093959.06221695,3989439.77521835,0,0.946043165467626,0,3989439.77521835,"PostPTME"
"79","65_15701","65","15701","8","0",306040.937783051,3889439.77521835,0.374083129584352,0,0.142095914742451,3889439.77521835,"PostPTME"
"80","32_41514","32","41514","3","19",-5893959.06221695,-3610560.22478165,0.727272727272727,0,0,3610560.22478165,"PrePTME"
"81","34_34323","34","34323","2","24",-493959.062216949,-1510560.22478165,1,0.0217391304347826,0.692546583850932,1510560.22478165,"PrePTME"
"82","77_12904","77","12904","25","0",-3393959.06221695,4689439.77521835,0,0,0,4689439.77521835,"PostPTME"
"83","77_12557","77","12557","15","0",-3593959.06221695,4789439.77521835,0,0,0,4789439.77521835,"PostPTME"
"84","34_25355","34","25355","0","6",-293959.062216949,1089439.77521835,0,0,0,1089439.77521835,"PrePTME"
