"","stage_cell","stage","cell","bivalve","brachiopod","cellPalaeoLng","cellPalaeoLat","cellLith","cellBath","cellReef","cellAbsLat","PTME"
"1","16_38017","16","38017","1","13",-10593959.0622169,-2610560.22478165,"0.96969696969697","0.713717693836978","0",2610560.22478165,"PrePTME"
"2","16_38016","16","38016","1","10",-10693959.0622169,-2610560.22478165,"0.901166781056966","0.762473647224174","0",2610560.22478165,"PrePTME"
"3","16_37671","16","37671","2","9",-10693959.0622169,-2510560.22478165,"1","0","0.193181818181818",2510560.22478165,"PrePTME"
"4","40_28088","40","28088","2","11",-2993959.06221695,289439.775218347,"0.236065573770492","0.810526315789474","0",289439.775218347,"PrePTME"
"5","39_28432","39","28432","2","11",-3093959.06221695,189439.775218347,"0.449532710280374","0.654054054054054","0",189439.775218347,"PrePTME"
"6","39_28433","39","28433","2","10",-2993959.06221695,189439.775218347,"0.839506172839506","0.4","0",189439.775218347,"PrePTME"
"7","39_29121","39","29121","3","11",-3193959.06221695,-10560.2247816529,"0.316901408450704","1","0",10560.2247816529,"PrePTME"
"8","39_30496","39","30496","2","11",-3693959.06221695,-410560.224781653,"0.403846153846154","0","0",410560.224781653,"PrePTME"
"9","78_12534","78","12534","14","0",-5893959.06221695,4789439.77521835,"0.0482758620689655","0","0",4789439.77521835,"PostPTME"
"10","78_13566","78","13566","15","0",-6193959.06221695,4489439.77521835,"0","0","0",4489439.77521835,"PostPTME"
"11","78_13564","78","13564","12","0",-6393959.06221695,4489439.77521835,"0.134275618374558","0","0",4489439.77521835,"PostPTME"
"12","78_13563","78","13563","8","0",-6493959.06221695,4489439.77521835,"0.138576779026217","0","0",4489439.77521835,"PostPTME"
"13","78_12886","78","12886","15","0",-5193959.06221695,4689439.77521835,"0.0247933884297521","0.866666666666667","0",4689439.77521835,"PostPTME"
"14","78_12885","78","12885","14","0",-5293959.06221695,4689439.77521835,"0.367164179104478","0.521739130434783","0",4689439.77521835,"PostPTME"
"15","78_13575","78","13575","14","0",-5293959.06221695,4489439.77521835,"0.738613861386139","1","0",4489439.77521835,"PostPTME"
"16","78_13920","78","13920","14","0",-5293959.06221695,4389439.77521835,"0.497098646034816","0.257575757575758","0",4389439.77521835,"PostPTME"
"17","78_13921","78","13921","15","0",-5193959.06221695,4389439.77521835,"0.0866425992779783","0.685185185185185","0",4389439.77521835,"PostPTME"
"18","78_12211","78","12211","17","0",-3693959.06221695,4889439.77521835,"0","0","0",4889439.77521835,"PostPTME"
"19","78_11921","78","11921","15","0",1806040.93778305,4989439.77521835,"0.957943925233645","0","0",4989439.77521835,"PostPTME"
"20","78_47734","78","47734","7","0",-4893959.06221695,-5410560.22478165,"0.0983606557377049","0","0",5410560.22478165,"PostPTME"
"21","78_12878","78","12878","15","0",-5993959.06221695,4689439.77521835,"0.0962566844919786","0","0",4689439.77521835,"PostPTME"
"22","78_13565","78","13565","14","0",-6293959.06221695,4489439.77521835,"0.0265957446808511","0","0",4489439.77521835,"PostPTME"
"23","64_7077","64","7077","7","0",406040.937783051,6389439.77521835,"0","0.0740740740740741","0",6389439.77521835,"PostPTME"
"24","77_12847","77","12847","11","0",-9093959.06221695,4689439.77521835,"0","1","0",4689439.77521835,"PostPTME"
"25","77_8399","77","8399","8","0",-5393959.06221695,5989439.77521835,"0.0193548387096774","1","0",5989439.77521835,"PostPTME"
"26","72_11858","72","11858","4","1",-4493959.06221695,4989439.77521835,"0","0.252747252747253","0",4989439.77521835,"PostPTME"
"27","72_11515","72","11515","5","1",-4293959.06221695,5089439.77521835,"0","0.17816091954023","0",5089439.77521835,"PostPTME"
