"","stage_cell","stage","cell","bivalve","brachiopod","cellPalaeoLng","cellPalaeoLat","cellAbsLat","PTME"
"1","16_38017","16","38017","1","13",-10593959.0622169,-2610560.22478165,2610560.22478165,"PrePTME"
"2","16_38016","16","38016","1","10",-10693959.0622169,-2610560.22478165,2610560.22478165,"PrePTME"
"3","16_37671","16","37671","2","9",-10693959.0622169,-2510560.22478165,2510560.22478165,"PrePTME"
"4","40_28088","40","28088","2","11",-2993959.06221695,289439.775218347,289439.775218347,"PrePTME"
"5","39_28432","39","28432","2","12",-3093959.06221695,189439.775218347,189439.775218347,"PrePTME"
"6","39_28433","39","28433","2","10",-2993959.06221695,189439.775218347,189439.775218347,"PrePTME"
"7","39_29121","39","29121","3","11",-3193959.06221695,-10560.2247816529,10560.2247816529,"PrePTME"
"8","39_30152","39","30152","3","11",-3593959.06221695,-310560.224781653,310560.224781653,"PrePTME"
"9","38_31185","38","31185","7","6",-3793959.06221695,-610560.224781653,610560.224781653,"PrePTME"
"10","39_30496","39","30496","2","11",-3693959.06221695,-410560.224781653,410560.224781653,"PrePTME"
"11","39_30841","39","30841","2","8",-3693959.06221695,-510560.224781653,510560.224781653,"PrePTME"
"12","66_6736","66","6736","7","0",806040.937783051,6489439.77521835,6489439.77521835,"PostPTME"
"13","78_12534","78","12534","14","0",-5893959.06221695,4789439.77521835,4789439.77521835,"PostPTME"
"14","78_13566","78","13566","15","0",-6193959.06221695,4489439.77521835,4489439.77521835,"PostPTME"
"15","78_13564","78","13564","12","0",-6393959.06221695,4489439.77521835,4489439.77521835,"PostPTME"
"16","78_13563","78","13563","8","0",-6493959.06221695,4489439.77521835,4489439.77521835,"PostPTME"
"17","78_12886","78","12886","15","0",-5193959.06221695,4689439.77521835,4689439.77521835,"PostPTME"
"18","78_12885","78","12885","14","0",-5293959.06221695,4689439.77521835,4689439.77521835,"PostPTME"
"19","78_13575","78","13575","14","0",-5293959.06221695,4489439.77521835,4489439.77521835,"PostPTME"
"20","78_13920","78","13920","14","0",-5293959.06221695,4389439.77521835,4389439.77521835,"PostPTME"
"21","78_13921","78","13921","15","0",-5193959.06221695,4389439.77521835,4389439.77521835,"PostPTME"
"22","78_14267","78","14267","15","0",-5093959.06221695,4289439.77521835,4289439.77521835,"PostPTME"
"23","78_12211","78","12211","17","0",-3693959.06221695,4889439.77521835,4889439.77521835,"PostPTME"
"24","78_11921","78","11921","15","0",1806040.93778305,4989439.77521835,4989439.77521835,"PostPTME"
"25","78_15354","78","15354","6","0",106040.937783051,3989439.77521835,3989439.77521835,"PostPTME"
"26","78_47734","78","47734","7","0",-4893959.06221695,-5410560.22478165,5410560.22478165,"PostPTME"
"27","78_10191","78","10191","6","9",1306040.93778305,5489439.77521835,5489439.77521835,"PostPTME"
"28","78_12878","78","12878","15","0",-5993959.06221695,4689439.77521835,4689439.77521835,"PostPTME"
"29","78_13565","78","13565","14","0",-6293959.06221695,4489439.77521835,4489439.77521835,"PostPTME"
"30","66_6735","66","6735","7","0",706040.937783051,6489439.77521835,6489439.77521835,"PostPTME"
"31","64_7077","64","7077","7","0",406040.937783051,6389439.77521835,6389439.77521835,"PostPTME"
"32","77_12847","77","12847","10","0",-9093959.06221695,4689439.77521835,4689439.77521835,"PostPTME"
"33","77_8399","77","8399","8","0",-5393959.06221695,5989439.77521835,5989439.77521835,"PostPTME"
"34","72_10190","72","10190","13","0",1206040.93778305,5489439.77521835,5489439.77521835,"PostPTME"
"35","71_11573","71","11573","7","8",1506040.93778305,5089439.77521835,5089439.77521835,"PostPTME"
"36","71_11574","71","11574","7","8",1606040.93778305,5089439.77521835,5089439.77521835,"PostPTME"
"37","71_11229","71","11229","1","13",1606040.93778305,5189439.77521835,5189439.77521835,"PostPTME"
"38","72_11858","72","11858","4","1",-4493959.06221695,4989439.77521835,4989439.77521835,"PostPTME"
"39","73_9103","73","9103","9","1",-3993959.06221695,5789439.77521835,5789439.77521835,"PostPTME"
"40","72_11515","72","11515","5","1",-4293959.06221695,5089439.77521835,5089439.77521835,"PostPTME"
"41","73_14267","73","14267","9","0",-5093959.06221695,4289439.77521835,4289439.77521835,"PostPTME"
"42","71_13304","71","13304","7","5",2106040.93778305,4589439.77521835,4589439.77521835,"PostPTME"
"43","64_36778","64","36778","2","10",3506040.93778305,-2210560.22478165,2210560.22478165,"PostPTME"
"44","63_36433","63","36433","7","6",3506040.93778305,-2110560.22478165,2110560.22478165,"PostPTME"
"45","73_11504","73","11504","2","0",-5393959.06221695,5089439.77521835,5089439.77521835,"PostPTME"
"46","79_14264","79","14264","7","0",-5393959.06221695,4289439.77521835,4289439.77521835,"PostPTME"
"47","79_14263","79","14263","5","0",-5493959.06221695,4289439.77521835,4289439.77521835,"PostPTME"
"48","79_53943","79","53943","7","0",-4993959.06221695,-7210560.22478165,7210560.22478165,"PostPTME"
"49","74_11497","74","11497","5","0",-6093959.06221695,5089439.77521835,5089439.77521835,"PostPTME"
"50","81_11213","81","11213","12","0",6040.93778305128,5189439.77521835,5189439.77521835,"PostPTME"
"51","83_11214","83","11214","19","0",106040.937783051,5189439.77521835,5189439.77521835,"PostPTME"
"52","83_15287","83","15287","15","0",-6593959.06221695,3989439.77521835,3989439.77521835,"PostPTME"
"53","83_15632","83","15632","17","0",-6593959.06221695,3889439.77521835,3889439.77521835,"PostPTME"
"54","83_14941","83","14941","14","0",-6693959.06221695,4089439.77521835,4089439.77521835,"PostPTME"
"55","84_16669","84","16669","10","0",-6393959.06221695,3589439.77521835,3589439.77521835,"PostPTME"
"56","74_13347","74","13347","10","0",6406040.93778305,4589439.77521835,4589439.77521835,"PostPTME"
"57","31_43940","31","43940","4","7",-4793959.06221695,-4310560.22478165,4310560.22478165,"PrePTME"
"58","31_43938","31","43938","11","2",-4993959.06221695,-4310560.22478165,4310560.22478165,"PrePTME"
"59","15_48064","15","48064","1","14",-6393959.06221695,-5510560.22478165,5510560.22478165,"PrePTME"
"60","16_46686","16","46686","1","10",-6193959.06221695,-5110560.22478165,5110560.22478165,"PrePTME"
"61","14_54698","14","54698","10","2",1506040.93778305,-7410560.22478165,7410560.22478165,"PrePTME"
"62","15_54007","15","54007","6","9",1406040.93778305,-7210560.22478165,7210560.22478165,"PrePTME"
"63","16_53317","16","53317","6","5",1406040.93778305,-7010560.22478165,7010560.22478165,"PrePTME"
"64","78_12887","78","12887","14","0",-5093959.06221695,4689439.77521835,4689439.77521835,"PostPTME"
"65","78_12541","78","12541","15","0",-5193959.06221695,4789439.77521835,4789439.77521835,"PostPTME"
"66","78_13230","78","13230","13","0",-5293959.06221695,4589439.77521835,4589439.77521835,"PostPTME"
"67","78_14268","78","14268","14","0",-4993959.06221695,4289439.77521835,4289439.77521835,"PostPTME"
