"","stage_cell","stage","cell","bivalve","brachiopod","cellPalaeoLng","cellPalaeoLat","cellAbsLat","PTME","n"
"1","16_38017","16","38017","27","61",-10593959.0622169,-2610560.22478165,2610560.22478165,"PrePTME",968
"2","16_38016","16","38016","29","54",-10693959.0622169,-2610560.22478165,2610560.22478165,"PrePTME",1239
"3","16_37671","16","37671","6","18",-10693959.0622169,-2510560.22478165,2510560.22478165,"PrePTME",77
"4","40_28088","40","28088","9","26",-2993959.06221695,289439.775218347,289439.775218347,"PrePTME",185
"5","39_28432","39","28432","15","42",-3093959.06221695,189439.775218347,189439.775218347,"PrePTME",866
"6","39_28433","39","28433","15","37",-2993959.06221695,189439.775218347,189439.775218347,"PrePTME",302
"7","39_29121","39","29121","19","41",-3193959.06221695,-10560.2247816529,10560.2247816529,"PrePTME",541
"8","39_30152","39","30152","25","52",-3593959.06221695,-310560.224781653,310560.224781653,"PrePTME",672
"9","38_31185","38","31185","10","15",-3793959.06221695,-610560.224781653,610560.224781653,"PrePTME",61
"10","39_30496","39","30496","6","25",-3693959.06221695,-410560.224781653,410560.224781653,"PrePTME",86
"11","39_30841","39","30841","9","26",-3693959.06221695,-510560.224781653,510560.224781653,"PrePTME",290
"12","66_6736","66","6736","14","1",806040.937783051,6489439.77521835,6489439.77521835,"PostPTME",270
"13","78_12534","78","12534","38","1",-5893959.06221695,4789439.77521835,4789439.77521835,"PostPTME",151
"14","78_13566","78","13566","45","0",-6193959.06221695,4489439.77521835,4489439.77521835,"PostPTME",133
"15","78_13564","78","13564","25","0",-6393959.06221695,4489439.77521835,4489439.77521835,"PostPTME",90
"16","78_13563","78","13563","19","0",-6493959.06221695,4489439.77521835,4489439.77521835,"PostPTME",112
"17","78_12886","78","12886","54","0",-5193959.06221695,4689439.77521835,4689439.77521835,"PostPTME",249
"18","78_12885","78","12885","41","0",-5293959.06221695,4689439.77521835,4689439.77521835,"PostPTME",201
"19","78_13575","78","13575","43","1",-5293959.06221695,4489439.77521835,4489439.77521835,"PostPTME",276
"20","78_13920","78","13920","44","1",-5293959.06221695,4389439.77521835,4389439.77521835,"PostPTME",268
"21","78_13921","78","13921","49","1",-5193959.06221695,4389439.77521835,4389439.77521835,"PostPTME",166
"22","78_14267","78","14267","55","0",-5093959.06221695,4289439.77521835,4289439.77521835,"PostPTME",273
"23","78_12211","78","12211","56","0",-3693959.06221695,4889439.77521835,4889439.77521835,"PostPTME",134
"24","78_11921","78","11921","33","0",1806040.93778305,4989439.77521835,4989439.77521835,"PostPTME",141
"25","78_15354","78","15354","13","0",106040.937783051,3989439.77521835,3989439.77521835,"PostPTME",98
"26","78_47734","78","47734","14","0",-4893959.06221695,-5410560.22478165,5410560.22478165,"PostPTME",61
"27","78_10191","78","10191","18","18",1306040.93778305,5489439.77521835,5489439.77521835,"PostPTME",134
"28","78_12878","78","12878","36","0",-5993959.06221695,4689439.77521835,4689439.77521835,"PostPTME",81
"29","78_13565","78","13565","43","0",-6293959.06221695,4489439.77521835,4489439.77521835,"PostPTME",169
"30","66_6735","66","6735","8","0",706040.937783051,6489439.77521835,6489439.77521835,"PostPTME",31
"31","64_7077","64","7077","7","0",406040.937783051,6389439.77521835,6389439.77521835,"PostPTME",23
"32","77_12847","77","12847","20","0",-9093959.06221695,4689439.77521835,4689439.77521835,"PostPTME",207
"33","77_8399","77","8399","15","0",-5393959.06221695,5989439.77521835,5989439.77521835,"PostPTME",57
"34","72_10190","72","10190","27","2",1206040.93778305,5489439.77521835,5489439.77521835,"PostPTME",88
"35","71_11573","71","11573","11","13",1506040.93778305,5089439.77521835,5089439.77521835,"PostPTME",45
"36","71_11574","71","11574","15","12",1606040.93778305,5089439.77521835,5089439.77521835,"PostPTME",54
"37","71_11229","71","11229","3","22",1606040.93778305,5189439.77521835,5189439.77521835,"PostPTME",58
"38","72_11858","72","11858","16","2",-4493959.06221695,4989439.77521835,4989439.77521835,"PostPTME",199
"39","73_9103","73","9103","9","1",-3993959.06221695,5789439.77521835,5789439.77521835,"PostPTME",22
"40","72_11515","72","11515","6","1",-4293959.06221695,5089439.77521835,5089439.77521835,"PostPTME",37
"41","73_14267","73","14267","15","1",-5093959.06221695,4289439.77521835,4289439.77521835,"PostPTME",83
"42","71_13304","71","13304","12","8",2106040.93778305,4589439.77521835,4589439.77521835,"PostPTME",47
"43","64_36778","64","36778","2","12",3506040.93778305,-2210560.22478165,2210560.22478165,"PostPTME",29
"44","63_36433","63","36433","13","18",3506040.93778305,-2110560.22478165,2110560.22478165,"PostPTME",103
"45","73_11504","73","11504","4","0",-5393959.06221695,5089439.77521835,5089439.77521835,"PostPTME",86
"46","79_14264","79","14264","10","1",-5393959.06221695,4289439.77521835,4289439.77521835,"PostPTME",42
"47","79_14263","79","14263","6","0",-5493959.06221695,4289439.77521835,4289439.77521835,"PostPTME",32
"48","79_53943","79","53943","10","0",-4993959.06221695,-7210560.22478165,7210560.22478165,"PostPTME",70
