"","site_quota","radius","overlap_threshold","overlap_type","n.samples","n.groups","avg.obs.per.group","intercept","intercept.std.Error","intercept.df","intercept.t.value","intercept.p.value","slope","slope.std.Error","slope.df","slope.t.value","slope.p.value"
"1",3,100000,0,"sites",15,7,2.14285714285714,40.8809659975144,9.50508277020013,7.80970943728063,4.30095844359003,0.00276265529461394,-0.254869508662023,0.263825758861344,11.8086036905734,-0.966052404291471,0.353386741254556
"6",3,200000,0,"sites",20,6,3.33333333333333,29.3531415183983,11.6537072971543,8.10296676678122,2.51878142894201,0.0355254798962754,-0.0835909458906523,0.250858651365053,14.0225101966395,-0.333219306712327,0.743898728358217
"11",3,250000,0,"sites",18,4,4.5,22.9185312934847,15.624093029635,4.20493988725629,1.46687114893735,0.212936665721975,0.0701183298464476,0.282454627466303,12.4498851034692,0.24824634836196,0.807991334194367
"16",3,500000,0,"sites",21,6,3.5,28.1747439148755,13.9449859766306,7.57914617901367,2.0204211006086,0.0799776592124157,-0.0578897085977516,0.24019638083234,13.9254120441971,-0.241009911960993,0.813059781900048
"21",3,100000,0.25,"sites",15,7,2.14285714285714,40.8809659975144,9.50508277020013,7.80970943728063,4.30095844359003,0.00276265529461394,-0.254869508662023,0.263825758861344,11.8086036905734,-0.966052404291471,0.353386741254556
"26",3,200000,0.25,"sites",18,6,3,38.0565441189367,10.6790474554032,7.27609797160744,3.56366466933168,0.00860412236647624,-0.287227812754348,0.247751937026096,12.0455719244682,-1.15933629501389,0.268785000434449
"31",3,250000,0.25,"sites",20,4,5,23.3045159146362,15.7634031284742,4.04883532979105,1.47839370247026,0.212545317164968,0.0942960125121301,0.267693638641238,15.0742263912434,0.352253467772931,0.729524529134746
"36",3,500000,0.25,"sites",19,6,3.16666666666667,11.685436907954,15.352648607448,7.64677944691076,0.761134915983491,0.46939485542168,0.216387480063281,0.240711714307168,15.8711120508477,0.898948689248884,0.382116327035862
"41",3,100000,0.5,"sites",16,7,2.28571428571429,38.8464200897871,9.65193797589217,7.96463000405392,4.02472748859499,0.00385097209585058,-0.184775123850266,0.255658465723918,12.4979488925906,-0.72274205091179,0.483144681679596
"46",3,200000,0.5,"sites",21,6,3.5,31.1256146829696,11.2229467696877,7.1367857769893,2.77339056503748,0.0270307330939872,-0.0794185660075173,0.238994166891196,14.7052269939627,-0.332303365561526,0.744349692415678
"51",3,250000,0.5,"sites",20,5,4,27.976506634491,9.16460003993962,3.31247108224883,3.05267076714407,0.0485912678733611,-0.0789002940020151,0.204488232290084,7.56595665439552,-0.385842711428441,0.710234742253312
"56",3,500000,0.5,"sites",21,6,3.5,5.15994354194448,17.2997633327567,8.1959572951042,0.298266712826889,0.772921615384116,0.365840740948155,0.254224491799983,18.8154176433289,1.43904601149125,0.166566434831159
"61",3,100000,0.75,"sites",26,7,3.71428571428571,34.8111144037082,8.98332016973408,6.91423143506602,3.87508334846966,0.0062388764152066,-0.0456920180637483,0.208816960289291,19.1239475870577,-0.218813730457753,0.829113428708723
"66",3,200000,0.75,"sites",27,7,3.85714285714286,18.7069697465209,10.2625957873889,8.87315937233938,1.82283022093774,0.102120595698085,0.220402407751256,0.208377852594492,24.4503468632562,1.05770553351543,0.300528338623561
"71",3,250000,0.75,"sites",27,7,3.85714285714286,17.3176304499719,10.86953895917,6.77295975506729,1.5932258502429,0.156568364358482,0.394807966012252,0.205480132553957,24.538325611313,1.92139240473081,0.0663713118786719
"76",3,500000,0.75,"sites",23,7,3.28571428571429,7.73828317032831,14.4928532314596,9.20353755654956,0.533937869013315,0.606038698123088,0.337598011492393,0.234930281736754,20.1769233422549,1.43701360674603,0.166041100119511
"81",3,100000,1,"sites",26,7,3.71428571428571,34.8111144037082,8.98332016973408,6.91423143506602,3.87508334846966,0.0062388764152066,-0.0456920180637483,0.208816960289291,19.1239475870577,-0.218813730457753,0.829113428708723
"86",3,200000,1,"sites",38,8,4.75,21.3074627935031,10.1626742335502,9.94508373379419,2.09663935927027,0.0625798591866845,0.0968266349261454,0.177860529550358,32.6968225946386,0.544396416512022,0.58986244676459
"91",3,250000,1,"sites",31,5,6.2,18.25764563409,15.1770085523763,4.29411619183452,1.20298051958542,0.291085675579422,0.386901608124167,0.231185893940828,26.9356910668791,1.67355196949514,0.105794523087017
"96",3,500000,1,"sites",32,8,4,5.99069678046844,13.931835411965,8.64363102536732,0.430000542162844,0.677715934207226,0.514113172331925,0.196318605705338,29.9964001750782,2.61876947671265,0.0137043260746895
