"","site_quota","radius","overlap_threshold","overlap_type","n.samples","n.groups","avg.obs.per.group","intercept","intercept.std.Error","intercept.df","intercept.t.value","intercept.p.value","slope","slope.std.Error","slope.df","slope.t.value","slope.p.value"
"6",3,200000,0,"sites",13,6,2.16666666666667,58.734221331699,44.0828852941452,8.24202294325906,1.33235882678259,0.218402560207014,0.0247763249288337,0.387933076062255,9.16487186615465,0.0638675236984888,0.950447076518748
"11",3,250000,0,"sites",13,6,2.16666666666667,57.4891312389997,43.8532072401963,8.31584399469906,1.31094473715721,0.224918763258208,0.0331533026932107,0.386247541726811,9.35347804088429,0.0858343396698165,0.933407505437417
"16",3,500000,0,"sites",13,6,2.16666666666667,9.45303926235072,53.3983288504201,9.47929501633071,0.177028747263433,0.863210863428936,0.431635449331904,0.451516939162785,10.1011166766251,0.955967344508169,0.361407851455814
"17",6,500000,0,"sites",4,2,2,3.41931561444687,68.7090420152873,2.00000000003151,0.0497651475578149,0.964832493655735,2.19992746168794,0.825769060417637,1.9999999999982,2.66409528661114,0.116735001687627
"26",3,200000,0.25,"sites",12,6,2,52.3911492043177,37.7435509110831,7.40974982425407,1.38808214753672,0.205417061416766,0.0370597215509076,0.338698852750718,8.14998536794639,0.109417912844788,0.915517300364284
"31",3,250000,0.25,"sites",13,6,2.16666666666667,56.4389860235537,42.9869501466564,8.84126507039828,1.31293301411251,0.222259179919853,0.0518605147406313,0.381780001638678,10.2925104556046,0.13583874094514,0.894568907433727
"36",3,500000,0.25,"sites",11,5,2.2,-27.0318744410751,64.5085546323416,7.38160602404057,-0.419043250854711,0.6871105396044,0.935513300940806,0.52020344836633,8.98686207058132,1.79836043739951,0.105713251016389
"37",6,500000,0.25,"sites",4,2,2,73.9753329646586,94.2409102181886,1.99999999995708,0.784959873513417,0.514694582178458,1.47459309535897,1.07231871549578,1.99999999993888,1.37514441746659,0.302865689817445
"46",3,200000,0.5,"sites",13,6,2.16666666666667,26.0822352042513,27.2232798681862,7.84010544795905,0.958085702036647,0.366627609173511,0.255861458480564,0.234873114560517,10.6733009382336,1.08936035084015,0.299979382735847
"51",3,250000,0.5,"sites",13,6,2.16666666666667,49.4192006482334,34.877910745436,6.88606250408539,1.41691975212994,0.200121745742116,0.0388971816522539,0.317368558624188,7.18908823696103,0.122561547435182,0.905810381981191
"56",3,500000,0.5,"sites",16,8,2,49.9531201581474,38.2555021771515,10.7771530934967,1.30577609272589,0.218813778982581,0.0406574382206945,0.372456905533246,9.35509026799318,0.109160113872732,0.915381266775277
"57",6,500000,0.5,"sites",5,2,2.5,67.6184209292169,76.4937636841729,2.99999999992292,0.883972989071365,0.441810998078909,1.59915481625026,0.819738492981822,2.99999999992565,1.95081093536707,0.146157889191833
"66",3,200000,0.75,"sites",29,7,4.14285714285714,25.299418146358,32.2355165236754,10.6253850774349,0.784830549489623,0.449697570761158,0.443491828701795,0.285165899138983,23.9327688606681,1.55520639052865,0.133022770346497
"71",3,250000,0.75,"sites",29,7,4.14285714285714,25.299418146358,32.2355165236754,10.6253850774349,0.784830549489623,0.449697570761158,0.443491828701795,0.285165899138983,23.9327688606681,1.55520639052865,0.133022770346497
"76",3,500000,0.75,"sites",17,8,2.125,9.21242462314115,40.8195351153517,11.3287392390724,0.225686661964861,0.825465082020739,0.735776923585094,0.401130230639144,14.3226269984578,1.83425946833461,0.0874725262446353
"77",6,500000,0.75,"sites",5,2,2.5,72.7994858750893,73.6638044566967,3.00000000000049,0.988266712695847,0.395882412418782,1.50054442191968,0.723694029183069,3.00000000002835,2.07345143307807,0.129812734523318
"86",3,200000,1,"sites",29,7,4.14285714285714,25.299418146358,32.2355165236754,10.6253850774349,0.784830549489623,0.449697570761158,0.443491828701795,0.285165899138983,23.9327688606681,1.55520639052865,0.133022770346497
"91",3,250000,1,"sites",29,7,4.14285714285714,25.299418146358,32.2355165236754,10.6253850774349,0.784830549489623,0.449697570761158,0.443491828701795,0.285165899138983,23.9327688606681,1.55520639052865,0.133022770346497
"96",3,500000,1,"sites",18,7,2.57142857142857,-65.2869969891699,51.9742073239149,10.1421003345735,-1.25614223574949,0.237228448767016,1.35137632280968,0.337759028154014,14.8402008806643,4.00100725714273,0.00117976507086623
"97",6,500000,1,"sites",9,3,3,-59.4368279716714,105.250595075885,2.53648066718368,-0.564717262917305,0.618286537602509,1.787055415731,0.336596622611079,5.25264503598813,5.30918997899707,0.00273128317784998
