"","level","t1","t2","group","freq1","freq2","m2"
"1","order","Carditida","Cardiida","Bivalvia",42577,70345,0.166666666666667
"2","family","Cyrenoididae","Cyrenidae","Venerida",4,4703,0.222222222222222
"3","family","Cardiniidae","Carditidae","Carditida",1041,18394,0.375
"4","family","Caprotinidae","Caprinidae","Hippuritida",146,196,0.3
"5","family","Caprinulidae","Caprinidae","Hippuritida",108,196,0.3
"6","family","Trigonioididae","Trigoniidae","Trigoniida",18,1748,0.222222222222222
"7","family","Trigonioididae","Trigonodidae","Trigoniida",18,22,0.222222222222222
"8","genus","Chionela","Chione","Veneridae",10,13320,0
"9","genus","Calistalox","Calista","Veneridae",98,1816,0
"10","genus","Calpita","Calista","Veneridae",2,1816,0.285714285714286
"11","genus","Dosinobia","Dosinia","Veneridae",4,4022,0.285714285714286
"12","genus","Eocalista","Ezocalista","Veneridae",56,63,0.111111111111111
"13","genus","Petricolaria","Petricola","Veneridae",278,677,0
"14","genus","Lophocardium","Loxocardium","Cardiidae",12,160,0.333333333333333
"15","genus","Lunulicardia","Lunulicardium","Cardiidae",25,18,0.1
"16","genus","Levicarduim","Levicardium","Cardiidae",2,2847,0
"17","genus","Criocardium","Clinocardium","Cardiidae",2,1621,0.181818181818182
"18","genus","Planicardium","Plagiocardium","Cardiidae",231,76,0.25
"19","genus","Prosodacnomia","Prosodacna","Cardiidae",1,13,0
"20","genus","Mactrela","Mactra","Mactridae",2,1813,0.166666666666667
"21","genus","Spiscula","Spisula","Mactridae",3,2858,0.25
"22","genus","Mactrela","Mactrelona","Mactridae",2,41,0.222222222222222
"23","genus","Macomona","Macoma","Tellinidae",3,6807,0
"24","genus","Arcopaginula","Arcopagia","Tellinidae",36,655,0.111111111111111
"25","genus","Acropagia","Arcopagia","Tellinidae",2,655,0
"26","genus","Philodela","Philoda","Tellinidae",1,2,0.25
"27","genus","Nuculoma","Nucula","Nuculidae",45,6758,0.333333333333333
"28","genus","Linucula","Leionucula","Nuculidae",26,334,0.222222222222222
"29","genus","Astartela","Astarte","Astartidae",4917,6706,0
"30","genus","Astartemia","Astarte","Astartidae",5,6706,0
"31","genus","Solena","Solen","Solenidae",233,1909,0
"32","genus","Yoldia","Yoldiela","Yoldiidae",2082,286,0.142857142857143
"33","genus","Modiolula","Modiola","Mytilidae",95,704,0.285714285714286
"34","genus","Modiolatus","Modiola","Mytilidae",16,704,0
"35","genus","Modiolatus","Modiolus","Mytilidae",16,2507,0.333333333333333
"36","genus","Acroperna","Arcoperna","Mytilidae",3,134,0
"37","genus","Perumitilus","Promitilus","Mytilidae",1,663,0.3
"38","genus","Axinulus","Axinus","Thyasiridae",30,18,0.285714285714286
"39","genus","Parmicorbula","Panamicorbula","Corbulidae",55,5,0.0909090909090909
"40","genus","Dreisenomia","Dreisena","Dreissenidae",4,135,0.25
"41","genus","Radiopecten","Radulopecten","Pectinidae",11,174,0.25
"42","genus","Adamusium","Amusium","Pectinidae",1,886,0.285714285714286
"43","genus","Lepidopecten","Leptopecten","Pectinidae",38,1258,0.333333333333333
"44","genus","Lisochlamis","Liriochlamis","Pectinidae",2,398,0.1
"45","genus","Anguipecten","Antipecten","Pectinidae",1,3,0.222222222222222
"46","genus","Vetericardiela","Venericardia","Carditidae",5,3885,0.222222222222222
"47","genus","Cilclocardia","Ciclocardia","Carditidae",4,2418,0
"48","genus","Carditela","Cardita","Carditidae",21,1637,0.142857142857143
"49","genus","Limea","Lima","Limidae",96,2653,0.4
"50","genus","Homoia","Homomia","Pholadomyidae",4,313,0
"51","genus","Platidon","Platiodon","Myidae",2,271,0
"52","genus","Pilucina","Parvilucina","Lucinidae",100,2046,0.222222222222222
"53","genus","Pterolucina","Prolucina","Lucinidae",24,5,0.2
"54","genus","Psammotela","Psammotena","Psammobiidae",1,1,0.222222222222222
"55","genus","Glicimerita","Glicimeris","Glycymerididae",1198,9738,0.222222222222222
"56","genus","Nucula","Nuculana","Nuculanidae",6758,5326,0.166666666666667
"57","genus","Sacela","Saccela","Nuculanidae",5,2587,0
"58","genus","Parainoceramus","Parainoceramia","Inoceramidae",4,24,0.181818181818182
"59","genus","Hippuritela","Hippurites","Hippuritidae",70,872,0.222222222222222
"60","genus","Borniola","Bornia","Lasaeidae",1,192,0.166666666666667
"61","genus","Montacutona","Montacuta","Lasaeidae",16,131,0
"62","genus","Utterbackiana","Utterbackia","Unionidae",4,85,0
"63","genus","Ambonichinia","Ambonichia","Ambonychiidae",16,995,0.111111111111111
"64","genus","Actinopterela","Actinopteria","Pterineidae",25,829,0.181818181818182
"65","genus","Scintilula","Scintila","Galeommatidae",2,23,0.25
"66","genus","Scintilona","Scintila","Galeommatidae",1,23,0.25
"67","genus","Pterinopecten","Pterinopectinela","Pterinopectinidae",249,50,0.181818181818182
"68","genus","Bakewelia","Bakevelia","Bakevelliidae",4,218,0.25
"69","genus","Goniomorpha","Goniophora","Modiomorphidae",48,563,0.222222222222222
"70","genus","Smilodonta","Similodonta","Praenuculidae",1,74,0
"71","genus","Cirtodontula","Cirtodonta","Cyrtodontidae",195,272,0.222222222222222
"72","genus","Anthraconauta","Anthraconaia","Naiaditidae",73,2611,0.2
"73","genus","Xilophagela","Xilophaga","Xylophagaidae",6,8,0.111111111111111
"74","genus","Dimiela","Dimia","Dimyidae",1,101,0.4
"75","genus","Pachirismela","Pachirisma","Pachyrismatidae",19,13,0.111111111111111
"76","genus","Ceromiopsis","Ceratomiopsis","Ceratomyopsidae",1,29,0.2
