"","level","t1","t2","group","freq1","freq2","m2"
"1","family","Meganterididae","Megathyrididae","Terebratulida",232,1527,0.272727272727273
"2","family","Mosaethyrididae","Megathyrididae","Terebratulida",2,1527,0.25
"3","family","Stringoephalidae","Stringocephalidae","Terebratulida",78,413,0.0714285714285714
"4","family","Rhipidothyridae","Rhipidothyrididae","Terebratulida",8,78,0
"5","family","Disciniidae","Discinidae","Lingulida",8,3683,0.125
"6","family","Thecideidae","Thecidellinidae","Thecideida",447,2513,0.222222222222222
"7","genus","Lingularia","Lingula","Lingulidae",66,3604,0
"8","genus","Zigospira","Zigospirela","Atrypidae",1794,600,0.2
"9","genus","Ptichomalotoechia","Ptichomaletoechia","Trigonirhynchiidae",18,81,0
"10","genus","Philhedrela","Philhedra","Craniidae",2,333,0.125
"11","genus","Oepikina","Opikina","Strophomenidae",667,169,0.285714285714286
"12","genus","Basiliolela","Basiliola","Basiliolidae",13,83,0.142857142857143
"13","genus","Chatwinothiris","Charltonithiris","Terebratulidae",5,7,0.181818181818182
"14","genus","Skenidoides","Skenidioides","Skenidiidae",1,1129,0
"15","genus","Orthostrophela","Orthostrophia","Orthidae",102,1676,0.363636363636364
"16","genus","Plectodontela","Plectodonta","Sowerbyellidae",1,207,0.111111111111111
"17","genus","Drabovinela","Drabovia","Draboviidae",7,115,0.125
"18","genus","Amphistrophia","Amphistrophiela","Amphistrophiidae",222,226,0.166666666666667
"19","genus","Leptodonta","Leptodontela","Stropheodontidae",18,11,0.111111111111111
"20","genus","Meristela","Merista","Meristellidae",4240,1287,0.142857142857143
"21","genus","Rhinchotreta","Rhinchotrema","Rhynchotrematidae",262,1282,0.0909090909090909
"22","genus","Chonostegoides","Chonosteges","Aulostegidae",6,427,0.111111111111111
"23","genus","Toriniferela","Torinifer","Elythidae",5,322,0
"24","genus","Martiniela","Martinia","Martiniidae",5,1420,0.142857142857143
"25","genus","Undelaria","Undaria","Monticuliferidae",4,19,0.375
"26","genus","Anathiris","Athiris","Athyrididae",40,5262,0.285714285714286
"27","genus","Devonalosia","Donalosia","Araksalosiidae",18,4,0.25
"28","genus","Plectoglosa","Paleoglosa","Obolidae",60,765,0.333333333333333
"29","genus","Bouchardiela","Bouchardia","Bouchardiidae",1,243,0.1
"30","genus","Shaleriela","Shaleria","Shaleriidae",21,108,0
"31","genus","Rhinchoneloidea","Rhinchonela","Rhynchonellidae",21,3633,0.111111111111111
"32","genus","Curtirhinchia","Cretirhinchia","Rhynchonellidae",4,82,0.2
"33","genus","Rusirhinchia","Rudirhinchia","Rhynchonellidae",2,3,0.2
"34","genus","Kjerulfina","Kjerina","Rafinesquinidae",34,289,0.6
"35","genus","Aulacothiroides","Aulacothiris","Zeilleriidae",6,170,0.0909090909090909
"36","genus","Homoeospirela","Homoeospira","Rhynchospirinidae",21,1680,0.111111111111111
"37","genus","Thecidela","Thecidea","Thecideidae",19,151,0.25
"38","genus","Streptorinchus","Streptorhinchus","Streptorhynchidae",2,676,0
"39","genus","Hesperonomia","Hesperonomiela","Hesperonomiidae",138,30,0.0909090909090909
"40","genus","Linnarsonia","Linnarsonela","Acrotretidae",115,224,0.222222222222222
"41","genus","Apheorthis","Apheoorthis","Eoorthidae",8,912,0
"42","genus","Chonostrophiela","Chonostrophia","Chonostrophiidae",16,136,0.181818181818182
"43","genus","Enantiosphen","Enantiosphenela","Enantiosphenidae",1,9,0.0909090909090909
"44","genus","Acanthothiropsis","Acanthothiris","Acanthothirididae",1,13,0.181818181818182
