"","site_quota","radius","n.samples","n.timeBins","n.subregions","avg.obs.per.timeBin","avg.obs.per.subregion"
"1",2,200000,1600,8,16,200,100
"2",3,200000,800,6,8,133.333333333333,100
"3",4,200000,300,3,3,100,100
"5",2,500000,1600,10,16,160,100
"6",3,500000,1000,6,10,166.666666666667,100
"7",4,500000,700,6,7,116.666666666667,100
"8",5,500000,300,3,3,100,100
"9",2,1000000,1600,11,16,145.454545454545,100
"10",3,1000000,1000,6,10,166.666666666667,100
"11",4,1000000,700,5,7,140,100
"12",5,1000000,400,4,4,100,100
