"","site_quota","radius","n.samples","n.timeBins","n.subregions","avg.obs.per.timeBin","avg.obs.per.subregion"
"1",2,200000,1200,9,12,133.333333333333,100
"2",3,200000,600,5,6,120,100
"3",4,200000,200,2,2,100,100
"4",5,200000,100,1,1,100,100
"5",2,500000,1600,11,16,145.454545454545,100
"6",3,500000,800,7,8,114.285714285714,100
"7",4,500000,600,6,6,100,100
"8",5,500000,300,3,3,100,100
"9",2,1000000,1400,11,14,127.272727272727,100
"10",3,1000000,1000,9,10,111.111111111111,100
"11",4,1000000,800,7,8,114.285714285714,100
"12",5,1000000,400,4,4,100,100
