"","site_quota","radius","n.samples","n.timeBins","n.subregions","avg.obs.per.timeBin","avg.obs.per.subregion","intercept","intercept.std.error","intercept.df","intercept.t.value","intercept.p.value","slope","slope.std.error","slope.df","slope.t.value","slope.p.value"
"1",2,200000,1300,9,13,144.444444444444,100,16.2820054954818,5.33883309990477,8.19772820291466,3.0497311286566,0.0153778801023694,0.0164976470743751,0.0427901707774605,1283.85486070891,0.38554758662158,0.699895628007023
"2",3,200000,500,5,5,100,100,18.5154783566562,6.26834779266897,4.17416415464288,2.95380520817792,0.0396538391516647,-0.00728991571011559,0.0519981788291719,497.250863633131,-0.140195596735511,0.888562220089157
"5",2,500000,2300,14,23,164.285714285714,100,14.2117027977149,2.93226745554649,23.3321995719131,4.84665979934162,6.58294304735515e-05,0.0127759219796065,0.0269527488275845,2295.71565048308,0.474011836838367,0.635536543625702
"6",3,500000,600,6,6,100,100,19.4463189001415,5.52812165507552,5.24554520170367,3.51770820424823,0.0156682772582952,-0.00815328793268045,0.0528784044402512,597.088515900498,-0.154189371237422,0.877512523352884
"7",4,500000,600,6,6,100,100,19.4381092628256,5.4540803905164,5.31157191358164,3.56395723404164,0.0145792934715889,-0.0135325135634146,0.0562344834094804,597.654658365916,-0.240644400782975,0.809913259113336
"8",5,500000,200,2,2,100,100,11.9710231951662,9.96669398168587,1.09974323552532,1.20110271441698,0.427795472275697,0.29424908729562,0.111960385710112,196.683196853428,2.6281535690444,0.00926256226418647
"9",2,1000000,2100,15,21,140,100,17.9692827546988,3.77136012065577,14.5403332099218,4.76466902650874,0.000272585775916802,-0.00810663210609252,0.0284382347044378,1994.15652500152,-0.285061016984556,0.77562699695556
"10",3,1000000,1200,11,12,109.090909090909,100,14.943558342293,3.34858176911829,10.0767897278071,4.46265295956258,0.00118852973813275,0.0159303540440429,0.0225978957251071,1184.85142911138,0.704948559716722,0.480980796843196
"11",4,1000000,700,7,7,100,100,18.5691285483739,4.85821403584518,6.15057147407859,3.8222129390278,0.00833642486438338,-0.0462629500677229,0.0301067473406829,694.488667035502,-1.53663062781971,0.12483923334229
"12",5,1000000,300,3,3,100,100,15.3554756885432,7.47572585277475,2.08876113785467,2.05404478320239,0.170899045527868,0.0474859731251461,0.092078242204339,297.896126390153,0.515713288919718,0.606437198395694
