"","site_quota","radius","n.samples","n.timeBins","n.subregions","avg.obs.per.timeBin","avg.obs.per.subregion","intercept","intercept.std.error","intercept.df","intercept.t.value","intercept.p.value","slope","slope.std.error","slope.df","slope.t.value","slope.p.value"
"1",2,200000,700,6,7,116.666666666667,100,11.6089282604607,2.7843192713673,4.76342663947129,4.1693955071323,0.00970378763698522,0.0380858570465759,0.031806535497913,694.33582914532,1.19742236777328,0.231550597429645
"2",3,200000,400,4,4,100,100,13.822507866644,3.6856907317316,3.23874728192687,3.7503167988677,0.0289981019219173,0.00720507088597827,0.0504037273373255,395.823898771535,0.142947184000075,0.886404631822564
"3",4,200000,200,2,2,100,100,19.2188230086759,8.18503192297216,1.04409088295343,2.34804496665875,0.247804174389651,-0.0490042518714672,0.0777318095068134,197.566474968339,-0.630427262434588,0.529143601901688
"5",2,500000,1000,9,10,111.111111111111,100,29.533475074819,12.8412194005566,8.29746102957859,2.29989646260066,0.0493543231676735,-0.0147691274531229,0.083959527313809,994.943400570207,-0.175907701313294,0.860402250248896
"6",3,500000,700,6,7,116.666666666667,100,19.1372400680696,5.35714668568454,5.45234561804772,3.5722822597351,0.0138189681595268,0.00632781266472619,0.0729983367610492,696.96167705864,0.0866843402944847,0.930947321527689
"7",4,500000,400,4,4,100,100,16.8265848830778,3.89389384893702,3.3329751121335,4.32127467667646,0.018375005710266,0.0931181944777101,0.0485521031677595,397.814005504556,1.9179023853192,0.055839030140801
"8",5,500000,200,2,2,100,100,21.9235902194014,4.41153736737919,1.16089920123653,4.9696032003523,0.101086344908612,0.116308478805435,0.0669005845340152,186.738895148678,1.73852709382978,0.083766175163779
"9",2,1000000,1000,9,10,111.111111111111,100,34.1149791544413,13.955971883271,8.27053419570628,2.44447176017422,0.039337064468609,-0.00913156165590019,0.0831012417331467,996.375649640797,-0.109884779883594,0.912522880718617
"10",3,1000000,700,6,7,116.666666666667,100,19.947734045007,5.59350237861353,5.49663302502967,3.56623322826787,0.0137245533091357,-0.0287980781692925,0.0740080272936204,696.339639148282,-0.389121007847414,0.697305595626138
"11",4,1000000,500,4,5,125,100,24.7276697729162,5.99285645187103,3.66027452025035,4.12619090270316,0.0174212682859187,0.00150206307722606,0.0968853135902493,497.676947598239,0.0155035166999473,0.987636691970171
"12",5,1000000,200,2,2,100,100,22.3154053900677,4.30832872805437,1.23764948425429,5.17959672964538,0.0869094355497997,0.0545530605447591,0.0801081805070815,193.409814919579,0.680992380546412,0.49669081020806
