"","site_quota","radius","n.samples","n.timeBins","n.subregions","avg.obs.per.timeBin","avg.obs.per.subregion"
"1",2,200000,3800,22,38,172.727272727273,100
"2",3,200000,1200,8,12,150,100
"3",4,200000,400,4,4,100,100
"5",2,500000,4400,26,44,169.230769230769,100
"6",3,500000,1700,13,17,130.769230769231,100
"7",4,500000,1100,8,11,137.5,100
"8",5,500000,600,5,6,120,100
"9",2,1000000,4200,28,42,150,100
"10",3,1000000,2100,17,21,123.529411764706,100
"11",4,1000000,1400,10,14,140,100
"12",5,1000000,900,5,9,180,100
