"","genus","ecology","category"
"1","Acanomyphoria","shallowI","infaunal"
"2","Acanthopecten","epibyssate","epifaunal"
"3","Acesta","epibyssate","epifaunal"
"4","Acharax","deepI","infaunal"
"5","Actinodontophora","epibyssate","epifaunal"
"6","Actinostreon","cemented","epifaunal"
"7","Aetostreon","recliner","epifaunal"
"8","Africogryphaea","recliner","epifaunal"
"9","Agerchlamys","epibyssate","epifaunal"
"10","Agonisca","shallowI","infaunal"
"11","Agrawalimya","deepI","infaunal"
"12","Aguilerella","epibyssate","epifaunal"
"13","Aksumya","shallowI","infaunal"
"14","Alula","deepI","infaunal"
"15","Amonotis","epibyssate","epifaunal"
"16","Ampezzania","recliner","epifaunal"
"17","Amphijanira","epibyssate","epifaunal"
"18","Anadara","shallowI","infaunal"
"19","Anditrigonia","shallowI","infaunal"
"20","Anisocardia","shallowI","infaunal"
"21","Anisocardioides","shallowI","infaunal"
"22","Anningella","epibyssate","epifaunal"
"23","Annuliconcha","epibyssate","epifaunal"
"24","Anomalopleuroidea","deepI","infaunal"
"25","Anopaea","epibyssate","epifaunal"
"26","Antarctica","shallowI","infaunal"
"27","Antijanira","epibyssate","epifaunal"
"28","Antiquicorbula","shallowI","infaunal"
"29","Antiquicyprina","shallowI","infaunal"
"30","Antiquilima","epibyssate","epifaunal"
"31","Aparimella","recliner","epifaunal"
"32","Aphanaia","epibyssate","epifaunal"
"33","Aphrodina","shallowI","infaunal"
"34","Arcavicula","epibyssate","epifaunal"
"35","Arcomytilus","epibyssate","epifaunal"
"36","Arctica","shallowI","infaunal"
"37","Arctocardinia","shallowI","infaunal"
"38","Arctomytiloides","epibyssate","epifaunal"
"39","Arctotis","epibyssate","epifaunal"
"40","Argutostrea","cemented","epifaunal"
"41","Asoella","epibyssate","epifaunal"
"42","Astarte","shallowI","infaunal"
"43","Astartella","shallowI","infaunal"
"44","Astartellopsis","shallowI","infaunal"
"45","Astartila","shallowI","infaunal"
"46","Astartoides","shallowI","infaunal"
"47","Atalantia","shallowI","infaunal"
"48","Atomodesma","epibyssate","epifaunal"
"49","Atreta","cemented","epifaunal"
"50","Atrina","epibyssate","epifaunal"
"51","Aulacomyella","recliner","epifaunal"
"52","Australobuchia","epibyssate","epifaunal"
"53","Australomya","shallowI","infaunal"
"54","Austrocardilanx","shallowI","infaunal"
"55","Austrocyprina","shallowI","infaunal"
"56","Austrotindaria","shallowI","infaunal"
"57","Avichlamys","epibyssate","epifaunal"
"58","Avicularca","epibyssate","epifaunal"
"59","Aviculolima","epibyssate","epifaunal"
"60","Aviculomyalina","epibyssate","epifaunal"
"61","Aviculopecten","epibyssate","epifaunal"
"62","Aviculopinna","epibyssate","epifaunal"
"63","Badiotella","epibyssate","epifaunal"
"64","Bakevellia","epibyssate","epifaunal"
"65","Balantioselena","shallowI","infaunal"
"66","Bapristodia","epibyssate","epifaunal"
"67","Barbatia","epibyssate","epifaunal"
"68","Beauvoisina","deepI","infaunal"
"69","Bittneria","epibyssate","epifaunal"
"70","Bositra","recliner","epifaunal"
"71","Botulopsis","epibyssate","epifaunal"
"72","Brachidontes","epibyssate","epifaunal"
"73","Buchia","epibyssate","epifaunal"
"74","Buchotrigonia","shallowI","infaunal"
"75","Buckhornia","epibyssate","epifaunal"
"76","Burckhardtia","recliner","epifaunal"
"77","Burmesia","deepI","infaunal"
"78","Caenodiotis","epibyssate","epifaunal"
"79","Caestocorbula","shallowI","infaunal"
"80","Calcicanicularia","epibyssate","epifaunal"
"81","Caledogonia","shallowI","infaunal"
"82","Camptochlamys","epibyssate","epifaunal"
"83","Camptonectes","epibyssate","epifaunal"
"84","Canadonectites","epibyssate","epifaunal"
"85","Cardinia","shallowI","infaunal"
"86","Cardinioides","shallowI","infaunal"
"87","Cardiniopsis","shallowI","infaunal"
"88","Cardiomorpha","shallowI","infaunal"
"89","Carinocardia","recliner","epifaunal"
"90","Carterochaena","deepI","infaunal"
"91","Cassianella","recliner","epifaunal"
"92","Cassianoides","epibyssate","epifaunal"
"93","Cassiavellia","epibyssate","epifaunal"
"94","Catella","epibyssate","epifaunal"
"95","Celtoides","epibyssate","epifaunal"
"96","Ceratomya","shallowI","infaunal"
"97","Ceratomyopsis","shallowI","infaunal"
"98","Ceratostreon","unknownE","epifaunal"
"99","Cercomya","deepI","infaunal"
"100","Cerkesia","shallowI","infaunal"
"101","Chaenocardia","epibyssate","epifaunal"
"102","Chaenomya","deepI","infaunal"
"103","Chlamys","epibyssate","epifaunal"
"104","Cigarella","epibyssate","epifaunal"
"105","Circunula","cemented","epifaunal"
"106","Claraia","epibyssate","epifaunal"
"107","Clavicosta","epibyssate","epifaunal"
"108","Clinopistha","deepI","infaunal"
"109","Cochlearites","recliner","epifaunal"
"110","Coelastarte","shallowI","infaunal"
"111","Coelopis","epibyssate","epifaunal"
"112","Conchodon","recliner","epifaunal"
"113","Confusionella","epibyssate","epifaunal"
"114","Corbicellopsis","deepI","infaunal"
"115","Corbicula","shallowI","infaunal"
"116","Corbulomima","shallowI","infaunal"
"117","Cornucardia","recliner","epifaunal"
"118","Corrugopecten","epibyssate","epifaunal"
"119","Cosmomya","deepI","infaunal"
"120","Costatoaphanaia","epibyssate","epifaunal"
"121","Costatoria","shallowI","infaunal"
"122","Costigervillia","epibyssate","epifaunal"
"123","Crassiconcha","shallowI","infaunal"
"124","Crenamussium","epibyssate","epifaunal"
"125","Crenipecten","epibyssate","epifaunal"
"126","Crenotrapezium","shallowI","infaunal"
"127","Cretaxinus","deepI","infaunal"
"128","Crittendenia","epibyssate","epifaunal"
"129","Ctenoides","epibyssate","epifaunal"
"130","Ctenostreon","epibyssate","epifaunal"
"131","Cucullaea","shallowI","infaunal"
"132","Cunavella","deepI","infaunal"
"133","Cuneigervillia","epibyssate","epifaunal"
"134","Cuneocorbula","shallowI","infaunal"
"135","Curionia","epibyssate","epifaunal"
"136","Cuspidaria","shallowI","infaunal"
"137","Cypricardinia","epibyssate","epifaunal"
"138","Cyrtokolymia","epibyssate","epifaunal"
"139","Cyrtorostra","epibyssate","epifaunal"
"140","Dacryomya","shallowI","infaunal"
"141","Daonella","recliner","epifaunal"
"142","Datta","epibyssate","epifaunal"
"143","Deltoideum","recliner","epifaunal"
"144","Deltopecten","epibyssate","epifaunal"
"145","Denguiria","recliner","epifaunal"
"146","Dentiterquemia","cemented","epifaunal"
