"","interval","midpoint","LAD","FAD","colour"
"1","Fortunian",533.9,529,538.8,"#99B575"
"2","Stage 2",525,521,529,"#A6BA80"
"3","Stage 3",517.75,514.5,521,"#A6C583"
"4","Stage 4",510.5,506.5,514.5,"#B3CA8E"
"5","Wuliuan",505.5,504.5,506.5,"#B3D492"
"6","Drumian",502.5,500.5,504.5,"#BFD99D"
"7","Guzhangian",498.75,497,500.5,"#CCDFAA"
"8","Paibian",495.6,494.2,497,"#CCEBAE"
"9","Jiangshanian",492.6,491,494.2,"#D9F0BB"
"10","Stage 10",488.925,486.85,491,"#E6F5C9"
"11","Tremadocian",481.975,477.1,486.85,"#33A97E"
"12","Floian",474.2,471.3,477.1,"#41B087"
"13","Dapingian",470.35,469.4,471.3,"#66C092"
"14","Darriwilian",463.8,458.2,469.4,"#74C69C"
"15","Sandbian",455.5,452.8,458.2,"#8CD094"
"16","Katian",449,445.2,452.8,"#99D69F"
"17","Hirnantian",444.15,443.1,445.2,"#A6DBAB"
"18","Rhuddanian",441.8,440.5,443.1,"#A6DCB5"
"19","Aeronian",439.55,438.6,440.5,"#B3E1C2"
"20","Telychian",435.75,432.9,438.6,"#BFE6CF"
"21","Sheinwoodian",431.75,430.6,432.9,"#BFE6C3"
"22","Homerian",428.65,426.7,430.6,"#CCEBD1"
"23","Gorstian",425.85,425,426.7,"#CCECDD"
"24","Ludfordian",423.85,422.7,425,"#D9F0DF"
"25","Pridoli",421.16,419.62,422.7,"#E6F5E1"
"26","Lochkovian",416.32,413.02,419.62,"#E5B75A"
"27","Pragian",411.82,410.62,413.02,"#E5C468"
"28","Emsian",402.045,393.47,410.62,"#E5D075"
"29","Eifelian",390.71,387.95,393.47,"#F1D576"
"30","Givetian",385.13,382.31,387.95,"#F1E185"
"31","Frasnian",377.23,372.15,382.31,"#F2EDAD"
"32","Famennian",365.505,358.86,372.15,"#F2EDC5"
"33","Tournaisian",352.78,346.7,358.86,"#8CB06C"
"34","Visean",338.5,330.3,346.7,"#A6B96C"
"35","Serpukhovian",326.85,323.4,330.3,"#BFC26B"
"36","Bashkirian",319.3,315.2,323.4,"#99C2B5"
"37","Moscovian",311.1,307,315.2,"#C7CBB9"
"38","Kasimovian",305.35,303.7,307,"#BFD0C5"
"39","Gzhelian",301.3,298.9,303.7,"#CCD4C7"
"40","Asselian",296.21,293.52,298.9,"#E36350"
"41","Sakmarian",291.81,290.1,293.52,"#E36F5C"
"42","Artinskian",286.7,283.3,290.1,"#E37B68"
"43","Kungurian",278.85,274.4,283.3,"#E38776"
"44","Roadian",270.65,266.9,274.4,"#FB8069"
"45","Wordian",265.59,264.28,266.9,"#FB8D76"
"46","Capitanian",261.895,259.51,264.28,"#FB9A85"
"47","Wuchiapingian",256.825,254.14,259.51,"#FCB4A2"
"48","Changhsingian",253.021,251.902,254.14,"#FCC0B2"
"49","Induan",250.901,249.9,251.902,"#A4469F"
"50","Olenekian",248.3,246.7,249.9,"#B051A5"
"51","Anisian",244.082,241.464,246.7,"#BC75B7"
"52","Ladinian",239.232,237,241.464,"#C983BF"
"53","Carnian",232.15,227.3,237,"#C99BCB"
"54","Norian",216.5,205.7,227.3,"#D6AAD3"
"55","Rhaetian",203.55,201.4,205.7,"#E3B9DB"
"56","Hettangian",200.45,199.5,201.4,"#4EB3D3"
"57","Sinemurian",196.2,192.9,199.5,"#67BCD8"
"58","Pliensbachian",188.55,184.2,192.9,"#80C5DD"
"59","Toarcian",179.45,174.7,184.2,"#99CEE3"
"60","Aalenian",172.8,170.9,174.7,"#9AD9DD"
"61","Bajocian",169.55,168.2,170.9,"#A6DDE0"
"62","Bathonian",166.75,165.3,168.2,"#B3E2E3"
"63","Callovian",163.4,161.5,165.3,"#BFE7E5"
"64","Oxfordian",158.15,154.8,161.5,"#BFE7F1"
"65","Kimmeridgian",152,149.2,154.8,"#CCECF4"
"66","Tithonian",146.15,143.1,149.2,"#D9F1F7"
"67","Berriasian",140.075,137.05,143.1,"#8CCD60"
"68","Valanginian",134.825,132.6,137.05,"#99D36A"
"69","Hauterivian",129.185,125.77,132.6,"#A6D975"
"70","Barremian",123.585,121.4,125.77,"#B3DF7F"
"71","Aptian",117.3,113.2,121.4,"#BFE48A"
"72","Albian",106.85,100.5,113.2,"#CCEA97"
"73","Cenomanian",97.2,93.9,100.5,"#B3DE53"
"74","Turonian",91.85,89.8,93.9,"#BFE35D"
"75","Coniacian",87.75,85.7,89.8,"#CCE968"
"76","Santonian",84.65,83.6,85.7,"#D9EF74"
"77","Campanian",77.9,72.2,83.6,"#E6F47F"
"78","Maastrichtian",69.1,66,72.2,"#F2FA8C"
"79","Danian",63.83,61.66,66,"#FDB462"
"80","Selandian-Thanetian",58.83,56,61.66,"#FEBF65"
"81","Ypresian",52.035,48.07,56,"#FCA773"
"82","Lutetian",44.55,41.03,48.07,"#FCB482"
"83","Bartonian",39.37,37.71,41.03,"#FDC091"
"84","Priabonian",35.805,33.9,37.71,"#FDCDA1"
"85","Rupelian",30.6,27.3,33.9,"#FED99A"
"86","Chattian",25.17,23.04,27.3,"#FEE6AA"
"87","Lower Miocene",19.51,15.98,23.04,"#FFFF33"
"88","Middle Miocene",13.805,11.63,15.98,"#FFFF4D"
"89","Upper Miocene",8.4815,5.333,11.63,"#FFFF66"
"90","Pliocene",3.9565,2.58,5.333,"#FFFFB3"
"91","Pleistocene",1.296,0.012,2.58,"#FFEDB3"
"92","Holocene",0.006,0,0.012,"#FEF2E0"
