paleolongitude,paleolatitude,temp,Age,depth,Stage,Filename
-180,90,3.52628326416016,106.85,0,Albian,climate_time_107.csv
-179,90,3.5620698928833,106.85,-120,Albian,climate_time_107.csv
-178,90,3.59250545501709,106.85,-120,Albian,climate_time_107.csv
-177,90,3.61738610267639,106.85,-120,Albian,climate_time_107.csv
-176,90,3.63673996925354,106.85,-120,Albian,climate_time_107.csv
-175,90,3.65057158470154,106.85,-120,Albian,climate_time_107.csv
-174,90,3.65911221504211,106.85,-120,Albian,climate_time_107.csv
-173,90,3.66257905960083,106.85,-120,Albian,climate_time_107.csv
-172,90,3.66145253181458,106.85,-120,Albian,climate_time_107.csv
-171,90,3.65626215934753,106.85,-120,Albian,climate_time_107.csv
-170,90,3.64760756492615,106.85,-120,Albian,climate_time_107.csv
-169,90,3.63612771034241,106.85,-120,Albian,climate_time_107.csv
-168,90,3.62247037887573,106.85,-120,Albian,climate_time_107.csv
-167,90,3.60726523399353,106.85,-120,Albian,climate_time_107.csv
-166,90,3.59110116958618,106.85,-120,Albian,climate_time_107.csv
-165,90,3.57450652122498,106.85,-120,Albian,climate_time_107.csv
-164,90,3.55793714523315,106.85,-120,Albian,climate_time_107.csv
-163,90,3.54176616668701,106.85,-120,Albian,climate_time_107.csv
-162,90,3.52627754211426,106.85,-120,Albian,climate_time_107.csv
-161,90,3.51165986061096,106.85,-120,Albian,climate_time_107.csv
-160,90,3.49800086021423,106.85,-120,Albian,climate_time_107.csv
-159,90,3.4852819442749,106.85,-120,Albian,climate_time_107.csv
-158,90,3.47336792945862,106.85,-120,Albian,climate_time_107.csv
-157,90,3.46199584007263,106.85,-120,Albian,climate_time_107.csv
-156,90,3.45076107978821,106.85,-160,Albian,climate_time_107.csv
-155,90,3.43910098075867,106.85,-160,Albian,climate_time_107.csv
-154,90,3.42627358436584,106.85,-160,Albian,climate_time_107.csv
-153,90,3.41133666038513,106.85,-160,Albian,climate_time_107.csv
-152,90,3.39312195777893,106.85,-160,Albian,climate_time_107.csv
-151,90,3.37020945549011,106.85,-160,Albian,climate_time_107.csv
-150,90,3.34089994430542,106.85,-160,Albian,climate_time_107.csv
-149,90,3.30318522453308,106.85,-160,Albian,climate_time_107.csv
-148,90,3.25472164154053,106.85,-160,Albian,climate_time_107.csv
-147,90,3.19280743598938,106.85,-160,Albian,climate_time_107.csv
-146,90,3.11437797546387,106.85,-160,Albian,climate_time_107.csv
-145,90,3.01604080200195,106.85,-160,Albian,climate_time_107.csv
-144,90,2.89420175552368,106.85,-80,Albian,climate_time_107.csv
-143,90,2.74539613723755,106.85,-3840,Albian,climate_time_107.csv
-142,90,2.56704545021057,106.85,-3840,Albian,climate_time_107.csv
-141,90,2.35905909538269,106.85,-3840,Albian,climate_time_107.csv
-140,90,2.12692761421204,106.85,-3840,Albian,climate_time_107.csv
-139,90,1.88671278953552,106.85,-3840,Albian,climate_time_107.csv
-138,90,1.66962432861328,106.85,-3840,Albian,climate_time_107.csv
-137,90,1.51345837116241,106.85,-3840,Albian,climate_time_107.csv
-136,90,1.41328620910645,106.85,-3840,Albian,climate_time_107.csv
-135,90,1.35305368900299,106.85,-2560,Albian,climate_time_107.csv
