paleolongitude,paleolatitude,temp,Age,depth,Stage,Filename
-180,90,-1.69127869606018,296.21,-3040,Asselian,climate_time_296.csv
-179,90,-1.69152843952179,296.21,-3480,Asselian,climate_time_296.csv
-178,90,-1.69177567958832,296.21,-3480,Asselian,climate_time_296.csv
-177,90,-1.6920200586319,296.21,-3480,Asselian,climate_time_296.csv
-176,90,-1.6922619342804,296.21,-3480,Asselian,climate_time_296.csv
-175,90,-1.69250118732452,296.21,-3480,Asselian,climate_time_296.csv
-174,90,-1.69273781776428,296.21,-3480,Asselian,climate_time_296.csv
-173,90,-1.69297194480896,296.21,-3480,Asselian,climate_time_296.csv
-172,90,-1.69320344924927,296.21,-3480,Asselian,climate_time_296.csv
-171,90,-1.69343256950378,296.21,-3480,Asselian,climate_time_296.csv
-170,90,-1.6936594247818,296.21,-3480,Asselian,climate_time_296.csv
-169,90,-1.69388353824615,296.21,-3480,Asselian,climate_time_296.csv
-168,90,-1.69410526752472,296.21,-3480,Asselian,climate_time_296.csv
-167,90,-1.69432473182678,296.21,-3480,Asselian,climate_time_296.csv
-166,90,-1.69454169273376,296.21,-3480,Asselian,climate_time_296.csv
-165,90,-1.69475603103638,296.21,-3480,Asselian,climate_time_296.csv
-164,90,-1.6949679851532,296.21,-3480,Asselian,climate_time_296.csv
-163,90,-1.69517707824707,296.21,-3480,Asselian,climate_time_296.csv
-162,90,-1.69538390636444,296.21,-3480,Asselian,climate_time_296.csv
-161,90,-1.69558799266815,296.21,-3480,Asselian,climate_time_296.csv
-160,90,-1.69578921794891,296.21,-3480,Asselian,climate_time_296.csv
-159,90,-1.69598770141602,296.21,-3480,Asselian,climate_time_296.csv
-158,90,-1.69618320465088,296.21,-3480,Asselian,climate_time_296.csv
-157,90,-1.69637560844421,296.21,-3480,Asselian,climate_time_296.csv
-156,90,-1.6965651512146,296.21,-3480,Asselian,climate_time_296.csv
-155,90,-1.69675135612488,296.21,-3480,Asselian,climate_time_296.csv
-154,90,-1.69693446159363,296.21,-3480,Asselian,climate_time_296.csv
-153,90,-1.69711399078369,296.21,-3480,Asselian,climate_time_296.csv
-152,90,-1.69729018211365,296.21,-3480,Asselian,climate_time_296.csv
-151,90,-1.69746279716492,296.21,-3480,Asselian,climate_time_296.csv
-150,90,-1.6976318359375,296.21,-3480,Asselian,climate_time_296.csv
-149,90,-1.69779717922211,296.21,-3480,Asselian,climate_time_296.csv
-148,90,-1.69795870780945,296.21,-3480,Asselian,climate_time_296.csv
-147,90,-1.69811654090881,296.21,-3480,Asselian,climate_time_296.csv
-146,90,-1.69827032089233,296.21,-3480,Asselian,climate_time_296.csv
-145,90,-1.69842040538788,296.21,-3480,Asselian,climate_time_296.csv
-144,90,-1.69856655597687,296.21,-3480,Asselian,climate_time_296.csv
-143,90,-1.6987087726593,296.21,-3480,Asselian,climate_time_296.csv
-142,90,-1.69884693622589,296.21,-3480,Asselian,climate_time_296.csv
-141,90,-1.69898128509521,296.21,-3480,Asselian,climate_time_296.csv
-140,90,-1.69911158084869,296.21,-3480,Asselian,climate_time_296.csv
-139,90,-1.69923794269562,296.21,-3480,Asselian,climate_time_296.csv
-138,90,-1.69936060905457,296.21,-3480,Asselian,climate_time_296.csv
-137,90,-1.69947910308838,296.21,-3480,Asselian,climate_time_296.csv
-136,90,-1.69959378242493,296.21,-3480,Asselian,climate_time_296.csv
-135,90,-1.69970464706421,296.21,-3480,Asselian,climate_time_296.csv
-134,90,-1.69981157779694,296.21,-3480,Asselian,climate_time_296.csv
-133,90,-1.69991457462311,296.21,-3480,Asselian,climate_time_296.csv
-132,90,-1.7000138759613,296.21,-3480,Asselian,climate_time_296.csv
-131,90,-1.70010900497437,296.21,-3480,Asselian,climate_time_296.csv
-130,90,-1.70020055770874,296.21,-3480,Asselian,climate_time_296.csv
-129,90,-1.70028817653656,296.21,-3480,Asselian,climate_time_296.csv
-128,90,-1.70037186145782,296.21,-3480,Asselian,climate_time_296.csv
-127,90,-1.70045149326324,296.21,-3480,Asselian,climate_time_296.csv
-126,90,-1.7005273103714,296.21,-3480,Asselian,climate_time_296.csv
-125,90,-1.700599193573,296.21,-3480,Asselian,climate_time_296.csv
-124,90,-1.70066690444946,296.21,-3480,Asselian,climate_time_296.csv
-123,90,-1.70073068141937,296.21,-3480,Asselian,climate_time_296.csv
-122,90,-1.70079052448273,296.21,-3480,Asselian,climate_time_296.csv
-121,90,-1.70084619522095,296.21,-3480,Asselian,climate_time_296.csv
-120,90,-1.70089769363403,296.21,-3480,Asselian,climate_time_296.csv
-119,90,-1.70094501972198,296.21,-3480,Asselian,climate_time_296.csv
-118,90,-1.7009881734848,296.21,-3480,Asselian,climate_time_296.csv
-117,90,-1.70102715492249,296.21,-3480,Asselian,climate_time_296.csv
