paleolongitude,paleolatitude,temp,Age,depth,Stage,Filename
-180,90,1.07172322273254,169.55,0,Bajocian,climate_time_169.5.csv
-179,90,1.0807386636734,169.55,-1720,Bajocian,climate_time_169.5.csv
-178,90,1.09052395820618,169.55,-3480,Bajocian,climate_time_169.5.csv
-177,90,1.1011049747467,169.55,-3480,Bajocian,climate_time_169.5.csv
-176,90,1.11248517036438,169.55,-3480,Bajocian,climate_time_169.5.csv
-175,90,1.12462329864502,169.55,-3480,Bajocian,climate_time_169.5.csv
-174,90,1.13734447956085,169.55,-3480,Bajocian,climate_time_169.5.csv
-173,90,1.15037727355957,169.55,-3480,Bajocian,climate_time_169.5.csv
-172,90,1.16349101066589,169.55,-3480,Bajocian,climate_time_169.5.csv
-171,90,1.17660915851593,169.55,-3480,Bajocian,climate_time_169.5.csv
-170,90,1.18978476524353,169.55,-3480,Bajocian,climate_time_169.5.csv
-169,90,1.20310056209564,169.55,-3480,Bajocian,climate_time_169.5.csv
-168,90,1.21657347679138,169.55,-3480,Bajocian,climate_time_169.5.csv
-167,90,1.23012137413025,169.55,-3480,Bajocian,climate_time_169.5.csv
-166,90,1.24362194538116,169.55,-3480,Bajocian,climate_time_169.5.csv
-165,90,1.25695586204529,169.55,-3480,Bajocian,climate_time_169.5.csv
-164,90,1.27003073692322,169.55,-3480,Bajocian,climate_time_169.5.csv
-163,90,1.28277385234833,169.55,-3480,Bajocian,climate_time_169.5.csv
-162,90,1.29511868953705,169.55,-3480,Bajocian,climate_time_169.5.csv
-161,90,1.30701124668121,169.55,-3480,Bajocian,climate_time_169.5.csv
-160,90,1.31841611862183,169.55,-3480,Bajocian,climate_time_169.5.csv
-159,90,1.3293137550354,169.55,-3480,Bajocian,climate_time_169.5.csv
-158,90,1.33969211578369,169.55,-3480,Bajocian,climate_time_169.5.csv
-157,90,1.3495489358902,169.55,-3480,Bajocian,climate_time_169.5.csv
-156,90,1.35889434814453,169.55,-3480,Bajocian,climate_time_169.5.csv
-155,90,1.3677533864975,169.55,-3480,Bajocian,climate_time_169.5.csv
-154,90,1.37616109848022,169.55,-3480,Bajocian,climate_time_169.5.csv
-153,90,1.38415467739105,169.55,-3480,Bajocian,climate_time_169.5.csv
-152,90,1.3917783498764,169.55,-3480,Bajocian,climate_time_169.5.csv
-151,90,1.39909017086029,169.55,-3480,Bajocian,climate_time_169.5.csv
-150,90,1.40615344047546,169.55,-3480,Bajocian,climate_time_169.5.csv
-149,90,1.41302609443665,169.55,-3480,Bajocian,climate_time_169.5.csv
-148,90,1.41976821422577,169.55,-3480,Bajocian,climate_time_169.5.csv
-147,90,1.42644989490509,169.55,-3480,Bajocian,climate_time_169.5.csv
-146,90,1.43313992023468,169.55,-3480,Bajocian,climate_time_169.5.csv
-145,90,1.43989765644073,169.55,-3480,Bajocian,climate_time_169.5.csv
-144,90,1.44678330421448,169.55,-3480,Bajocian,climate_time_169.5.csv
-143,90,1.45386290550232,169.55,-3480,Bajocian,climate_time_169.5.csv
-142,90,1.46119344234467,169.55,-3480,Bajocian,climate_time_169.5.csv
-141,90,1.46880006790161,169.55,-3480,Bajocian,climate_time_169.5.csv
-140,90,1.47665560245514,169.55,-3480,Bajocian,climate_time_169.5.csv
-139,90,1.48471009731293,169.55,-3480,Bajocian,climate_time_169.5.csv
-138,90,1.49293160438538,169.55,-3480,Bajocian,climate_time_169.5.csv
-137,90,1.50131666660309,169.55,-3480,Bajocian,climate_time_169.5.csv
-136,90,1.50985813140869,169.55,-3480,Bajocian,climate_time_169.5.csv
-135,90,1.5185399055481,169.55,-3480,Bajocian,climate_time_169.5.csv
-134,90,1.52733874320984,169.55,-3480,Bajocian,climate_time_169.5.csv
-133,90,1.536217212677,169.55,-3480,Bajocian,climate_time_169.5.csv
-132,90,1.54512286186218,169.55,-3480,Bajocian,climate_time_169.5.csv
-131,90,1.55399954319,169.55,-3480,Bajocian,climate_time_169.5.csv
-130,90,1.56279575824738,169.55,-3480,Bajocian,climate_time_169.5.csv
-129,90,1.5714522600174,169.55,-3480,Bajocian,climate_time_169.5.csv
-128,90,1.57990217208862,169.55,-3480,Bajocian,climate_time_169.5.csv
-127,90,1.58808362483978,169.55,-3480,Bajocian,climate_time_169.5.csv
-126,90,1.59594702720642,169.55,-3480,Bajocian,climate_time_169.5.csv
-125,90,1.60344040393829,169.55,-3480,Bajocian,climate_time_169.5.csv
-124,90,1.61051273345947,169.55,-3480,Bajocian,climate_time_169.5.csv
-123,90,1.61712336540222,169.55,-3480,Bajocian,climate_time_169.5.csv
-122,90,1.62324607372284,169.55,-3480,Bajocian,climate_time_169.5.csv
-121,90,1.62885999679565,169.55,-3480,Bajocian,climate_time_169.5.csv
-120,90,1.63394999504089,169.55,-3480,Bajocian,climate_time_169.5.csv
-119,90,1.63851165771484,169.55,-3480,Bajocian,climate_time_169.5.csv
-118,90,1.64255440235138,169.55,-3480,Bajocian,climate_time_169.5.csv
-117,90,1.64609777927399,169.55,-3480,Bajocian,climate_time_169.5.csv
-116,90,1.64916789531708,169.55,-3480,Bajocian,climate_time_169.5.csv
-115,90,1.65179443359375,169.55,-3480,Bajocian,climate_time_169.5.csv
-114,90,1.65402066707611,169.55,-3480,Bajocian,climate_time_169.5.csv
-113,90,1.65590035915375,169.55,-3480,Bajocian,climate_time_169.5.csv
-112,90,1.65748727321625,169.55,-3480,Bajocian,climate_time_169.5.csv
-111,90,1.65883183479309,169.55,-3480,Bajocian,climate_time_169.5.csv
-110,90,1.65999567508698,169.55,-3480,Bajocian,climate_time_169.5.csv
-109,90,1.6610449552536,169.55,-3480,Bajocian,climate_time_169.5.csv
-108,90,1.66203856468201,169.55,-3480,Bajocian,climate_time_169.5.csv
-107,90,1.66302740573883,169.55,-3480,Bajocian,climate_time_169.5.csv
-106,90,1.66406655311584,169.55,-3480,Bajocian,climate_time_169.5.csv
-105,90,1.66520941257477,169.55,-3480,Bajocian,climate_time_169.5.csv
-104,90,1.66649699211121,169.55,-3480,Bajocian,climate_time_169.5.csv
-103,90,1.66796028614044,169.55,-3480,Bajocian,climate_time_169.5.csv
-102,90,1.66962742805481,169.55,-3480,Bajocian,climate_time_169.5.csv
-101,90,1.67151999473572,169.55,-3480,Bajocian,climate_time_169.5.csv
-100,90,1.67364764213562,169.55,-3480,Bajocian,climate_time_169.5.csv
-99,90,1.67600846290588,169.55,-3480,Bajocian,climate_time_169.5.csv
-98,90,1.67859292030334,169.55,-3480,Bajocian,climate_time_169.5.csv
-97,90,1.68138527870178,169.55,-3480,Bajocian,climate_time_169.5.csv
-96,90,1.68436276912689,169.55,-3480,Bajocian,climate_time_169.5.csv
-95,90,1.6874897480011,169.55,-3480,Bajocian,climate_time_169.5.csv
-94,90,1.69072258472443,169.55,-3480,Bajocian,climate_time_169.5.csv
-93,90,1.6940176486969,169.55,-3480,Bajocian,climate_time_169.5.csv
-92,90,1.69732987880707,169.55,-3480,Bajocian,climate_time_169.5.csv
-91,90,1.7006014585495,169.55,-3480,Bajocian,climate_time_169.5.csv
-90,90,1.70377230644226,169.55,-3480,Bajocian,climate_time_169.5.csv
-89,90,1.70678985118866,169.55,-3480,Bajocian,climate_time_169.5.csv
-88,90,1.70960187911987,169.55,-3480,Bajocian,climate_time_169.5.csv
-87,90,1.71214950084686,169.55,-3480,Bajocian,climate_time_169.5.csv
-86,90,1.71437847614288,169.55,-3480,Bajocian,climate_time_169.5.csv
-85,90,1.71624457836151,169.55,-3480,Bajocian,climate_time_169.5.csv
-84,90,1.71770858764648,169.55,-3480,Bajocian,climate_time_169.5.csv
-83,90,1.71873021125793,169.55,-3480,Bajocian,climate_time_169.5.csv
-82,90,1.71927714347839,169.55,-3480,Bajocian,climate_time_169.5.csv
-81,90,1.71932888031006,169.55,-3480,Bajocian,climate_time_169.5.csv
-80,90,1.71887135505676,169.55,-3480,Bajocian,climate_time_169.5.csv
-79,90,1.71789515018463,169.55,-3480,Bajocian,climate_time_169.5.csv
-78,90,1.71639776229858,169.55,-3480,Bajocian,climate_time_169.5.csv
-77,90,1.71438574790955,169.55,-3480,Bajocian,climate_time_169.5.csv
-76,90,1.71187555789948,169.55,-3480,Bajocian,climate_time_169.5.csv
-75,90,1.70888769626617,169.55,-3480,Bajocian,climate_time_169.5.csv
-74,90,1.70544528961182,169.55,-3480,Bajocian,climate_time_169.5.csv
-73,90,1.70157837867737,169.55,-3480,Bajocian,climate_time_169.5.csv
-72,90,1.69732546806335,169.55,-3480,Bajocian,climate_time_169.5.csv
-71,90,1.69272601604462,169.55,-3480,Bajocian,climate_time_169.5.csv
-70,90,1.68781626224518,169.55,-3480,Bajocian,climate_time_169.5.csv
-69,90,1.68263709545135,169.55,-3480,Bajocian,climate_time_169.5.csv
-68,90,1.67723393440247,169.55,-3480,Bajocian,climate_time_169.5.csv
-67,90,1.67164850234985,169.55,-3480,Bajocian,climate_time_169.5.csv
-66,90,1.66591536998749,169.55,-3480,Bajocian,climate_time_169.5.csv
-65,90,1.66007018089294,169.55,-3480,Bajocian,climate_time_169.5.csv
-64,90,1.65414845943451,169.55,-3480,Bajocian,climate_time_169.5.csv
-63,90,1.64817881584167,169.55,-3480,Bajocian,climate_time_169.5.csv
-62,90,1.64218151569366,169.55,-3480,Bajocian,climate_time_169.5.csv
-61,90,1.63617372512817,169.55,-3480,Bajocian,climate_time_169.5.csv
-60,90,1.63016939163208,169.55,-3480,Bajocian,climate_time_169.5.csv
-59,90,1.62417578697205,169.55,-3480,Bajocian,climate_time_169.5.csv
-58,90,1.6181925535202,169.55,-3480,Bajocian,climate_time_169.5.csv
-57,90,1.61221349239349,169.55,-3480,Bajocian,climate_time_169.5.csv
-56,90,1.60622930526733,169.55,-3480,Bajocian,climate_time_169.5.csv
-55,90,1.60022747516632,169.55,-3480,Bajocian,climate_time_169.5.csv
-54,90,1.59418833255768,169.55,-3480,Bajocian,climate_time_169.5.csv
-53,90,1.58808779716492,169.55,-3480,Bajocian,climate_time_169.5.csv
-52,90,1.5819011926651,169.55,-3480,Bajocian,climate_time_169.5.csv
-51,90,1.57560527324677,169.55,-3480,Bajocian,climate_time_169.5.csv
-50,90,1.56917238235474,169.55,-3480,Bajocian,climate_time_169.5.csv
-49,90,1.56257271766663,169.55,-3480,Bajocian,climate_time_169.5.csv
-48,90,1.55578064918518,169.55,-3480,Bajocian,climate_time_169.5.csv
-47,90,1.54877507686615,169.55,-3480,Bajocian,climate_time_169.5.csv
-46,90,1.54153454303741,169.55,-3480,Bajocian,climate_time_169.5.csv
-45,90,1.53403973579407,169.55,-3480,Bajocian,climate_time_169.5.csv
-44,90,1.52627754211426,169.55,-3480,Bajocian,climate_time_169.5.csv
-43,90,1.51824164390564,169.55,-3480,Bajocian,climate_time_169.5.csv
-42,90,1.50992977619171,169.55,-3480,Bajocian,climate_time_169.5.csv
-41,90,1.50134301185608,169.55,-3480,Bajocian,climate_time_169.5.csv
-40,90,1.49248862266541,169.55,-3480,Bajocian,climate_time_169.5.csv
-39,90,1.4833824634552,169.55,-3480,Bajocian,climate_time_169.5.csv
-38,90,1.47404587268829,169.55,-3480,Bajocian,climate_time_169.5.csv
-37,90,1.46450388431549,169.55,-3480,Bajocian,climate_time_169.5.csv
-36,90,1.45478224754333,169.55,-3480,Bajocian,climate_time_169.5.csv
-35,90,1.44491696357727,169.55,-3480,Bajocian,climate_time_169.5.csv
-34,90,1.43494963645935,169.55,-3480,Bajocian,climate_time_169.5.csv
-33,90,1.4249187707901,169.55,-3480,Bajocian,climate_time_169.5.csv
-32,90,1.41486287117004,169.55,-3480,Bajocian,climate_time_169.5.csv
-31,90,1.40482759475708,169.55,-3480,Bajocian,climate_time_169.5.csv
-30,90,1.394859790802,169.55,-3480,Bajocian,climate_time_169.5.csv
-29,90,1.38499927520752,169.55,-3480,Bajocian,climate_time_169.5.csv
-28,90,1.37528359889984,169.55,-3480,Bajocian,climate_time_169.5.csv
-27,90,1.36575293540955,169.55,-3480,Bajocian,climate_time_169.5.csv
-26,90,1.35644459724426,169.55,-3480,Bajocian,climate_time_169.5.csv
-25,90,1.34738600254059,169.55,-3480,Bajocian,climate_time_169.5.csv
-24,90,1.33859992027283,169.55,-3480,Bajocian,climate_time_169.5.csv
-23,90,1.33010792732239,169.55,-3480,Bajocian,climate_time_169.5.csv
-22,90,1.32192528247833,169.55,-3480,Bajocian,climate_time_169.5.csv
-21,90,1.31405913829803,169.55,-3480,Bajocian,climate_time_169.5.csv
-20,90,1.30650877952576,169.55,-3480,Bajocian,climate_time_169.5.csv
-19,90,1.29926955699921,169.55,-3480,Bajocian,climate_time_169.5.csv
-18,90,1.29233253002167,169.55,-3480,Bajocian,climate_time_169.5.csv
-17,90,1.28568255901337,169.55,-3480,Bajocian,climate_time_169.5.csv
-16,90,1.27929580211639,169.55,-3480,Bajocian,climate_time_169.5.csv
-15,90,1.27314531803131,169.55,-3480,Bajocian,climate_time_169.5.csv
-14,90,1.26720404624939,169.55,-3480,Bajocian,climate_time_169.5.csv
-13,90,1.26144111156464,169.55,-3480,Bajocian,climate_time_169.5.csv
-12,90,1.25581860542297,169.55,-3480,Bajocian,climate_time_169.5.csv
-11,90,1.25029921531677,169.55,-3480,Bajocian,climate_time_169.5.csv
-10,90,1.24484992027283,169.55,-3480,Bajocian,climate_time_169.5.csv
-9,90,1.23943626880646,169.55,-3480,Bajocian,climate_time_169.5.csv
-8,90,1.23402035236359,169.55,-3480,Bajocian,climate_time_169.5.csv
-7,90,1.22856867313385,169.55,-3480,Bajocian,climate_time_169.5.csv
-6,90,1.22305619716644,169.55,-3480,Bajocian,climate_time_169.5.csv
-5,90,1.21745848655701,169.55,-3480,Bajocian,climate_time_169.5.csv
-4,90,1.21175265312195,169.55,-3480,Bajocian,climate_time_169.5.csv
-3,90,1.20592248439789,169.55,-3480,Bajocian,climate_time_169.5.csv
-2,90,1.19995987415314,169.55,-3480,Bajocian,climate_time_169.5.csv
-1,90,1.19386196136475,169.55,-3480,Bajocian,climate_time_169.5.csv
0,90,1.18757426738739,169.55,-3480,Bajocian,climate_time_169.5.csv
1,90,1.18121421337128,169.55,-3480,Bajocian,climate_time_169.5.csv
2,90,1.17473995685577,169.55,-3480,Bajocian,climate_time_169.5.csv
3,90,1.16817271709442,169.55,-3480,Bajocian,climate_time_169.5.csv
4,90,1.16153740882874,169.55,-3480,Bajocian,climate_time_169.5.csv
5,90,1.15485906600952,169.55,-3480,Bajocian,climate_time_169.5.csv
6,90,1.14817035198212,169.55,-3480,Bajocian,climate_time_169.5.csv
7,90,1.14151108264923,169.55,-3480,Bajocian,climate_time_169.5.csv
8,90,1.13491868972778,169.55,-3480,Bajocian,climate_time_169.5.csv
9,90,1.12842845916748,169.55,-3480,Bajocian,climate_time_169.5.csv
10,90,1.12208020687103,169.55,-3480,Bajocian,climate_time_169.5.csv
11,90,1.1159166097641,169.55,-3480,Bajocian,climate_time_169.5.csv
