paleolongitude,paleolatitude,temp,Age,depth,Stage,Filename
-180,90,6.32043933868408,97.2,0,Cenomanian,climate_time_97.csv
-179,90,6.32906723022461,97.2,-1440,Cenomanian,climate_time_97.csv
-178,90,6.33756542205811,97.2,-1480,Cenomanian,climate_time_97.csv
-177,90,6.34592580795288,97.2,-1400,Cenomanian,climate_time_97.csv
-176,90,6.35414886474609,97.2,-1480,Cenomanian,climate_time_97.csv
-175,90,6.36221885681152,97.2,-1400,Cenomanian,climate_time_97.csv
-174,90,6.37009716033936,97.2,-1400,Cenomanian,climate_time_97.csv
-173,90,6.37773752212524,97.2,-1480,Cenomanian,climate_time_97.csv
-172,90,6.38509559631348,97.2,-1400,Cenomanian,climate_time_97.csv
-171,90,6.39213562011719,97.2,-1400,Cenomanian,climate_time_97.csv
-170,90,6.39882326126099,97.2,-1480,Cenomanian,climate_time_97.csv
-169,90,6.40512323379517,97.2,-1480,Cenomanian,climate_time_97.csv
-168,90,6.41100788116455,97.2,-1480,Cenomanian,climate_time_97.csv
-167,90,6.41645908355713,97.2,-1480,Cenomanian,climate_time_97.csv
-166,90,6.42146110534668,97.2,-1480,Cenomanian,climate_time_97.csv
-165,90,6.42600584030151,97.2,-1480,Cenomanian,climate_time_97.csv
-164,90,6.43008947372437,97.2,-1400,Cenomanian,climate_time_97.csv
-163,90,6.43372201919556,97.2,-1400,Cenomanian,climate_time_97.csv
-162,90,6.4369215965271,97.2,-1400,Cenomanian,climate_time_97.csv
-161,90,6.43970584869385,97.2,-1480,Cenomanian,climate_time_97.csv
-160,90,6.44208383560181,97.2,-1400,Cenomanian,climate_time_97.csv
-159,90,6.44402599334717,97.2,-1400,Cenomanian,climate_time_97.csv
-158,90,6.44548654556274,97.2,-1400,Cenomanian,climate_time_97.csv
-157,90,6.44644975662231,97.2,-1400,Cenomanian,climate_time_97.csv
-156,90,6.44696187973022,97.2,-1480,Cenomanian,climate_time_97.csv
-155,90,6.44709634780884,97.2,-1400,Cenomanian,climate_time_97.csv
-154,90,6.44692993164062,97.2,-1400,Cenomanian,climate_time_97.csv
-153,90,6.44652891159058,97.2,-1400,Cenomanian,climate_time_97.csv
-152,90,6.44595336914062,97.2,-1480,Cenomanian,climate_time_97.csv
-151,90,6.44527149200439,97.2,-1400,Cenomanian,climate_time_97.csv
-150,90,6.44454622268677,97.2,-1400,Cenomanian,climate_time_97.csv
-149,90,6.44383382797241,97.2,-1400,Cenomanian,climate_time_97.csv
-148,90,6.4431848526001,97.2,-1400,Cenomanian,climate_time_97.csv
-147,90,6.44265460968018,97.2,-1480,Cenomanian,climate_time_97.csv
-146,90,6.44229316711426,97.2,-1400,Cenomanian,climate_time_97.csv
-145,90,6.44213914871216,97.2,-1400,Cenomanian,climate_time_97.csv
-144,90,6.4422287940979,97.2,-1360,Cenomanian,climate_time_97.csv
-143,90,6.44259405136108,97.2,-5120,Cenomanian,climate_time_97.csv
-142,90,6.44326162338257,97.2,-5120,Cenomanian,climate_time_97.csv
-141,90,6.44424724578857,97.2,-5120,Cenomanian,climate_time_97.csv
-140,90,6.44556045532227,97.2,-5120,Cenomanian,climate_time_97.csv
-139,90,6.44720363616943,97.2,-5120,Cenomanian,climate_time_97.csv
-138,90,6.44917440414429,97.2,-5120,Cenomanian,climate_time_97.csv
-137,90,6.45146226882935,97.2,-5120,Cenomanian,climate_time_97.csv
-136,90,6.45404481887817,97.2,-5120,Cenomanian,climate_time_97.csv
-135,90,6.45689487457275,97.2,-3880,Cenomanian,climate_time_97.csv
-134,90,6.45998573303223,97.2,-3760,Cenomanian,climate_time_97.csv
-133,90,6.46327972412109,97.2,-3680,Cenomanian,climate_time_97.csv
-132,90,6.46673011779785,97.2,-3880,Cenomanian,climate_time_97.csv
-131,90,6.47028875350952,97.2,-5120,Cenomanian,climate_time_97.csv
-130,90,6.47391223907471,97.2,-5120,Cenomanian,climate_time_97.csv
-129,90,6.47754812240601,97.2,-5120,Cenomanian,climate_time_97.csv
-128,90,6.48113775253296,97.2,-5120,Cenomanian,climate_time_97.csv
-127,90,6.48462677001953,97.2,-5120,Cenomanian,climate_time_97.csv
-126,90,6.48796844482422,97.2,-5120,Cenomanian,climate_time_97.csv
-125,90,6.49111080169678,97.2,-5120,Cenomanian,climate_time_97.csv
-124,90,6.4940013885498,97.2,-5120,Cenomanian,climate_time_97.csv
-123,90,6.49659538269043,97.2,-5120,Cenomanian,climate_time_97.csv
-122,90,6.49885654449463,97.2,-5120,Cenomanian,climate_time_97.csv
-121,90,6.50075101852417,97.2,-5120,Cenomanian,climate_time_97.csv
-120,90,6.50224351882935,97.2,-3760,Cenomanian,climate_time_97.csv
-119,90,6.50331354141235,97.2,-3680,Cenomanian,climate_time_97.csv
-118,90,6.50394487380981,97.2,-3800,Cenomanian,climate_time_97.csv
-117,90,6.50412797927856,97.2,-5120,Cenomanian,climate_time_97.csv
-116,90,6.50385761260986,97.2,-5120,Cenomanian,climate_time_97.csv
-115,90,6.50313425064087,97.2,-5120,Cenomanian,climate_time_97.csv
-114,90,6.50196743011475,97.2,-5120,Cenomanian,climate_time_97.csv
-113,90,6.50037336349487,97.2,-5120,Cenomanian,climate_time_97.csv
-112,90,6.49836730957031,97.2,-5120,Cenomanian,climate_time_97.csv
-111,90,6.49597072601318,97.2,-5120,Cenomanian,climate_time_97.csv
-110,90,6.49320983886719,97.2,-5120,Cenomanian,climate_time_97.csv
-109,90,6.49011611938477,97.2,-5120,Cenomanian,climate_time_97.csv
-108,90,6.48671817779541,97.2,-5120,Cenomanian,climate_time_97.csv
-107,90,6.48304414749146,97.2,-5120,Cenomanian,climate_time_97.csv
-106,90,6.4791259765625,97.2,-5120,Cenomanian,climate_time_97.csv
-105,90,6.47499752044678,97.2,-5120,Cenomanian,climate_time_97.csv
-104,90,6.47068500518799,97.2,-5120,Cenomanian,climate_time_97.csv
-103,90,6.46621513366699,97.2,-5120,Cenomanian,climate_time_97.csv
-102,90,6.4616117477417,97.2,-5120,Cenomanian,climate_time_97.csv
-101,90,6.45690011978149,97.2,-5120,Cenomanian,climate_time_97.csv
-100,90,6.45209646224976,97.2,-5120,Cenomanian,climate_time_97.csv
-99,90,6.44721603393555,97.2,-5120,Cenomanian,climate_time_97.csv
-98,90,6.44227027893066,97.2,-5120,Cenomanian,climate_time_97.csv
-97,90,6.43727016448975,97.2,-5120,Cenomanian,climate_time_97.csv
-96,90,6.43222093582153,97.2,-5120,Cenomanian,climate_time_97.csv
-95,90,6.42712450027466,97.2,-5120,Cenomanian,climate_time_97.csv
-94,90,6.42198133468628,97.2,-5120,Cenomanian,climate_time_97.csv
-93,90,6.41679096221924,97.2,-5120,Cenomanian,climate_time_97.csv
-92,90,6.41155004501343,97.2,-5120,Cenomanian,climate_time_97.csv
-91,90,6.40625381469727,97.2,-5120,Cenomanian,climate_time_97.csv
-90,90,6.40089654922485,97.2,-5120,Cenomanian,climate_time_97.csv
-89,90,6.39547395706177,97.2,-5120,Cenomanian,climate_time_97.csv
-88,90,6.38997983932495,97.2,-5120,Cenomanian,climate_time_97.csv
-87,90,6.38441038131714,97.2,-5120,Cenomanian,climate_time_97.csv
-86,90,6.37876033782959,97.2,-5120,Cenomanian,climate_time_97.csv
-85,90,6.37302684783936,97.2,-5120,Cenomanian,climate_time_97.csv
-84,90,6.36720848083496,97.2,-5120,Cenomanian,climate_time_97.csv
-83,90,6.36130523681641,97.2,-5120,Cenomanian,climate_time_97.csv
-82,90,6.35531759262085,97.2,-5120,Cenomanian,climate_time_97.csv
-81,90,6.34924793243408,97.2,-5120,Cenomanian,climate_time_97.csv
-80,90,6.34310054779053,97.2,-5120,Cenomanian,climate_time_97.csv
