paleolongitude,paleolatitude,temp,Age,depth,Stage,Filename
-180,90,7.31965065002441,502.5,-3280,Drumian,climate_time_502.5.csv
-179,90,7.31982564926147,502.5,-3480,Drumian,climate_time_502.5.csv
-178,90,7.32000637054443,502.5,-3480,Drumian,climate_time_502.5.csv
-177,90,7.32019329071045,502.5,-3480,Drumian,climate_time_502.5.csv
-176,90,7.32038450241089,502.5,-3480,Drumian,climate_time_502.5.csv
-175,90,7.32057952880859,502.5,-3480,Drumian,climate_time_502.5.csv
-174,90,7.32077836990356,502.5,-3480,Drumian,climate_time_502.5.csv
-173,90,7.32097911834717,502.5,-3480,Drumian,climate_time_502.5.csv
-172,90,7.32118320465088,502.5,-3480,Drumian,climate_time_502.5.csv
-171,90,7.32138919830322,502.5,-3480,Drumian,climate_time_502.5.csv
-170,90,7.3215970993042,502.5,-3480,Drumian,climate_time_502.5.csv
-169,90,7.32180690765381,502.5,-3480,Drumian,climate_time_502.5.csv
-168,90,7.32202005386353,502.5,-3480,Drumian,climate_time_502.5.csv
-167,90,7.32223606109619,502.5,-3480,Drumian,climate_time_502.5.csv
-166,90,7.32245635986328,502.5,-3480,Drumian,climate_time_502.5.csv
-165,90,7.32268190383911,502.5,-3480,Drumian,climate_time_502.5.csv
-164,90,7.32291412353516,502.5,-3480,Drumian,climate_time_502.5.csv
-163,90,7.32315444946289,502.5,-3480,Drumian,climate_time_502.5.csv
-162,90,7.32340431213379,502.5,-3480,Drumian,climate_time_502.5.csv
-161,90,7.32366561889648,502.5,-3480,Drumian,climate_time_502.5.csv
-160,90,7.32393932342529,502.5,-3480,Drumian,climate_time_502.5.csv
-159,90,7.32422876358032,502.5,-3480,Drumian,climate_time_502.5.csv
-158,90,7.32453393936157,502.5,-3480,Drumian,climate_time_502.5.csv
-157,90,7.32485771179199,502.5,-3480,Drumian,climate_time_502.5.csv
-156,90,7.32520008087158,502.5,-3480,Drumian,climate_time_502.5.csv
-155,90,7.32556247711182,502.5,-3480,Drumian,climate_time_502.5.csv
-154,90,7.32594585418701,502.5,-3480,Drumian,climate_time_502.5.csv
-153,90,7.32635116577148,502.5,-3480,Drumian,climate_time_502.5.csv
-152,90,7.32677841186523,502.5,-3480,Drumian,climate_time_502.5.csv
-151,90,7.32722759246826,502.5,-3480,Drumian,climate_time_502.5.csv
-150,90,7.32769823074341,502.5,-3480,Drumian,climate_time_502.5.csv
-149,90,7.32818984985352,502.5,-3480,Drumian,climate_time_502.5.csv
-148,90,7.32870101928711,502.5,-3480,Drumian,climate_time_502.5.csv
-147,90,7.32923126220703,502.5,-3480,Drumian,climate_time_502.5.csv
-146,90,7.32977867126465,502.5,-3480,Drumian,climate_time_502.5.csv
-145,90,7.33034229278564,502.5,-3480,Drumian,climate_time_502.5.csv
-144,90,7.33091974258423,502.5,-3480,Drumian,climate_time_502.5.csv
-143,90,7.33150959014893,502.5,-3480,Drumian,climate_time_502.5.csv
-142,90,7.33210945129395,502.5,-3480,Drumian,climate_time_502.5.csv
-141,90,7.33271789550781,502.5,-3480,Drumian,climate_time_502.5.csv
-140,90,7.33333301544189,502.5,-3480,Drumian,climate_time_502.5.csv
-139,90,7.33395338058472,502.5,-3480,Drumian,climate_time_502.5.csv
-138,90,7.3345775604248,502.5,-3480,Drumian,climate_time_502.5.csv
-137,90,7.33520269393921,502.5,-3480,Drumian,climate_time_502.5.csv
-136,90,7.33582878112793,502.5,-3480,Drumian,climate_time_502.5.csv
-135,90,7.33645534515381,502.5,-3480,Drumian,climate_time_502.5.csv
-134,90,7.33708000183105,502.5,-3480,Drumian,climate_time_502.5.csv
-133,90,7.33770275115967,502.5,-3480,Drumian,climate_time_502.5.csv
-132,90,7.33832311630249,502.5,-3480,Drumian,climate_time_502.5.csv
-131,90,7.33894157409668,502.5,-3480,Drumian,climate_time_502.5.csv
-130,90,7.33955669403076,502.5,-3480,Drumian,climate_time_502.5.csv
-129,90,7.34016942977905,502.5,-3480,Drumian,climate_time_502.5.csv
-128,90,7.34077930450439,502.5,-3480,Drumian,climate_time_502.5.csv
-127,90,7.34138679504395,502.5,-3480,Drumian,climate_time_502.5.csv
-126,90,7.34199142456055,502.5,-3480,Drumian,climate_time_502.5.csv
-125,90,7.34259510040283,502.5,-3480,Drumian,climate_time_502.5.csv
-124,90,7.34319639205933,502.5,-3480,Drumian,climate_time_502.5.csv
-123,90,7.34379625320435,502.5,-3480,Drumian,climate_time_502.5.csv
-122,90,7.34439468383789,502.5,-3480,Drumian,climate_time_502.5.csv
