paleolongitude,paleolatitude,temp,Age,depth,Stage,Filename
-180,90,4.46806478500366,533.9,-3480,Fortunian,climate_time_534.csv
-179,90,4.46796560287476,533.9,-3480,Fortunian,climate_time_534.csv
-178,90,4.46786022186279,533.9,-3480,Fortunian,climate_time_534.csv
-177,90,4.46774768829346,533.9,-3480,Fortunian,climate_time_534.csv
-176,90,4.46762609481812,533.9,-3480,Fortunian,climate_time_534.csv
-175,90,4.46749448776245,533.9,-3480,Fortunian,climate_time_534.csv
-174,90,4.46735191345215,533.9,-3480,Fortunian,climate_time_534.csv
-173,90,4.46719694137573,533.9,-3480,Fortunian,climate_time_534.csv
-172,90,4.46702909469604,533.9,-3480,Fortunian,climate_time_534.csv
-171,90,4.46684837341309,533.9,-3480,Fortunian,climate_time_534.csv
-170,90,4.46665334701538,533.9,-3480,Fortunian,climate_time_534.csv
-169,90,4.46644449234009,533.9,-3480,Fortunian,climate_time_534.csv
-168,90,4.46622323989868,533.9,-3480,Fortunian,climate_time_534.csv
-167,90,4.46598863601685,533.9,-3480,Fortunian,climate_time_534.csv
-166,90,4.46574211120605,533.9,-3480,Fortunian,climate_time_534.csv
-165,90,4.46548557281494,533.9,-3480,Fortunian,climate_time_534.csv
-164,90,4.46521902084351,533.9,-3480,Fortunian,climate_time_534.csv
-163,90,4.46494388580322,533.9,-3480,Fortunian,climate_time_534.csv
-162,90,4.46466302871704,533.9,-3480,Fortunian,climate_time_534.csv
-161,90,4.46437692642212,533.9,-3480,Fortunian,climate_time_534.csv
-160,90,4.46408796310425,533.9,-3480,Fortunian,climate_time_534.csv
-159,90,4.46379709243774,533.9,-3480,Fortunian,climate_time_534.csv
-158,90,4.46350622177124,533.9,-3480,Fortunian,climate_time_534.csv
-157,90,4.46321678161621,533.9,-3480,Fortunian,climate_time_534.csv
-156,90,4.46293020248413,533.9,-3480,Fortunian,climate_time_534.csv
-155,90,4.46264743804932,533.9,-3480,Fortunian,climate_time_534.csv
-154,90,4.46236848831177,533.9,-3480,Fortunian,climate_time_534.csv
-153,90,4.46209478378296,533.9,-3480,Fortunian,climate_time_534.csv
-152,90,4.46182680130005,533.9,-3480,Fortunian,climate_time_534.csv
-151,90,4.46156406402588,533.9,-3480,Fortunian,climate_time_534.csv
-150,90,4.46130657196045,533.9,-3480,Fortunian,climate_time_534.csv
-149,90,4.4610538482666,533.9,-3480,Fortunian,climate_time_534.csv
-148,90,4.46080589294434,533.9,-3480,Fortunian,climate_time_534.csv
-147,90,4.46056175231934,533.9,-3480,Fortunian,climate_time_534.csv
-146,90,4.46031999588013,533.9,-3480,Fortunian,climate_time_534.csv
-145,90,4.46008062362671,533.9,-3480,Fortunian,climate_time_534.csv
-144,90,4.45984172821045,533.9,-3480,Fortunian,climate_time_534.csv
-143,90,4.45960330963135,533.9,-3480,Fortunian,climate_time_534.csv
-142,90,4.45936393737793,533.9,-3480,Fortunian,climate_time_534.csv
-141,90,4.45912218093872,533.9,-3480,Fortunian,climate_time_534.csv
-140,90,4.45887756347656,533.9,-3480,Fortunian,climate_time_534.csv
-139,90,4.45863008499146,533.9,-3480,Fortunian,climate_time_534.csv
-138,90,4.45837831497192,533.9,-3480,Fortunian,climate_time_534.csv
-137,90,4.45812225341797,533.9,-3480,Fortunian,climate_time_534.csv
-136,90,4.45786094665527,533.9,-3480,Fortunian,climate_time_534.csv
-135,90,4.45759582519531,533.9,-3480,Fortunian,climate_time_534.csv
-134,90,4.45732498168945,533.9,-3480,Fortunian,climate_time_534.csv
-133,90,4.45704936981201,533.9,-3480,Fortunian,climate_time_534.csv
-132,90,4.4567699432373,533.9,-3480,Fortunian,climate_time_534.csv
-131,90,4.45648670196533,533.9,-3480,Fortunian,climate_time_534.csv
-130,90,4.45619964599609,533.9,-3480,Fortunian,climate_time_534.csv
-129,90,4.45591020584106,533.9,-3480,Fortunian,climate_time_534.csv
-128,90,4.45561838150024,533.9,-3480,Fortunian,climate_time_534.csv
-127,90,4.45532560348511,533.9,-3480,Fortunian,climate_time_534.csv
-126,90,4.45503187179565,533.9,-3480,Fortunian,climate_time_534.csv
-125,90,4.4547381401062,533.9,-3480,Fortunian,climate_time_534.csv
-124,90,4.45444631576538,533.9,-3480,Fortunian,climate_time_534.csv
-123,90,4.45415496826172,533.9,-3480,Fortunian,climate_time_534.csv
-122,90,4.45386648178101,533.9,-3480,Fortunian,climate_time_534.csv
-121,90,4.45358085632324,533.9,-3480,Fortunian,climate_time_534.csv
-120,90,4.45329904556274,533.9,-3480,Fortunian,climate_time_534.csv
-119,90,4.45302057266235,533.9,-3480,Fortunian,climate_time_534.csv
-118,90,4.45274829864502,533.9,-3480,Fortunian,climate_time_534.csv
-117,90,4.45247983932495,533.9,-3480,Fortunian,climate_time_534.csv
-116,90,4.4522180557251,533.9,-3480,Fortunian,climate_time_534.csv
-115,90,4.45196199417114,533.9,-3480,Fortunian,climate_time_534.csv
-114,90,4.45171213150024,533.9,-3480,Fortunian,climate_time_534.csv
-113,90,4.45146894454956,533.9,-3480,Fortunian,climate_time_534.csv
-112,90,4.45123291015625,533.9,-3480,Fortunian,climate_time_534.csv
-111,90,4.451003074646,533.9,-3480,Fortunian,climate_time_534.csv
-110,90,4.45078086853027,533.9,-3480,Fortunian,climate_time_534.csv
-109,90,4.45056533813477,533.9,-3480,Fortunian,climate_time_534.csv
-108,90,4.45035743713379,533.9,-3480,Fortunian,climate_time_534.csv
-107,90,4.45015573501587,533.9,-3480,Fortunian,climate_time_534.csv
-106,90,4.44996166229248,533.9,-3480,Fortunian,climate_time_534.csv
-105,90,4.44977378845215,533.9,-3480,Fortunian,climate_time_534.csv
-104,90,4.44959306716919,533.9,-3480,Fortunian,climate_time_534.csv
-103,90,4.44941854476929,533.9,-3480,Fortunian,climate_time_534.csv
-102,90,4.44924974441528,533.9,-3480,Fortunian,climate_time_534.csv
-101,90,4.44908714294434,533.9,-3480,Fortunian,climate_time_534.csv
