paleolongitude,paleolatitude,temp,Age,depth,Stage,Filename
-180,90,2.66376090049744,425.85,-3480,Gorstian,climate_time_426.csv
-179,90,2.66415810585022,425.85,-3480,Gorstian,climate_time_426.csv
-178,90,2.66458535194397,425.85,-3480,Gorstian,climate_time_426.csv
-177,90,2.66504240036011,425.85,-3480,Gorstian,climate_time_426.csv
-176,90,2.66552948951721,425.85,-3480,Gorstian,climate_time_426.csv
-175,90,2.66604566574097,425.85,-3480,Gorstian,climate_time_426.csv
-174,90,2.66659140586853,425.85,-3480,Gorstian,climate_time_426.csv
-173,90,2.66716504096985,425.85,-3480,Gorstian,climate_time_426.csv
-172,90,2.66776561737061,425.85,-3480,Gorstian,climate_time_426.csv
-171,90,2.66839218139648,425.85,-3480,Gorstian,climate_time_426.csv
-170,90,2.66904330253601,425.85,-3480,Gorstian,climate_time_426.csv
-169,90,2.66971659660339,425.85,-3480,Gorstian,climate_time_426.csv
-168,90,2.67041110992432,425.85,-3480,Gorstian,climate_time_426.csv
-167,90,2.67112421989441,425.85,-3480,Gorstian,climate_time_426.csv
-166,90,2.67185497283936,425.85,-3480,Gorstian,climate_time_426.csv
-165,90,2.67260050773621,425.85,-3480,Gorstian,climate_time_426.csv
-164,90,2.67335915565491,425.85,-3480,Gorstian,climate_time_426.csv
-163,90,2.67412948608398,425.85,-3480,Gorstian,climate_time_426.csv
-162,90,2.6749095916748,425.85,-3480,Gorstian,climate_time_426.csv
-161,90,2.67569756507874,425.85,-3480,Gorstian,climate_time_426.csv
-160,90,2.67649221420288,425.85,-3480,Gorstian,climate_time_426.csv
-159,90,2.67729258537292,425.85,-3480,Gorstian,climate_time_426.csv
-158,90,2.67809724807739,425.85,-3480,Gorstian,climate_time_426.csv
-157,90,2.67890596389771,425.85,-3480,Gorstian,climate_time_426.csv
-156,90,2.67971730232239,425.85,-3480,Gorstian,climate_time_426.csv
-155,90,2.6805317401886,425.85,-3480,Gorstian,climate_time_426.csv
-154,90,2.68134903907776,425.85,-3480,Gorstian,climate_time_426.csv
-153,90,2.68216896057129,425.85,-3480,Gorstian,climate_time_426.csv
-152,90,2.68299198150635,425.85,-3480,Gorstian,climate_time_426.csv
-151,90,2.68381810188293,425.85,-3480,Gorstian,climate_time_426.csv
-150,90,2.68464827537537,425.85,-3480,Gorstian,climate_time_426.csv
-149,90,2.68548321723938,425.85,-3480,Gorstian,climate_time_426.csv
-148,90,2.68632292747498,425.85,-3480,Gorstian,climate_time_426.csv
-147,90,2.68716883659363,425.85,-3480,Gorstian,climate_time_426.csv
-146,90,2.68802118301392,425.85,-3480,Gorstian,climate_time_426.csv
-145,90,2.688880443573,425.85,-3480,Gorstian,climate_time_426.csv
-144,90,2.68974757194519,425.85,-3480,Gorstian,climate_time_426.csv
-143,90,2.69062304496765,425.85,-3480,Gorstian,climate_time_426.csv
-142,90,2.69150686264038,425.85,-3480,Gorstian,climate_time_426.csv
-141,90,2.69239950180054,425.85,-3480,Gorstian,climate_time_426.csv
-140,90,2.69330143928528,425.85,-3480,Gorstian,climate_time_426.csv
-139,90,2.69421195983887,425.85,-3480,Gorstian,climate_time_426.csv
-138,90,2.69513058662415,425.85,-3480,Gorstian,climate_time_426.csv
-137,90,2.69605803489685,425.85,-3480,Gorstian,climate_time_426.csv
-136,90,2.69699263572693,425.85,-3480,Gorstian,climate_time_426.csv
-135,90,2.69793438911438,425.85,-3480,Gorstian,climate_time_426.csv
-134,90,2.69888186454773,425.85,-3480,Gorstian,climate_time_426.csv
-133,90,2.69983458518982,425.85,-3480,Gorstian,climate_time_426.csv
-132,90,2.7007908821106,425.85,-3480,Gorstian,climate_time_426.csv
-131,90,2.70174980163574,425.85,-3480,Gorstian,climate_time_426.csv
-130,90,2.70271015167236,425.85,-3480,Gorstian,climate_time_426.csv
-129,90,2.70367026329041,425.85,-3480,Gorstian,climate_time_426.csv
-128,90,2.70462870597839,425.85,-3480,Gorstian,climate_time_426.csv
-127,90,2.70558428764343,425.85,-3480,Gorstian,climate_time_426.csv
-126,90,2.70653557777405,425.85,-3480,Gorstian,climate_time_426.csv
-125,90,2.70748090744019,425.85,-3480,Gorstian,climate_time_426.csv
-124,90,2.70841932296753,425.85,-3480,Gorstian,climate_time_426.csv
-123,90,2.70934915542603,425.85,-3480,Gorstian,climate_time_426.csv
-122,90,2.71026968955994,425.85,-3480,Gorstian,climate_time_426.csv
-121,90,2.71117997169495,425.85,-3480,Gorstian,climate_time_426.csv
-120,90,2.71207857131958,425.85,-3480,Gorstian,climate_time_426.csv
-119,90,2.71296525001526,425.85,-3480,Gorstian,climate_time_426.csv
-118,90,2.71383857727051,425.85,-3480,Gorstian,climate_time_426.csv
-117,90,2.71469902992249,425.85,-3480,Gorstian,climate_time_426.csv
-116,90,2.7155454158783,425.85,-3480,Gorstian,climate_time_426.csv
-115,90,2.71637773513794,425.85,-3480,Gorstian,climate_time_426.csv
-114,90,2.71719551086426,425.85,-3480,Gorstian,climate_time_426.csv
-113,90,2.71799945831299,425.85,-3480,Gorstian,climate_time_426.csv
-112,90,2.71878886222839,425.85,-3480,Gorstian,climate_time_426.csv
-111,90,2.71956396102905,425.85,-3480,Gorstian,climate_time_426.csv
-110,90,2.72032499313354,425.85,-3480,Gorstian,climate_time_426.csv
-109,90,2.72107243537903,425.85,-3480,Gorstian,climate_time_426.csv
-108,90,2.72180581092834,425.85,-3480,Gorstian,climate_time_426.csv
-107,90,2.72252583503723,425.85,-3480,Gorstian,climate_time_426.csv
-106,90,2.72323250770569,425.85,-3480,Gorstian,climate_time_426.csv
-105,90,2.72392559051514,425.85,-3480,Gorstian,climate_time_426.csv
-104,90,2.72460579872131,425.85,-3480,Gorstian,climate_time_426.csv
-103,90,2.72527265548706,425.85,-3480,Gorstian,climate_time_426.csv
-102,90,2.72592616081238,425.85,-3480,Gorstian,climate_time_426.csv
-101,90,2.72656655311584,425.85,-3480,Gorstian,climate_time_426.csv
-100,90,2.72719311714172,425.85,-3480,Gorstian,climate_time_426.csv
-99,90,2.72780609130859,425.85,-3480,Gorstian,climate_time_426.csv
-98,90,2.7284049987793,425.85,-3480,Gorstian,climate_time_426.csv
-97,90,2.72898960113525,425.85,-3480,Gorstian,climate_time_426.csv
-96,90,2.72955989837646,425.85,-3480,Gorstian,climate_time_426.csv
-95,90,2.73011469841003,425.85,-3480,Gorstian,climate_time_426.csv
-94,90,2.73065400123596,425.85,-3480,Gorstian,climate_time_426.csv
-93,90,2.73117780685425,425.85,-3480,Gorstian,climate_time_426.csv
-92,90,2.73168516159058,425.85,-3480,Gorstian,climate_time_426.csv
-91,90,2.73217606544495,425.85,-3480,Gorstian,climate_time_426.csv
-90,90,2.7326500415802,425.85,-3480,Gorstian,climate_time_426.csv
-89,90,2.73310732841492,425.85,-3480,Gorstian,climate_time_426.csv
-88,90,2.73354744911194,425.85,-3480,Gorstian,climate_time_426.csv
-87,90,2.73397040367126,425.85,-3480,Gorstian,climate_time_426.csv
-86,90,2.73437643051147,425.85,-3480,Gorstian,climate_time_426.csv
-85,90,2.73476529121399,425.85,-3480,Gorstian,climate_time_426.csv
-84,90,2.73513722419739,425.85,-3480,Gorstian,climate_time_426.csv
-83,90,2.73549294471741,425.85,-3480,Gorstian,climate_time_426.csv
-82,90,2.73583245277405,425.85,-3480,Gorstian,climate_time_426.csv
-81,90,2.73615598678589,425.85,-3480,Gorstian,climate_time_426.csv
-80,90,2.73646402359009,425.85,-3480,Gorstian,climate_time_426.csv
-79,90,2.7367570400238,425.85,-3480,Gorstian,climate_time_426.csv
-78,90,2.73703622817993,425.85,-3480,Gorstian,climate_time_426.csv
-77,90,2.73730087280273,425.85,-3480,Gorstian,climate_time_426.csv
