paleolongitude,paleolatitude,temp,Age,depth,Stage,Filename
-180,90,-1.58823275566101,0.006,0,Holocene,climate_time_0.csv
-179,90,-1.58718979358673,0.006,0,Holocene,climate_time_0.csv
-178,90,-1.58612596988678,0.006,0,Holocene,climate_time_0.csv
-177,90,-1.58504164218903,0.006,0,Holocene,climate_time_0.csv
-176,90,-1.58393657207489,0.006,0,Holocene,climate_time_0.csv
-175,90,-1.58281016349792,0.006,0,Holocene,climate_time_0.csv
-174,90,-1.58166086673737,0.006,0,Holocene,climate_time_0.csv
-173,90,-1.58048665523529,0.006,0,Holocene,climate_time_0.csv
-172,90,-1.5792852640152,0.006,0,Holocene,climate_time_0.csv
-171,90,-1.57805454730988,0.006,0,Holocene,climate_time_0.csv
-170,90,-1.57679188251495,0.006,-4080,Holocene,climate_time_0.csv
-169,90,-1.57549464702606,0.006,-4080,Holocene,climate_time_0.csv
-168,90,-1.57416033744812,0.006,-4080,Holocene,climate_time_0.csv
-167,90,-1.57278740406036,0.006,-4080,Holocene,climate_time_0.csv
-166,90,-1.57137441635132,0.006,-4080,Holocene,climate_time_0.csv
-165,90,-1.56992030143738,0.006,-4080,Holocene,climate_time_0.csv
-164,90,-1.56842470169067,0.006,-4080,Holocene,climate_time_0.csv
-163,90,-1.56688857078552,0.006,-4080,Holocene,climate_time_0.csv
-162,90,-1.56531393527985,0.006,-4080,Holocene,climate_time_0.csv
-161,90,-1.56370329856873,0.006,-4080,Holocene,climate_time_0.csv
-160,90,-1.5620596408844,0.006,-4080,Holocene,climate_time_0.csv
-159,90,-1.56038796901703,0.006,-4080,Holocene,climate_time_0.csv
-158,90,-1.5586941242218,0.006,-4080,Holocene,climate_time_0.csv
-157,90,-1.55698478221893,0.006,-4080,Holocene,climate_time_0.csv
-156,90,-1.55526614189148,0.006,-4080,Holocene,climate_time_0.csv
-155,90,-1.553546667099,0.006,-4080,Holocene,climate_time_0.csv
-154,90,-1.55183589458466,0.006,-4080,Holocene,climate_time_0.csv
-153,90,-1.55014252662659,0.006,-4080,Holocene,climate_time_0.csv
-152,90,-1.54847490787506,0.006,-4080,Holocene,climate_time_0.csv
-151,90,-1.54684293270111,0.006,-4080,Holocene,climate_time_0.csv
-150,90,-1.54525673389435,0.006,-4080,Holocene,climate_time_0.csv
-149,90,-1.54372489452362,0.006,-4080,Holocene,climate_time_0.csv
-148,90,-1.54225528240204,0.006,-4080,Holocene,climate_time_0.csv
-147,90,-1.54085624217987,0.006,-4080,Holocene,climate_time_0.csv
-146,90,-1.53953576087952,0.006,-4080,Holocene,climate_time_0.csv
-145,90,-1.5382993221283,0.006,-4080,Holocene,climate_time_0.csv
-144,90,-1.53715181350708,0.006,-4080,Holocene,climate_time_0.csv
-143,90,-1.53609728813171,0.006,-4080,Holocene,climate_time_0.csv
-142,90,-1.53513884544373,0.006,-4080,Holocene,climate_time_0.csv
-141,90,-1.53427767753601,0.006,-4080,Holocene,climate_time_0.csv
-140,90,-1.53351330757141,0.006,-4080,Holocene,climate_time_0.csv
-139,90,-1.53284406661987,0.006,-4080,Holocene,climate_time_0.csv
-138,90,-1.53226757049561,0.006,-4080,Holocene,climate_time_0.csv
-137,90,-1.53178000450134,0.006,-4080,Holocene,climate_time_0.csv
-136,90,-1.53137528896332,0.006,-4080,Holocene,climate_time_0.csv
-135,90,-1.53104662895203,0.006,-4120,Holocene,climate_time_0.csv
-134,90,-1.53078722953796,0.006,-4120,Holocene,climate_time_0.csv
-133,90,-1.53058898448944,0.006,-4120,Holocene,climate_time_0.csv
-132,90,-1.530442237854,0.006,-4120,Holocene,climate_time_0.csv
-131,90,-1.53033661842346,0.006,-4120,Holocene,climate_time_0.csv
-130,90,-1.53026354312897,0.006,-4120,Holocene,climate_time_0.csv
-129,90,-1.53021323680878,0.006,-4120,Holocene,climate_time_0.csv
-128,90,-1.53017473220825,0.006,-4080,Holocene,climate_time_0.csv
-127,90,-1.53013837337494,0.006,-4080,Holocene,climate_time_0.csv
-126,90,-1.53009605407715,0.006,-4080,Holocene,climate_time_0.csv
-125,90,-1.53003942966461,0.006,-4080,Holocene,climate_time_0.csv
-124,90,-1.52996051311493,0.006,-4080,Holocene,climate_time_0.csv
-123,90,-1.5298525094986,0.006,-4080,Holocene,climate_time_0.csv
-122,90,-1.52971124649048,0.006,-4080,Holocene,climate_time_0.csv
-121,90,-1.52953279018402,0.006,-4080,Holocene,climate_time_0.csv
-120,90,-1.52931439876556,0.006,-4080,Holocene,climate_time_0.csv
-119,90,-1.5290549993515,0.006,-4080,Holocene,climate_time_0.csv
-118,90,-1.52875542640686,0.006,-4080,Holocene,climate_time_0.csv
-117,90,-1.52841830253601,0.006,-4080,Holocene,climate_time_0.csv
-116,90,-1.52804696559906,0.006,-4160,Holocene,climate_time_0.csv
-115,90,-1.52764582633972,0.006,-4160,Holocene,climate_time_0.csv
-114,90,-1.52722144126892,0.006,-4160,Holocene,climate_time_0.csv
-113,90,-1.52678191661835,0.006,-4160,Holocene,climate_time_0.csv
-112,90,-1.52633571624756,0.006,-4160,Holocene,climate_time_0.csv
-111,90,-1.52589094638824,0.006,-4080,Holocene,climate_time_0.csv
-110,90,-1.52545785903931,0.006,-4080,Holocene,climate_time_0.csv
-109,90,-1.52504754066467,0.006,-4080,Holocene,climate_time_0.csv
-108,90,-1.52467000484467,0.006,-4160,Holocene,climate_time_0.csv
-107,90,-1.52433431148529,0.006,-4160,Holocene,climate_time_0.csv
-106,90,-1.52405107021332,0.006,-4160,Holocene,climate_time_0.csv
-105,90,-1.52383041381836,0.006,-4160,Holocene,climate_time_0.csv
-104,90,-1.52368056774139,0.006,-4120,Holocene,climate_time_0.csv
-103,90,-1.52360796928406,0.006,-4120,Holocene,climate_time_0.csv
-102,90,-1.52361941337585,0.006,-4120,Holocene,climate_time_0.csv
-101,90,-1.52372014522552,0.006,-4120,Holocene,climate_time_0.csv
-100,90,-1.52391350269318,0.006,-4120,Holocene,climate_time_0.csv
-99,90,-1.52420055866241,0.006,-4080,Holocene,climate_time_0.csv
-98,90,-1.52458119392395,0.006,-4080,Holocene,climate_time_0.csv
-97,90,-1.52505421638489,0.006,-4080,Holocene,climate_time_0.csv
-96,90,-1.52561664581299,0.006,-4080,Holocene,climate_time_0.csv
-95,90,-1.52626311779022,0.006,-4080,Holocene,climate_time_0.csv
-94,90,-1.52698659896851,0.006,-4080,Holocene,climate_time_0.csv
-93,90,-1.52777969837189,0.006,-4080,Holocene,climate_time_0.csv
-92,90,-1.52863347530365,0.006,-4080,Holocene,climate_time_0.csv
-91,90,-1.52953624725342,0.006,-4080,Holocene,climate_time_0.csv
-90,90,-1.53047430515289,0.006,-4160,Holocene,climate_time_0.csv
-89,90,-1.53143429756165,0.006,-4160,Holocene,climate_time_0.csv
-88,90,-1.53240060806274,0.006,-4160,Holocene,climate_time_0.csv
-87,90,-1.53335356712341,0.006,-4160,Holocene,climate_time_0.csv
