paleolongitude,paleolatitude,temp,Age,depth,Stage,Filename
-180,90,6.58215808868408,250.901,-3440,Induan,climate_time_251.csv
-179,90,6.57930183410645,250.901,-3480,Induan,climate_time_251.csv
-178,90,6.57647371292114,250.901,-3480,Induan,climate_time_251.csv
-177,90,6.57367515563965,250.901,-3480,Induan,climate_time_251.csv
-176,90,6.57090663909912,250.901,-3480,Induan,climate_time_251.csv
-175,90,6.56817054748535,250.901,-3480,Induan,climate_time_251.csv
-174,90,6.56546688079834,250.901,-3480,Induan,climate_time_251.csv
-173,90,6.56279897689819,250.901,-3480,Induan,climate_time_251.csv
-172,90,6.56016731262207,250.901,-3480,Induan,climate_time_251.csv
-171,90,6.55757522583008,250.901,-3480,Induan,climate_time_251.csv
-170,90,6.55502367019653,250.901,-3480,Induan,climate_time_251.csv
-169,90,6.55251693725586,250.901,-3480,Induan,climate_time_251.csv
-168,90,6.55005741119385,250.901,-3480,Induan,climate_time_251.csv
-167,90,6.54764747619629,250.901,-3480,Induan,climate_time_251.csv
-166,90,6.54528999328613,250.901,-3480,Induan,climate_time_251.csv
-165,90,6.54298973083496,250.901,-3480,Induan,climate_time_251.csv
-164,90,6.54074859619141,250.901,-3480,Induan,climate_time_251.csv
-163,90,6.53856897354126,250.901,-3480,Induan,climate_time_251.csv
-162,90,6.53645372390747,250.901,-3480,Induan,climate_time_251.csv
-161,90,6.5344066619873,250.901,-3480,Induan,climate_time_251.csv
-160,90,6.53242874145508,250.901,-3480,Induan,climate_time_251.csv
-159,90,6.53052234649658,250.901,-3480,Induan,climate_time_251.csv
-158,90,6.52868795394897,250.901,-3480,Induan,climate_time_251.csv
-157,90,6.52692699432373,250.901,-3480,Induan,climate_time_251.csv
-156,90,6.52524089813232,250.901,-3480,Induan,climate_time_251.csv
-155,90,6.52362823486328,250.901,-3480,Induan,climate_time_251.csv
-154,90,6.52208995819092,250.901,-3480,Induan,climate_time_251.csv
-153,90,6.5206241607666,250.901,-3480,Induan,climate_time_251.csv
-152,90,6.51923084259033,250.901,-3480,Induan,climate_time_251.csv
-151,90,6.51791000366211,250.901,-3480,Induan,climate_time_251.csv
-150,90,6.51665782928467,250.901,-3480,Induan,climate_time_251.csv
-149,90,6.51547527313232,250.901,-3480,Induan,climate_time_251.csv
-148,90,6.51436042785645,250.901,-3480,Induan,climate_time_251.csv
-147,90,6.51331233978271,250.901,-3480,Induan,climate_time_251.csv
-146,90,6.5123291015625,250.901,-3480,Induan,climate_time_251.csv
-145,90,6.5114107131958,250.901,-3480,Induan,climate_time_251.csv
