paleolongitude,paleolatitude,temp,Age,depth,Stage,Filename
-180,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-179,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-178,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-177,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-176,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-175,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-174,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-173,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-172,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-171,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-170,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-169,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-168,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-167,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-166,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-165,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-164,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-163,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-162,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-161,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-160,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-159,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-158,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-157,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-156,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-155,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-154,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-153,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-152,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-151,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-150,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-149,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-148,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-147,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-146,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-145,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-144,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-143,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-142,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-141,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-140,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-139,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-138,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-137,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-136,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-135,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-134,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-133,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-132,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-131,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-130,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-129,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-128,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-127,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-126,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-125,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-124,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-123,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-122,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-121,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-120,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-119,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-118,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-117,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-116,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-115,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-114,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-113,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-112,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-111,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-110,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-109,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-108,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-107,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-106,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-105,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-104,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-103,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-102,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-101,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-100,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-99,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-98,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-97,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-96,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-95,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-94,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-93,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-92,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-91,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-90,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-89,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-88,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-87,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-86,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-85,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-84,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-83,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-82,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-81,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-80,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-79,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-78,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-77,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-76,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-75,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-74,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-73,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-72,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-71,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-70,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-69,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-68,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-67,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-66,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-65,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-64,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-63,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-62,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-61,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-60,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-59,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-58,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-57,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-56,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-55,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-54,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-53,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-52,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-51,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-50,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-49,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-48,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-47,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-46,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-45,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-44,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-43,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-42,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-41,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-40,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-39,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-38,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-37,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-36,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-35,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-34,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-33,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-32,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-31,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-30,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-29,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-28,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-27,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-26,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-25,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-24,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-23,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-22,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-21,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-20,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-19,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-18,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-17,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-16,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-15,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-14,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-13,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-12,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-11,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-10,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-9,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-8,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-7,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-6,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-5,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-4,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-3,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-2,90,NA,216.5,NA,Norian,climate_time_216.5.csv
-1,90,NA,216.5,NA,Norian,climate_time_216.5.csv
0,90,NA,216.5,NA,Norian,climate_time_216.5.csv
1,90,NA,216.5,NA,Norian,climate_time_216.5.csv
2,90,NA,216.5,NA,Norian,climate_time_216.5.csv
3,90,NA,216.5,NA,Norian,climate_time_216.5.csv
4,90,NA,216.5,NA,Norian,climate_time_216.5.csv
5,90,NA,216.5,NA,Norian,climate_time_216.5.csv
6,90,NA,216.5,NA,Norian,climate_time_216.5.csv
7,90,NA,216.5,NA,Norian,climate_time_216.5.csv
8,90,NA,216.5,NA,Norian,climate_time_216.5.csv
9,90,NA,216.5,NA,Norian,climate_time_216.5.csv
10,90,NA,216.5,NA,Norian,climate_time_216.5.csv
11,90,NA,216.5,NA,Norian,climate_time_216.5.csv
12,90,NA,216.5,NA,Norian,climate_time_216.5.csv
13,90,NA,216.5,NA,Norian,climate_time_216.5.csv
14,90,NA,216.5,NA,Norian,climate_time_216.5.csv
15,90,NA,216.5,NA,Norian,climate_time_216.5.csv
16,90,NA,216.5,NA,Norian,climate_time_216.5.csv
17,90,NA,216.5,NA,Norian,climate_time_216.5.csv
18,90,NA,216.5,NA,Norian,climate_time_216.5.csv
19,90,NA,216.5,NA,Norian,climate_time_216.5.csv
20,90,NA,216.5,NA,Norian,climate_time_216.5.csv
21,90,NA,216.5,NA,Norian,climate_time_216.5.csv
22,90,NA,216.5,NA,Norian,climate_time_216.5.csv
23,90,NA,216.5,NA,Norian,climate_time_216.5.csv
24,90,NA,216.5,NA,Norian,climate_time_216.5.csv
25,90,NA,216.5,NA,Norian,climate_time_216.5.csv
26,90,NA,216.5,NA,Norian,climate_time_216.5.csv
27,90,NA,216.5,NA,Norian,climate_time_216.5.csv
28,90,NA,216.5,NA,Norian,climate_time_216.5.csv
29,90,NA,216.5,NA,Norian,climate_time_216.5.csv
30,90,NA,216.5,NA,Norian,climate_time_216.5.csv
31,90,NA,216.5,NA,Norian,climate_time_216.5.csv
32,90,NA,216.5,NA,Norian,climate_time_216.5.csv
33,90,NA,216.5,NA,Norian,climate_time_216.5.csv
34,90,NA,216.5,NA,Norian,climate_time_216.5.csv
35,90,NA,216.5,NA,Norian,climate_time_216.5.csv
36,90,NA,216.5,NA,Norian,climate_time_216.5.csv
37,90,NA,216.5,NA,Norian,climate_time_216.5.csv
38,90,NA,216.5,NA,Norian,climate_time_216.5.csv
39,90,NA,216.5,NA,Norian,climate_time_216.5.csv
40,90,NA,216.5,NA,Norian,climate_time_216.5.csv
41,90,NA,216.5,NA,Norian,climate_time_216.5.csv
42,90,NA,216.5,NA,Norian,climate_time_216.5.csv
43,90,NA,216.5,NA,Norian,climate_time_216.5.csv
44,90,NA,216.5,NA,Norian,climate_time_216.5.csv
45,90,NA,216.5,NA,Norian,climate_time_216.5.csv
46,90,NA,216.5,NA,Norian,climate_time_216.5.csv
47,90,NA,216.5,NA,Norian,climate_time_216.5.csv
48,90,NA,216.5,NA,Norian,climate_time_216.5.csv
49,90,NA,216.5,NA,Norian,climate_time_216.5.csv
50,90,NA,216.5,NA,Norian,climate_time_216.5.csv
51,90,NA,216.5,NA,Norian,climate_time_216.5.csv
52,90,NA,216.5,NA,Norian,climate_time_216.5.csv
53,90,NA,216.5,NA,Norian,climate_time_216.5.csv
54,90,NA,216.5,NA,Norian,climate_time_216.5.csv
55,90,NA,216.5,NA,Norian,climate_time_216.5.csv
56,90,NA,216.5,NA,Norian,climate_time_216.5.csv
57,90,NA,216.5,NA,Norian,climate_time_216.5.csv
58,90,NA,216.5,NA,Norian,climate_time_216.5.csv
59,90,NA,216.5,NA,Norian,climate_time_216.5.csv
60,90,NA,216.5,NA,Norian,climate_time_216.5.csv
61,90,NA,216.5,NA,Norian,climate_time_216.5.csv
62,90,NA,216.5,NA,Norian,climate_time_216.5.csv
63,90,NA,216.5,NA,Norian,climate_time_216.5.csv
64,90,NA,216.5,NA,Norian,climate_time_216.5.csv
65,90,NA,216.5,NA,Norian,climate_time_216.5.csv
66,90,NA,216.5,NA,Norian,climate_time_216.5.csv
67,90,NA,216.5,NA,Norian,climate_time_216.5.csv
68,90,NA,216.5,NA,Norian,climate_time_216.5.csv
69,90,NA,216.5,NA,Norian,climate_time_216.5.csv
70,90,NA,216.5,NA,Norian,climate_time_216.5.csv
71,90,NA,216.5,NA,Norian,climate_time_216.5.csv
72,90,NA,216.5,NA,Norian,climate_time_216.5.csv
73,90,NA,216.5,NA,Norian,climate_time_216.5.csv
74,90,NA,216.5,NA,Norian,climate_time_216.5.csv
75,90,NA,216.5,NA,Norian,climate_time_216.5.csv
76,90,NA,216.5,NA,Norian,climate_time_216.5.csv
77,90,NA,216.5,NA,Norian,climate_time_216.5.csv
78,90,NA,216.5,NA,Norian,climate_time_216.5.csv
79,90,NA,216.5,NA,Norian,climate_time_216.5.csv
80,90,NA,216.5,NA,Norian,climate_time_216.5.csv
81,90,NA,216.5,NA,Norian,climate_time_216.5.csv
82,90,NA,216.5,NA,Norian,climate_time_216.5.csv
83,90,NA,216.5,NA,Norian,climate_time_216.5.csv
84,90,NA,216.5,NA,Norian,climate_time_216.5.csv
85,90,NA,216.5,NA,Norian,climate_time_216.5.csv
86,90,NA,216.5,NA,Norian,climate_time_216.5.csv
87,90,NA,216.5,NA,Norian,climate_time_216.5.csv
88,90,NA,216.5,NA,Norian,climate_time_216.5.csv
89,90,NA,216.5,NA,Norian,climate_time_216.5.csv
90,90,NA,216.5,NA,Norian,climate_time_216.5.csv
91,90,NA,216.5,NA,Norian,climate_time_216.5.csv
92,90,NA,216.5,NA,Norian,climate_time_216.5.csv
93,90,NA,216.5,NA,Norian,climate_time_216.5.csv
94,90,NA,216.5,NA,Norian,climate_time_216.5.csv
95,90,NA,216.5,NA,Norian,climate_time_216.5.csv
96,90,NA,216.5,NA,Norian,climate_time_216.5.csv
97,90,NA,216.5,NA,Norian,climate_time_216.5.csv
98,90,NA,216.5,NA,Norian,climate_time_216.5.csv
99,90,NA,216.5,NA,Norian,climate_time_216.5.csv
100,90,NA,216.5,NA,Norian,climate_time_216.5.csv
101,90,NA,216.5,NA,Norian,climate_time_216.5.csv
102,90,NA,216.5,NA,Norian,climate_time_216.5.csv
103,90,NA,216.5,NA,Norian,climate_time_216.5.csv
104,90,NA,216.5,NA,Norian,climate_time_216.5.csv
105,90,NA,216.5,NA,Norian,climate_time_216.5.csv
106,90,NA,216.5,NA,Norian,climate_time_216.5.csv
107,90,NA,216.5,NA,Norian,climate_time_216.5.csv
108,90,NA,216.5,NA,Norian,climate_time_216.5.csv
109,90,NA,216.5,NA,Norian,climate_time_216.5.csv
110,90,NA,216.5,NA,Norian,climate_time_216.5.csv
111,90,NA,216.5,NA,Norian,climate_time_216.5.csv
112,90,NA,216.5,NA,Norian,climate_time_216.5.csv
113,90,NA,216.5,NA,Norian,climate_time_216.5.csv
114,90,NA,216.5,NA,Norian,climate_time_216.5.csv
115,90,NA,216.5,NA,Norian,climate_time_216.5.csv
116,90,NA,216.5,NA,Norian,climate_time_216.5.csv
117,90,NA,216.5,NA,Norian,climate_time_216.5.csv
118,90,NA,216.5,NA,Norian,climate_time_216.5.csv
119,90,NA,216.5,NA,Norian,climate_time_216.5.csv
