paleolongitude,paleolatitude,temp,Age,depth,Stage,Filename
-180,90,7.80218458175659,248.3,-3440,Olenekian,climate_time_248.5.csv
-179,90,7.79935073852539,248.3,-3480,Olenekian,climate_time_248.5.csv
-178,90,7.79654932022095,248.3,-3480,Olenekian,climate_time_248.5.csv
-177,90,7.79378080368042,248.3,-3480,Olenekian,climate_time_248.5.csv
-176,90,7.79104566574097,248.3,-3480,Olenekian,climate_time_248.5.csv
-175,90,7.78834438323975,248.3,-3480,Olenekian,climate_time_248.5.csv
-174,90,7.78567886352539,248.3,-3480,Olenekian,climate_time_248.5.csv
-173,90,7.78305006027222,248.3,-3480,Olenekian,climate_time_248.5.csv
-172,90,7.7804594039917,248.3,-3480,Olenekian,climate_time_248.5.csv
-171,90,7.77790927886963,248.3,-3480,Olenekian,climate_time_248.5.csv
-170,90,7.7754020690918,248.3,-3480,Olenekian,climate_time_248.5.csv
-169,90,7.77294254302979,248.3,-3480,Olenekian,climate_time_248.5.csv
-168,90,7.77053165435791,248.3,-3480,Olenekian,climate_time_248.5.csv
-167,90,7.76817321777344,248.3,-3480,Olenekian,climate_time_248.5.csv
-166,90,7.76587104797363,248.3,-3480,Olenekian,climate_time_248.5.csv
-165,90,7.76363134384155,248.3,-3480,Olenekian,climate_time_248.5.csv
-164,90,7.76145648956299,248.3,-3480,Olenekian,climate_time_248.5.csv
-163,90,7.75934886932373,248.3,-3480,Olenekian,climate_time_248.5.csv
-162,90,7.75731468200684,248.3,-3480,Olenekian,climate_time_248.5.csv
-161,90,7.75535678863525,248.3,-3480,Olenekian,climate_time_248.5.csv
-160,90,7.75347805023193,248.3,-3480,Olenekian,climate_time_248.5.csv
-159,90,7.75168228149414,248.3,-3480,Olenekian,climate_time_248.5.csv
-158,90,7.74997043609619,248.3,-3480,Olenekian,climate_time_248.5.csv
-157,90,7.74834442138672,248.3,-3480,Olenekian,climate_time_248.5.csv
-156,90,7.74680709838867,248.3,-3480,Olenekian,climate_time_248.5.csv
-155,90,7.74535655975342,248.3,-3480,Olenekian,climate_time_248.5.csv
-154,90,7.74399375915527,248.3,-3480,Olenekian,climate_time_248.5.csv
-153,90,7.7427191734314,248.3,-3480,Olenekian,climate_time_248.5.csv
-152,90,7.74152994155884,248.3,-3480,Olenekian,climate_time_248.5.csv
-151,90,7.74042654037476,248.3,-3480,Olenekian,climate_time_248.5.csv
-150,90,7.73940658569336,248.3,-3480,Olenekian,climate_time_248.5.csv
-149,90,7.73846817016602,248.3,-3480,Olenekian,climate_time_248.5.csv
-148,90,7.73760890960693,248.3,-3480,Olenekian,climate_time_248.5.csv
-147,90,7.7368278503418,248.3,-3480,Olenekian,climate_time_248.5.csv
-146,90,7.73612308502197,248.3,-3480,Olenekian,climate_time_248.5.csv
-145,90,7.73549222946167,248.3,-3480,Olenekian,climate_time_248.5.csv
-144,90,7.73493432998657,248.3,-3480,Olenekian,climate_time_248.5.csv
-143,90,7.73444938659668,248.3,-3480,Olenekian,climate_time_248.5.csv
-142,90,7.73403453826904,248.3,-3480,Olenekian,climate_time_248.5.csv
-141,90,7.73369026184082,248.3,-3480,Olenekian,climate_time_248.5.csv
-140,90,7.73341655731201,248.3,-3480,Olenekian,climate_time_248.5.csv
-139,90,7.73321342468262,248.3,-3480,Olenekian,climate_time_248.5.csv
-138,90,7.73308038711548,248.3,-3480,Olenekian,climate_time_248.5.csv
