paleolongitude,paleolatitude,temp,Age,depth,Stage,Filename
-180,90,-1.57367885112762,1.296,0,Pleistocene,climate_time_1.5.csv
-179,90,-1.57257878780365,1.296,0,Pleistocene,climate_time_1.5.csv
-178,90,-1.57143318653107,1.296,0,Pleistocene,climate_time_1.5.csv
-177,90,-1.57024323940277,1.296,0,Pleistocene,climate_time_1.5.csv
-176,90,-1.56900990009308,1.296,0,Pleistocene,climate_time_1.5.csv
-175,90,-1.56773364543915,1.296,0,Pleistocene,climate_time_1.5.csv
-174,90,-1.56641399860382,1.296,0,Pleistocene,climate_time_1.5.csv
-173,90,-1.56505072116852,1.296,0,Pleistocene,climate_time_1.5.csv
-172,90,-1.56364321708679,1.296,0,Pleistocene,climate_time_1.5.csv
-171,90,-1.56219089031219,1.296,0,Pleistocene,climate_time_1.5.csv
-170,90,-1.56069314479828,1.296,-4080,Pleistocene,climate_time_1.5.csv
-169,90,-1.5591493844986,1.296,-4080,Pleistocene,climate_time_1.5.csv
-168,90,-1.55755913257599,1.296,-4080,Pleistocene,climate_time_1.5.csv
-167,90,-1.5559229850769,1.296,-4080,Pleistocene,climate_time_1.5.csv
-166,90,-1.55424177646637,1.296,-4080,Pleistocene,climate_time_1.5.csv
-165,90,-1.5525164604187,1.296,-4080,Pleistocene,climate_time_1.5.csv
-164,90,-1.55074954032898,1.296,-4080,Pleistocene,climate_time_1.5.csv
-163,90,-1.54894328117371,1.296,-4080,Pleistocene,climate_time_1.5.csv
-162,90,-1.54710221290588,1.296,-4080,Pleistocene,climate_time_1.5.csv
-161,90,-1.54523086547852,1.296,-4080,Pleistocene,climate_time_1.5.csv
-160,90,-1.54333400726318,1.296,-4080,Pleistocene,climate_time_1.5.csv
-159,90,-1.54141783714294,1.296,-4080,Pleistocene,climate_time_1.5.csv
-158,90,-1.53949022293091,1.296,-4080,Pleistocene,climate_time_1.5.csv
-157,90,-1.53755867481232,1.296,-4080,Pleistocene,climate_time_1.5.csv
-156,90,-1.53563022613525,1.296,-4080,Pleistocene,climate_time_1.5.csv
-155,90,-1.53371405601501,1.296,-4080,Pleistocene,climate_time_1.5.csv
-154,90,-1.53181934356689,1.296,-4080,Pleistocene,climate_time_1.5.csv
-153,90,-1.5299551486969,1.296,-4080,Pleistocene,climate_time_1.5.csv
-152,90,-1.52812910079956,1.296,-4080,Pleistocene,climate_time_1.5.csv
-151,90,-1.52635037899017,1.296,-4080,Pleistocene,climate_time_1.5.csv
-150,90,-1.52462792396545,1.296,-4080,Pleistocene,climate_time_1.5.csv
-149,90,-1.5229686498642,1.296,-4080,Pleistocene,climate_time_1.5.csv
-148,90,-1.52137911319733,1.296,-4080,Pleistocene,climate_time_1.5.csv
-147,90,-1.51986539363861,1.296,-4080,Pleistocene,climate_time_1.5.csv
-146,90,-1.51843357086182,1.296,-4080,Pleistocene,climate_time_1.5.csv
-145,90,-1.51708722114563,1.296,-4080,Pleistocene,climate_time_1.5.csv
-144,90,-1.51582908630371,1.296,-4080,Pleistocene,climate_time_1.5.csv
-143,90,-1.51466119289398,1.296,-4080,Pleistocene,climate_time_1.5.csv
-142,90,-1.51358473300934,1.296,-4080,Pleistocene,climate_time_1.5.csv
-141,90,-1.51259934902191,1.296,-4080,Pleistocene,climate_time_1.5.csv
-140,90,-1.51170313358307,1.296,-4080,Pleistocene,climate_time_1.5.csv
-139,90,-1.51089346408844,1.296,-4080,Pleistocene,climate_time_1.5.csv
-138,90,-1.51016700267792,1.296,-4080,Pleistocene,climate_time_1.5.csv
-137,90,-1.50951981544495,1.296,-4080,Pleistocene,climate_time_1.5.csv
-136,90,-1.50894582271576,1.296,-4080,Pleistocene,climate_time_1.5.csv
-135,90,-1.50843870639801,1.296,-4120,Pleistocene,climate_time_1.5.csv
-134,90,-1.50799214839935,1.296,-4120,Pleistocene,climate_time_1.5.csv
-133,90,-1.50759923458099,1.296,-4120,Pleistocene,climate_time_1.5.csv
-132,90,-1.50725173950195,1.296,-4120,Pleistocene,climate_time_1.5.csv
