paleolongitude,paleolatitude,temp,Age,depth,Stage,Filename
-180,90,-1.41781115531921,291.81,-2520,Sakmarian,climate_time_292.csv
-179,90,-1.41816258430481,291.81,-3480,Sakmarian,climate_time_292.csv
-178,90,-1.41850972175598,291.81,-3480,Sakmarian,climate_time_292.csv
-177,90,-1.4188529253006,291.81,-3480,Sakmarian,climate_time_292.csv
-176,90,-1.41919183731079,291.81,-3480,Sakmarian,climate_time_292.csv
-175,90,-1.41952657699585,291.81,-3480,Sakmarian,climate_time_292.csv
-174,90,-1.41985714435577,291.81,-3480,Sakmarian,climate_time_292.csv
-173,90,-1.42018365859985,291.81,-3480,Sakmarian,climate_time_292.csv
-172,90,-1.4205060005188,291.81,-3480,Sakmarian,climate_time_292.csv
-171,90,-1.42082440853119,291.81,-3480,Sakmarian,climate_time_292.csv
-170,90,-1.42113840579987,291.81,-3480,Sakmarian,climate_time_292.csv
-169,90,-1.42144846916199,291.81,-3480,Sakmarian,climate_time_292.csv
-168,90,-1.42175424098969,291.81,-3480,Sakmarian,climate_time_292.csv
-167,90,-1.42205584049225,291.81,-3480,Sakmarian,climate_time_292.csv
-166,90,-1.4223530292511,291.81,-3480,Sakmarian,climate_time_292.csv
-165,90,-1.42264592647552,291.81,-3480,Sakmarian,climate_time_292.csv
-164,90,-1.42293465137482,291.81,-3480,Sakmarian,climate_time_292.csv
-163,90,-1.4232189655304,291.81,-3480,Sakmarian,climate_time_292.csv
-162,90,-1.42349874973297,291.81,-3480,Sakmarian,climate_time_292.csv
-161,90,-1.42377436161041,291.81,-3480,Sakmarian,climate_time_292.csv
-160,90,-1.42404508590698,291.81,-3480,Sakmarian,climate_time_292.csv
-159,90,-1.42431139945984,291.81,-3480,Sakmarian,climate_time_292.csv
-158,90,-1.42457294464111,291.81,-3480,Sakmarian,climate_time_292.csv
-157,90,-1.42482995986938,291.81,-3480,Sakmarian,climate_time_292.csv
-156,90,-1.4250819683075,291.81,-3480,Sakmarian,climate_time_292.csv
-155,90,-1.42532920837402,291.81,-3480,Sakmarian,climate_time_292.csv
-154,90,-1.4255713224411,291.81,-3480,Sakmarian,climate_time_292.csv
-153,90,-1.42580831050873,291.81,-3480,Sakmarian,climate_time_292.csv
-152,90,-1.42604005336761,291.81,-3480,Sakmarian,climate_time_292.csv
-151,90,-1.42626643180847,291.81,-3480,Sakmarian,climate_time_292.csv
-150,90,-1.4264874458313,291.81,-3480,Sakmarian,climate_time_292.csv
-149,90,-1.42670285701752,291.81,-3480,Sakmarian,climate_time_292.csv
-148,90,-1.42691242694855,291.81,-3480,Sakmarian,climate_time_292.csv
-147,90,-1.42711639404297,291.81,-3480,Sakmarian,climate_time_292.csv
-146,90,-1.42731440067291,291.81,-3480,Sakmarian,climate_time_292.csv
-145,90,-1.42750632762909,291.81,-3480,Sakmarian,climate_time_292.csv
-144,90,-1.42769205570221,291.81,-3480,Sakmarian,climate_time_292.csv
-143,90,-1.42787170410156,291.81,-3480,Sakmarian,climate_time_292.csv
-142,90,-1.42804503440857,291.81,-3480,Sakmarian,climate_time_292.csv
-141,90,-1.42821180820465,291.81,-3480,Sakmarian,climate_time_292.csv
-140,90,-1.42837238311768,291.81,-3480,Sakmarian,climate_time_292.csv
-139,90,-1.42852628231049,291.81,-3480,Sakmarian,climate_time_292.csv
-138,90,-1.42867386341095,291.81,-3480,Sakmarian,climate_time_292.csv
-137,90,-1.42881464958191,291.81,-3480,Sakmarian,climate_time_292.csv
-136,90,-1.42894899845123,291.81,-3480,Sakmarian,climate_time_292.csv
-135,90,-1.42907667160034,291.81,-3480,Sakmarian,climate_time_292.csv
-134,90,-1.42919766902924,291.81,-3480,Sakmarian,climate_time_292.csv
-133,90,-1.42931199073792,291.81,-3480,Sakmarian,climate_time_292.csv
-132,90,-1.4294193983078,291.81,-3480,Sakmarian,climate_time_292.csv
-131,90,-1.42952013015747,291.81,-3480,Sakmarian,climate_time_292.csv
-130,90,-1.42961406707764,291.81,-3480,Sakmarian,climate_time_292.csv
-129,90,-1.42970085144043,291.81,-3480,Sakmarian,climate_time_292.csv
-128,90,-1.42978084087372,291.81,-3480,Sakmarian,climate_time_292.csv
-127,90,-1.4298540353775,291.81,-3480,Sakmarian,climate_time_292.csv
-126,90,-1.4299201965332,291.81,-3480,Sakmarian,climate_time_292.csv
-125,90,-1.42997944355011,291.81,-3480,Sakmarian,climate_time_292.csv
-124,90,-1.43003189563751,291.81,-3480,Sakmarian,climate_time_292.csv
-123,90,-1.43007743358612,291.81,-3480,Sakmarian,climate_time_292.csv
-122,90,-1.43011605739594,291.81,-3480,Sakmarian,climate_time_292.csv
-121,90,-1.43014788627625,291.81,-3480,Sakmarian,climate_time_292.csv
-120,90,-1.43017303943634,291.81,-3480,Sakmarian,climate_time_292.csv
-119,90,-1.43019151687622,291.81,-3480,Sakmarian,climate_time_292.csv
-118,90,-1.43020355701447,291.81,-3480,Sakmarian,climate_time_292.csv
-117,90,-1.43020915985107,291.81,-3480,Sakmarian,climate_time_292.csv
-116,90,-1.43020880222321,291.81,-3480,Sakmarian,climate_time_292.csv
-115,90,-1.43020248413086,291.81,-3480,Sakmarian,climate_time_292.csv
-114,90,-1.43019032478333,291.81,-3480,Sakmarian,climate_time_292.csv
-113,90,-1.43017292022705,291.81,-3480,Sakmarian,climate_time_292.csv
-112,90,-1.43015015125275,291.81,-3480,Sakmarian,climate_time_292.csv
-111,90,-1.43012237548828,291.81,-3560,Sakmarian,climate_time_292.csv
-110,90,-1.43008959293365,291.81,-3560,Sakmarian,climate_time_292.csv
-109,90,-1.43005239963531,291.81,-3560,Sakmarian,climate_time_292.csv
-108,90,-1.43001079559326,291.81,-3560,Sakmarian,climate_time_292.csv
-107,90,-1.42996490001678,291.81,-3560,Sakmarian,climate_time_292.csv
-106,90,-1.42991483211517,291.81,-3560,Sakmarian,climate_time_292.csv
-105,90,-1.4298609495163,291.81,-3560,Sakmarian,climate_time_292.csv
-104,90,-1.42980325222015,291.81,-3560,Sakmarian,climate_time_292.csv
-103,90,-1.42974197864532,291.81,-3560,Sakmarian,climate_time_292.csv
-102,90,-1.42967689037323,291.81,-3560,Sakmarian,climate_time_292.csv
-101,90,-1.42960846424103,291.81,-3560,Sakmarian,climate_time_292.csv
-100,90,-1.42953634262085,291.81,-3560,Sakmarian,climate_time_292.csv
-99,90,-1.42946088314056,291.81,-3560,Sakmarian,climate_time_292.csv
-98,90,-1.42938184738159,291.81,-3560,Sakmarian,climate_time_292.csv
-97,90,-1.42929923534393,291.81,-3560,Sakmarian,climate_time_292.csv
-96,90,-1.4292130470275899,291.81,-3480,Sakmarian,climate_time_292.csv
-95,90,-1.42912340164185,291.81,-3480,Sakmarian,climate_time_292.csv
-94,90,-1.42903006076813,291.81,-3480,Sakmarian,climate_time_292.csv
-93,90,-1.42893314361572,291.81,-3480,Sakmarian,climate_time_292.csv
-92,90,-1.42883241176605,291.81,-3480,Sakmarian,climate_time_292.csv
-91,90,-1.4287281036377,291.81,-3480,Sakmarian,climate_time_292.csv
-90,90,-1.42861986160278,291.81,-3480,Sakmarian,climate_time_292.csv
-89,90,-1.4285079240799,291.81,-3480,Sakmarian,climate_time_292.csv
-88,90,-1.42839217185974,291.81,-3480,Sakmarian,climate_time_292.csv
-87,90,-1.42827272415161,291.81,-3480,Sakmarian,climate_time_292.csv
-86,90,-1.42814946174622,291.81,-3480,Sakmarian,climate_time_292.csv
-85,90,-1.42802238464355,291.81,-3480,Sakmarian,climate_time_292.csv
-84,90,-1.42789149284363,291.81,-3480,Sakmarian,climate_time_292.csv
-83,90,-1.42775666713715,291.81,-3480,Sakmarian,climate_time_292.csv
-82,90,-1.4276180267334,291.81,-3480,Sakmarian,climate_time_292.csv
-81,90,-1.42747521400452,291.81,-3480,Sakmarian,climate_time_292.csv
-80,90,-1.4273282289505,291.81,-3480,Sakmarian,climate_time_292.csv
-79,90,-1.42717719078064,291.81,-3480,Sakmarian,climate_time_292.csv
-78,90,-1.42702186107635,291.81,-3480,Sakmarian,climate_time_292.csv
-77,90,-1.42686212062836,291.81,-3480,Sakmarian,climate_time_292.csv
-76,90,-1.42669796943665,291.81,-3480,Sakmarian,climate_time_292.csv
-75,90,-1.42652916908264,291.81,-3480,Sakmarian,climate_time_292.csv
-74,90,-1.42635595798492,291.81,-3480,Sakmarian,climate_time_292.csv
-73,90,-1.42617797851562,291.81,-3480,Sakmarian,climate_time_292.csv
-72,90,-1.42599499225616,291.81,-3480,Sakmarian,climate_time_292.csv
-71,90,-1.42580735683441,291.81,-3480,Sakmarian,climate_time_292.csv
-70,90,-1.42561459541321,291.81,-3480,Sakmarian,climate_time_292.csv
-69,90,-1.42541706562042,291.81,-3480,Sakmarian,climate_time_292.csv
-68,90,-1.42521452903748,291.81,-3480,Sakmarian,climate_time_292.csv
-67,90,-1.42500698566437,291.81,-3480,Sakmarian,climate_time_292.csv
-66,90,-1.42479455471039,291.81,-3480,Sakmarian,climate_time_292.csv
-65,90,-1.42457711696625,291.81,-3480,Sakmarian,climate_time_292.csv
-64,90,-1.42435479164124,291.81,-3480,Sakmarian,climate_time_292.csv
-63,90,-1.42412769794464,291.81,-3480,Sakmarian,climate_time_292.csv
-62,90,-1.42389559745789,291.81,-3480,Sakmarian,climate_time_292.csv
-61,90,-1.4236588478088399,291.81,-3480,Sakmarian,climate_time_292.csv
-60,90,-1.42341732978821,291.81,-3480,Sakmarian,climate_time_292.csv
-59,90,-1.42317092418671,291.81,-3480,Sakmarian,climate_time_292.csv
-58,90,-1.42291986942291,291.81,-3480,Sakmarian,climate_time_292.csv
-57,90,-1.42266392707825,291.81,-3480,Sakmarian,climate_time_292.csv
-56,90,-1.42240309715271,291.81,-3480,Sakmarian,climate_time_292.csv
-55,90,-1.4221373796463,291.81,-3480,Sakmarian,climate_time_292.csv
-54,90,-1.42186653614044,291.81,-3480,Sakmarian,climate_time_292.csv
-53,90,-1.42159056663513,291.81,-3480,Sakmarian,climate_time_292.csv
-52,90,-1.42130947113037,291.81,-3480,Sakmarian,climate_time_292.csv
-51,90,-1.42102289199829,291.81,-3480,Sakmarian,climate_time_292.csv
-50,90,-1.42073094844818,291.81,-3560,Sakmarian,climate_time_292.csv
-49,90,-1.42043328285217,291.81,-3560,Sakmarian,climate_time_292.csv
-48,90,-1.42013001441956,291.81,-3560,Sakmarian,climate_time_292.csv
-47,90,-1.41982090473175,291.81,-3560,Sakmarian,climate_time_292.csv
-46,90,-1.41950619220734,291.81,-3560,Sakmarian,climate_time_292.csv
-45,90,-1.41918551921844,291.81,-3560,Sakmarian,climate_time_292.csv
-44,90,-1.41885948181152,291.81,-3560,Sakmarian,climate_time_292.csv
-43,90,-1.41852796077728,291.81,-3560,Sakmarian,climate_time_292.csv
-42,90,-1.41819131374359,291.81,-3560,Sakmarian,climate_time_292.csv
-41,90,-1.41784954071045,291.81,-3560,Sakmarian,climate_time_292.csv
-40,90,-1.41750335693359,291.81,-3560,Sakmarian,climate_time_292.csv
-39,90,-1.41715288162231,291.81,-3560,Sakmarian,climate_time_292.csv
-38,90,-1.41679894924164,291.81,-3560,Sakmarian,climate_time_292.csv
-37,90,-1.41644167900085,291.81,-3560,Sakmarian,climate_time_292.csv
-36,90,-1.41608190536499,291.81,-3560,Sakmarian,climate_time_292.csv
-35,90,-1.41571998596191,291.81,-3560,Sakmarian,climate_time_292.csv
-34,90,-1.41535675525665,291.81,-3560,Sakmarian,climate_time_292.csv
-33,90,-1.41499257087708,291.81,-3560,Sakmarian,climate_time_292.csv
-32,90,-1.41462790966034,291.81,-3560,Sakmarian,climate_time_292.csv
-31,90,-1.41426360607147,291.81,-3560,Sakmarian,climate_time_292.csv
-30,90,-1.41390001773834,291.81,-3560,Sakmarian,climate_time_292.csv
-29,90,-1.41353714466095,291.81,-3560,Sakmarian,climate_time_292.csv
-28,90,-1.41317582130432,291.81,-3560,Sakmarian,climate_time_292.csv
-27,90,-1.41281604766846,291.81,-3480,Sakmarian,climate_time_292.csv
-26,90,-1.41245818138123,291.81,-3480,Sakmarian,climate_time_292.csv
-25,90,-1.41210198402405,291.81,-3480,Sakmarian,climate_time_292.csv
-24,90,-1.41174781322479,291.81,-3480,Sakmarian,climate_time_292.csv
-23,90,-1.41139543056488,291.81,-3480,Sakmarian,climate_time_292.csv
-22,90,-1.41104483604431,291.81,-3480,Sakmarian,climate_time_292.csv
-21,90,-1.41069579124451,291.81,-3480,Sakmarian,climate_time_292.csv
-20,90,-1.41034829616547,291.81,-3480,Sakmarian,climate_time_292.csv
-19,90,-1.41000163555145,291.81,-3480,Sakmarian,climate_time_292.csv
-18,90,-1.40965604782104,291.81,-3480,Sakmarian,climate_time_292.csv
-17,90,-1.40931081771851,291.81,-3480,Sakmarian,climate_time_292.csv
-16,90,-1.40896582603455,291.81,-3480,Sakmarian,climate_time_292.csv
-15,90,-1.40862059593201,291.81,-3480,Sakmarian,climate_time_292.csv
-14,90,-1.40827536582947,291.81,-3480,Sakmarian,climate_time_292.csv
-13,90,-1.4079293012619,291.81,-3480,Sakmarian,climate_time_292.csv
-12,90,-1.40758228302002,291.81,-3480,Sakmarian,climate_time_292.csv
-11,90,-1.4072345495224,291.81,-3480,Sakmarian,climate_time_292.csv
-10,90,-1.40688526630402,291.81,-3480,Sakmarian,climate_time_292.csv
-9,90,-1.40653467178345,291.81,-3480,Sakmarian,climate_time_292.csv
-8,90,-1.40618205070496,291.81,-3480,Sakmarian,climate_time_292.csv
-7,90,-1.40582752227783,291.81,-3480,Sakmarian,climate_time_292.csv
-6,90,-1.40547060966492,291.81,-3480,Sakmarian,climate_time_292.csv
-5,90,-1.40511107444763,291.81,-3480,Sakmarian,climate_time_292.csv
-4,90,-1.40474855899811,291.81,-3480,Sakmarian,climate_time_292.csv
-3,90,-1.40438270568848,291.81,-3480,Sakmarian,climate_time_292.csv
-2,90,-1.40401291847229,291.81,-3480,Sakmarian,climate_time_292.csv
-1,90,-1.40363264083862,291.81,-3480,Sakmarian,climate_time_292.csv
0,90,-1.4032541513443,291.81,-3480,Sakmarian,climate_time_292.csv
1,90,-1.40287029743195,291.81,-3480,Sakmarian,climate_time_292.csv
2,90,-1.4024806022644,291.81,-3480,Sakmarian,climate_time_292.csv
3,90,-1.40208423137665,291.81,-3480,Sakmarian,climate_time_292.csv
4,90,-1.4016809463501,291.81,-3480,Sakmarian,climate_time_292.csv
5,90,-1.40126991271973,291.81,-3480,Sakmarian,climate_time_292.csv
6,90,-1.40085029602051,291.81,-3480,Sakmarian,climate_time_292.csv
7,90,-1.40042197704315,291.81,-3480,Sakmarian,climate_time_292.csv
8,90,-1.39998400211334,291.81,-3480,Sakmarian,climate_time_292.csv
9,90,-1.39953625202179,291.81,-3480,Sakmarian,climate_time_292.csv
10,90,-1.39907801151276,291.81,-3480,Sakmarian,climate_time_292.csv
11,90,-1.39860928058624,291.81,-3480,Sakmarian,climate_time_292.csv
12,90,-1.39813005924225,291.81,-3480,Sakmarian,climate_time_292.csv
13,90,-1.39764022827148,291.81,-3480,Sakmarian,climate_time_292.csv
14,90,-1.39714002609253,291.81,-3480,Sakmarian,climate_time_292.csv
15,90,-1.39662957191467,291.81,-3480,Sakmarian,climate_time_292.csv
16,90,-1.39610981941223,291.81,-3480,Sakmarian,climate_time_292.csv
17,90,-1.39558112621307,291.81,-3480,Sakmarian,climate_time_292.csv
18,90,-1.39504432678223,291.81,-3480,Sakmarian,climate_time_292.csv
19,90,-1.39450037479401,291.81,-3480,Sakmarian,climate_time_292.csv
20,90,-1.39395022392273,291.81,-3480,Sakmarian,climate_time_292.csv
21,90,-1.39339506626129,291.81,-3480,Sakmarian,climate_time_292.csv
22,90,-1.39283633232117,291.81,-3480,Sakmarian,climate_time_292.csv
23,90,-1.39227473735809,291.81,-3480,Sakmarian,climate_time_292.csv
24,90,-1.39171183109283,291.81,-3480,Sakmarian,climate_time_292.csv
25,90,-1.39114892482758,291.81,-3480,Sakmarian,climate_time_292.csv
