paleolongitude,paleolatitude,temp,Age,depth,Stage,Filename
-180,90,5.93366050720215,84.65,0,Santonian,climate_time_84.5.csv
-179,90,5.9354829788208,84.65,-3960,Santonian,climate_time_84.5.csv
-178,90,5.93737888336182,84.65,-3960,Santonian,climate_time_84.5.csv
-177,90,5.93933296203613,84.65,-3960,Santonian,climate_time_84.5.csv
-176,90,5.94132995605469,84.65,-3960,Santonian,climate_time_84.5.csv
-175,90,5.94335126876831,84.65,-3960,Santonian,climate_time_84.5.csv
-174,90,5.9453763961792,84.65,-3960,Santonian,climate_time_84.5.csv
-173,90,5.94737911224365,84.65,-3960,Santonian,climate_time_84.5.csv
-172,90,5.94933700561523,84.65,-3960,Santonian,climate_time_84.5.csv
-171,90,5.9512300491333,84.65,-3960,Santonian,climate_time_84.5.csv
-170,90,5.95304298400879,84.65,-3960,Santonian,climate_time_84.5.csv
-169,90,5.95475816726685,84.65,-3960,Santonian,climate_time_84.5.csv
-168,90,5.9563627243042,84.65,-3960,Santonian,climate_time_84.5.csv
-167,90,5.95785331726074,84.65,-3960,Santonian,climate_time_84.5.csv
-166,90,5.95922660827637,84.65,-3960,Santonian,climate_time_84.5.csv
-165,90,5.9604868888855,84.65,-3960,Santonian,climate_time_84.5.csv
-164,90,5.96163749694824,84.65,-3960,Santonian,climate_time_84.5.csv
-163,90,5.96268844604492,84.65,-3960,Santonian,climate_time_84.5.csv
-162,90,5.96365404129028,84.65,-3960,Santonian,climate_time_84.5.csv
-161,90,5.9645471572876,84.65,-3960,Santonian,climate_time_84.5.csv
-160,90,5.96538066864014,84.65,-3960,Santonian,climate_time_84.5.csv
-159,90,5.96616697311401,84.65,-3960,Santonian,climate_time_84.5.csv
-158,90,5.9669189453125,84.65,-3960,Santonian,climate_time_84.5.csv
-157,90,5.96764612197876,84.65,-3960,Santonian,climate_time_84.5.csv
-156,90,5.96835470199585,84.65,-3960,Santonian,climate_time_84.5.csv
-155,90,5.96904563903809,84.65,-3960,Santonian,climate_time_84.5.csv
-154,90,5.96971702575684,84.65,-3960,Santonian,climate_time_84.5.csv
-153,90,5.97036552429199,84.65,-3960,Santonian,climate_time_84.5.csv
-152,90,5.97098255157471,84.65,-3960,Santonian,climate_time_84.5.csv
-151,90,5.97155427932739,84.65,-3960,Santonian,climate_time_84.5.csv
-150,90,5.97206497192383,84.65,-3960,Santonian,climate_time_84.5.csv
-149,90,5.97250080108643,84.65,-3960,Santonian,climate_time_84.5.csv
-148,90,5.97284603118896,84.65,-3960,Santonian,climate_time_84.5.csv
-147,90,5.97308206558228,84.65,-3960,Santonian,climate_time_84.5.csv
-146,90,5.97319412231445,84.65,-3960,Santonian,climate_time_84.5.csv
-145,90,5.97316884994507,84.65,-3960,Santonian,climate_time_84.5.csv
-144,90,5.97299957275391,84.65,-5200,Santonian,climate_time_84.5.csv
-143,90,5.97268009185791,84.65,-5200,Santonian,climate_time_84.5.csv
-142,90,5.97220802307129,84.65,-5200,Santonian,climate_time_84.5.csv
-141,90,5.97158622741699,84.65,-5200,Santonian,climate_time_84.5.csv
-140,90,5.97082376480103,84.65,-5200,Santonian,climate_time_84.5.csv
-139,90,5.96993446350098,84.65,-5200,Santonian,climate_time_84.5.csv
-138,90,5.96893215179443,84.65,-5200,Santonian,climate_time_84.5.csv
-137,90,5.96783399581909,84.65,-5200,Santonian,climate_time_84.5.csv
-136,90,5.96666193008423,84.65,-5040,Santonian,climate_time_84.5.csv
-135,90,5.96543979644775,84.65,-4720,Santonian,climate_time_84.5.csv
-134,90,5.96418857574463,84.65,-4720,Santonian,climate_time_84.5.csv
-133,90,5.96292686462402,84.65,-4760,Santonian,climate_time_84.5.csv
-132,90,5.9616756439209,84.65,-5200,Santonian,climate_time_84.5.csv
-131,90,5.96045351028442,84.65,-5200,Santonian,climate_time_84.5.csv
-130,90,5.95927333831787,84.65,-5200,Santonian,climate_time_84.5.csv
-129,90,5.95814323425293,84.65,-5200,Santonian,climate_time_84.5.csv
-128,90,5.9570689201355,84.65,-5200,Santonian,climate_time_84.5.csv
-127,90,5.95605325698853,84.65,-5200,Santonian,climate_time_84.5.csv
-126,90,5.95509481430054,84.65,-5200,Santonian,climate_time_84.5.csv
-125,90,5.95418691635132,84.65,-5200,Santonian,climate_time_84.5.csv
-124,90,5.95332145690918,84.65,-5200,Santonian,climate_time_84.5.csv
-123,90,5.95248937606812,84.65,-5200,Santonian,climate_time_84.5.csv
-122,90,5.95168113708496,84.65,-4760,Santonian,climate_time_84.5.csv
-121,90,5.95088624954224,84.65,-4720,Santonian,climate_time_84.5.csv
-120,90,5.95009326934814,84.65,-4680,Santonian,climate_time_84.5.csv
-119,90,5.94929504394531,84.65,-4720,Santonian,climate_time_84.5.csv
-118,90,5.94848728179932,84.65,-5200,Santonian,climate_time_84.5.csv
-117,90,5.94766712188721,84.65,-5200,Santonian,climate_time_84.5.csv
-116,90,5.94683599472046,84.65,-5200,Santonian,climate_time_84.5.csv
-115,90,5.94599676132202,84.65,-5200,Santonian,climate_time_84.5.csv
-114,90,5.94515752792358,84.65,-5200,Santonian,climate_time_84.5.csv
-113,90,5.9443302154541,84.65,-5200,Santonian,climate_time_84.5.csv
-112,90,5.94352865219116,84.65,-5200,Santonian,climate_time_84.5.csv
-111,90,5.94276237487793,84.65,-5200,Santonian,climate_time_84.5.csv
-110,90,5.94204950332642,84.65,-5200,Santonian,climate_time_84.5.csv
-109,90,5.94140481948853,84.65,-5200,Santonian,climate_time_84.5.csv
-108,90,5.94084072113037,84.65,-5200,Santonian,climate_time_84.5.csv
-107,90,5.94036769866943,84.65,-5200,Santonian,climate_time_84.5.csv
-106,90,5.93999052047729,84.65,-5200,Santonian,climate_time_84.5.csv
-105,90,5.93971633911133,84.65,-5200,Santonian,climate_time_84.5.csv
-104,90,5.93954181671143,84.65,-5200,Santonian,climate_time_84.5.csv
-103,90,5.93946266174316,84.65,-5200,Santonian,climate_time_84.5.csv
-102,90,5.93946409225464,84.65,-5200,Santonian,climate_time_84.5.csv
-101,90,5.93953084945679,84.65,-5200,Santonian,climate_time_84.5.csv
-100,90,5.93964576721191,84.65,-5200,Santonian,climate_time_84.5.csv
-99,90,5.93978452682495,84.65,-5200,Santonian,climate_time_84.5.csv
-98,90,5.93991804122925,84.65,-5200,Santonian,climate_time_84.5.csv
-97,90,5.94001722335815,84.65,-5200,Santonian,climate_time_84.5.csv
-96,90,5.94005584716797,84.65,-5200,Santonian,climate_time_84.5.csv
-95,90,5.94000768661499,84.65,-5200,Santonian,climate_time_84.5.csv
-94,90,5.93984174728394,84.65,-5200,Santonian,climate_time_84.5.csv
-93,90,5.93953418731689,84.65,-5200,Santonian,climate_time_84.5.csv
-92,90,5.93906736373901,84.65,-5200,Santonian,climate_time_84.5.csv
-91,90,5.93842554092407,84.65,-5200,Santonian,climate_time_84.5.csv
-90,90,5.9375958442688,84.65,-5200,Santonian,climate_time_84.5.csv
-89,90,5.93657255172729,84.65,-5200,Santonian,climate_time_84.5.csv
-88,90,5.93535566329956,84.65,-5200,Santonian,climate_time_84.5.csv
-87,90,5.93394947052002,84.65,-5200,Santonian,climate_time_84.5.csv
-86,90,5.9323616027832,84.65,-5200,Santonian,climate_time_84.5.csv
-85,90,5.93060302734375,84.65,-5200,Santonian,climate_time_84.5.csv
-84,90,5.92868614196777,84.65,-5200,Santonian,climate_time_84.5.csv
-83,90,5.9266300201416,84.65,-5200,Santonian,climate_time_84.5.csv
-82,90,5.92445087432861,84.65,-5200,Santonian,climate_time_84.5.csv
-81,90,5.92216110229492,84.65,-5200,Santonian,climate_time_84.5.csv
-80,90,5.9197735786438,84.65,-5200,Santonian,climate_time_84.5.csv
-79,90,5.91730165481567,84.65,-5200,Santonian,climate_time_84.5.csv
-78,90,5.91475391387939,84.65,-5200,Santonian,climate_time_84.5.csv
-77,90,5.91213321685791,84.65,-5200,Santonian,climate_time_84.5.csv
-76,90,5.90943813323975,84.65,-5200,Santonian,climate_time_84.5.csv
-75,90,5.90666484832764,84.65,-5200,Santonian,climate_time_84.5.csv
-74,90,5.90380907058716,84.65,-5200,Santonian,climate_time_84.5.csv
-73,90,5.90085792541504,84.65,-5200,Santonian,climate_time_84.5.csv
-72,90,5.89779663085938,84.65,-5200,Santonian,climate_time_84.5.csv
-71,90,5.8946099281311,84.65,-5200,Santonian,climate_time_84.5.csv
-70,90,5.89128303527832,84.65,-5200,Santonian,climate_time_84.5.csv
-69,90,5.88780164718628,84.65,-5200,Santonian,climate_time_84.5.csv
-68,90,5.8841495513916,84.65,-5200,Santonian,climate_time_84.5.csv
-67,90,5.88031339645386,84.65,-5200,Santonian,climate_time_84.5.csv
-66,90,5.87628602981567,84.65,-5200,Santonian,climate_time_84.5.csv
-65,90,5.87206220626831,84.65,-5200,Santonian,climate_time_84.5.csv
-64,90,5.86764287948608,84.65,-5200,Santonian,climate_time_84.5.csv
-63,90,5.86302804946899,84.65,-5200,Santonian,climate_time_84.5.csv
-62,90,5.85822677612305,84.65,-5200,Santonian,climate_time_84.5.csv
-61,90,5.85325384140015,84.65,-5200,Santonian,climate_time_84.5.csv
-60,90,5.84812593460083,84.65,-5200,Santonian,climate_time_84.5.csv
-59,90,5.84286117553711,84.65,-5200,Santonian,climate_time_84.5.csv
-58,90,5.83748054504395,84.65,-5200,Santonian,climate_time_84.5.csv
-57,90,5.83200883865356,84.65,-5200,Santonian,climate_time_84.5.csv
-56,90,5.82647228240967,84.65,-5200,Santonian,climate_time_84.5.csv
-55,90,5.8208909034729,84.65,-5200,Santonian,climate_time_84.5.csv
-54,90,5.81528520584106,84.65,-5200,Santonian,climate_time_84.5.csv
-53,90,5.80967617034912,84.65,-5200,Santonian,climate_time_84.5.csv
-52,90,5.80408096313477,84.65,-5200,Santonian,climate_time_84.5.csv
-51,90,5.79850912094116,84.65,-5200,Santonian,climate_time_84.5.csv
-50,90,5.79296827316284,84.65,-5200,Santonian,climate_time_84.5.csv
-49,90,5.78746223449707,84.65,-5200,Santonian,climate_time_84.5.csv
-48,90,5.78199100494385,84.65,-5200,Santonian,climate_time_84.5.csv
-47,90,5.77655029296875,84.65,-5200,Santonian,climate_time_84.5.csv
-46,90,5.77113103866577,84.65,-5200,Santonian,climate_time_84.5.csv
-45,90,5.76572227478027,84.65,-5200,Santonian,climate_time_84.5.csv
-44,90,5.76031351089478,84.65,-5200,Santonian,climate_time_84.5.csv
-43,90,5.75489187240601,84.65,-5200,Santonian,climate_time_84.5.csv
-42,90,5.74944353103638,84.65,-5200,Santonian,climate_time_84.5.csv
-41,90,5.74395561218262,84.65,-5200,Santonian,climate_time_84.5.csv
-40,90,5.73841953277588,84.65,-5200,Santonian,climate_time_84.5.csv
-39,90,5.73282718658447,84.65,-5200,Santonian,climate_time_84.5.csv
-38,90,5.72717523574829,84.65,-5200,Santonian,climate_time_84.5.csv
-37,90,5.72145986557007,84.65,-5200,Santonian,climate_time_84.5.csv
-36,90,5.71568298339844,84.65,-5200,Santonian,climate_time_84.5.csv
-35,90,5.70985126495361,84.65,-5200,Santonian,climate_time_84.5.csv
-34,90,5.70397520065308,84.65,-5200,Santonian,climate_time_84.5.csv
-33,90,5.69806385040283,84.65,-5200,Santonian,climate_time_84.5.csv
-32,90,5.69213008880615,84.65,-5200,Santonian,climate_time_84.5.csv
-31,90,5.68619012832642,84.65,-5200,Santonian,climate_time_84.5.csv
-30,90,5.68026065826416,84.65,-5200,Santonian,climate_time_84.5.csv
-29,90,5.67435598373413,84.65,-5200,Santonian,climate_time_84.5.csv
-28,90,5.66849136352539,84.65,-5200,Santonian,climate_time_84.5.csv
-27,90,5.66267871856689,84.65,-5200,Santonian,climate_time_84.5.csv
-26,90,5.65693092346191,84.65,-5200,Santonian,climate_time_84.5.csv
-25,90,5.65125799179077,84.65,-5200,Santonian,climate_time_84.5.csv
-24,90,5.64566326141357,84.65,-5200,Santonian,climate_time_84.5.csv
-23,90,5.64015007019043,84.65,-5200,Santonian,climate_time_84.5.csv
-22,90,5.63472080230713,84.65,-5200,Santonian,climate_time_84.5.csv
-21,90,5.62937307357788,84.65,-5200,Santonian,climate_time_84.5.csv
-20,90,5.6241021156311,84.65,-5200,Santonian,climate_time_84.5.csv
-19,90,5.61890077590942,84.65,-5200,Santonian,climate_time_84.5.csv
-18,90,5.61376285552979,84.65,-5200,Santonian,climate_time_84.5.csv
-17,90,5.60868167877197,84.65,-5200,Santonian,climate_time_84.5.csv
-16,90,5.60365104675293,84.65,-5200,Santonian,climate_time_84.5.csv
-15,90,5.59866094589233,84.65,-5200,Santonian,climate_time_84.5.csv
-14,90,5.59370756149292,84.65,-5200,Santonian,climate_time_84.5.csv
-13,90,5.58878803253174,84.65,-5200,Santonian,climate_time_84.5.csv
-12,90,5.58390140533447,84.65,-5200,Santonian,climate_time_84.5.csv
-11,90,5.57904720306396,84.65,-5200,Santonian,climate_time_84.5.csv
-10,90,5.57422828674316,84.65,-5200,Santonian,climate_time_84.5.csv
-9,90,5.56944847106934,84.65,-5200,Santonian,climate_time_84.5.csv
-8,90,5.56471633911133,84.65,-5200,Santonian,climate_time_84.5.csv
-7,90,5.56003856658936,84.65,-5200,Santonian,climate_time_84.5.csv
-6,90,5.55542278289795,84.65,-4640,Santonian,climate_time_84.5.csv
-5,90,5.55087804794312,84.65,-4720,Santonian,climate_time_84.5.csv
-4,90,5.54641389846802,84.65,-5200,Santonian,climate_time_84.5.csv
-3,90,5.54203748703003,84.65,-5200,Santonian,climate_time_84.5.csv
-2,90,5.53775358200073,84.65,-5200,Santonian,climate_time_84.5.csv
-1,90,5.53356695175171,84.65,-5200,Santonian,climate_time_84.5.csv
0,90,5.52947902679443,84.65,-5200,Santonian,climate_time_84.5.csv
1,90,5.52549076080322,84.65,-5200,Santonian,climate_time_84.5.csv
2,90,5.52159929275513,84.65,-5200,Santonian,climate_time_84.5.csv
3,90,5.51779794692993,84.65,-5200,Santonian,climate_time_84.5.csv
4,90,5.51408100128174,84.65,-5200,Santonian,climate_time_84.5.csv
5,90,5.51044082641602,84.65,-5200,Santonian,climate_time_84.5.csv
6,90,5.5068678855896,84.65,-5200,Santonian,climate_time_84.5.csv
7,90,5.50335025787354,84.65,-5200,Santonian,climate_time_84.5.csv
8,90,5.49987840652466,84.65,-5200,Santonian,climate_time_84.5.csv
9,90,5.49644374847412,84.65,-5200,Santonian,climate_time_84.5.csv
10,90,5.49303817749023,84.65,-5200,Santonian,climate_time_84.5.csv
11,90,5.48965549468994,84.65,-5200,Santonian,climate_time_84.5.csv
12,90,5.4862904548645,84.65,-5200,Santonian,climate_time_84.5.csv
13,90,5.48294115066528,84.65,-5200,Santonian,climate_time_84.5.csv
14,90,5.47960948944092,84.65,-5200,Santonian,climate_time_84.5.csv
15,90,5.47629880905151,84.65,-5200,Santonian,climate_time_84.5.csv
16,90,5.47301387786865,84.65,-5200,Santonian,climate_time_84.5.csv
17,90,5.46976232528687,84.65,-5200,Santonian,climate_time_84.5.csv
18,90,5.46655607223511,84.65,-5200,Santonian,climate_time_84.5.csv
19,90,5.46340608596802,84.65,-5200,Santonian,climate_time_84.5.csv
20,90,5.46032238006592,84.65,-5200,Santonian,climate_time_84.5.csv
21,90,5.45731735229492,84.65,-5200,Santonian,climate_time_84.5.csv
22,90,5.45440435409546,84.65,-5200,Santonian,climate_time_84.5.csv
23,90,5.45159339904785,84.65,-5200,Santonian,climate_time_84.5.csv
24,90,5.44889307022095,84.65,-5200,Santonian,climate_time_84.5.csv
25,90,5.44631099700928,84.65,-5200,Santonian,climate_time_84.5.csv
26,90,5.44385147094727,84.65,-5200,Santonian,climate_time_84.5.csv
27,90,5.44152069091797,84.65,-5200,Santonian,climate_time_84.5.csv
28,90,5.43931722640991,84.65,-5200,Santonian,climate_time_84.5.csv
29,90,5.43723964691162,84.65,-5200,Santonian,climate_time_84.5.csv
30,90,5.4352855682373,84.65,-5200,Santonian,climate_time_84.5.csv
31,90,5.43344879150391,84.65,-5160,Santonian,climate_time_84.5.csv
32,90,5.43172645568848,84.65,-5120,Santonian,climate_time_84.5.csv
33,90,5.43010950088501,84.65,-5080,Santonian,climate_time_84.5.csv
34,90,5.42859172821045,84.65,-5120,Santonian,climate_time_84.5.csv
35,90,5.42716789245605,84.65,-5200,Santonian,climate_time_84.5.csv
36,90,5.42583274841309,84.65,-5200,Santonian,climate_time_84.5.csv
37,90,5.42458200454712,84.65,-5200,Santonian,climate_time_84.5.csv
38,90,5.42341327667236,84.65,-5200,Santonian,climate_time_84.5.csv
39,90,5.42232465744019,84.65,-5200,Santonian,climate_time_84.5.csv
40,90,5.42131853103638,84.65,-5200,Santonian,climate_time_84.5.csv
41,90,5.42039680480957,84.65,-5200,Santonian,climate_time_84.5.csv
42,90,5.41956424713135,84.65,-5200,Santonian,climate_time_84.5.csv
43,90,5.41882514953613,84.65,-5200,Santonian,climate_time_84.5.csv
44,90,5.41818618774414,84.65,-5200,Santonian,climate_time_84.5.csv
45,90,5.41765594482422,84.65,-5200,Santonian,climate_time_84.5.csv
46,90,5.41724014282227,84.65,-5200,Santonian,climate_time_84.5.csv
47,90,5.41694450378418,84.65,-5200,Santonian,climate_time_84.5.csv
48,90,5.41677522659302,84.65,-5200,Santonian,climate_time_84.5.csv
49,90,5.41673755645752,84.65,-5200,Santonian,climate_time_84.5.csv
50,90,5.41683483123779,84.65,-5200,Santonian,climate_time_84.5.csv
51,90,5.41706848144531,84.65,-5200,Santonian,climate_time_84.5.csv
52,90,5.41743803024292,84.65,-5200,Santonian,climate_time_84.5.csv
53,90,5.4179425239563,84.65,-5200,Santonian,climate_time_84.5.csv
54,90,5.4185791015625,84.65,-5200,Santonian,climate_time_84.5.csv
55,90,5.41934394836426,84.65,-5200,Santonian,climate_time_84.5.csv
56,90,5.42023181915283,84.65,-5200,Santonian,climate_time_84.5.csv
57,90,5.42123699188232,84.65,-5200,Santonian,climate_time_84.5.csv
58,90,5.42235517501831,84.65,-5200,Santonian,climate_time_84.5.csv
59,90,5.42358112335205,84.65,-5200,Santonian,climate_time_84.5.csv
60,90,5.42491149902344,84.65,-5200,Santonian,climate_time_84.5.csv
61,90,5.42634248733521,84.65,-5200,Santonian,climate_time_84.5.csv
62,90,5.4278736114502,84.65,-5200,Santonian,climate_time_84.5.csv
63,90,5.42950630187988,84.65,-5200,Santonian,climate_time_84.5.csv
64,90,5.43124198913574,84.65,-5200,Santonian,climate_time_84.5.csv
65,90,5.43308401107788,84.65,-5200,Santonian,climate_time_84.5.csv
66,90,5.43503856658936,84.65,-5200,Santonian,climate_time_84.5.csv
67,90,5.43711233139038,84.65,-5200,Santonian,climate_time_84.5.csv
68,90,5.43931245803833,84.65,-5200,Santonian,climate_time_84.5.csv
69,90,5.44164752960205,84.65,-5200,Santonian,climate_time_84.5.csv
70,90,5.44412422180176,84.65,-5200,Santonian,climate_time_84.5.csv
71,90,5.44675064086914,84.65,-5200,Santonian,climate_time_84.5.csv
72,90,5.44953346252441,84.65,-5200,Santonian,climate_time_84.5.csv
73,90,5.452476978302,84.65,-5200,Santonian,climate_time_84.5.csv
74,90,5.45558261871338,84.65,-5200,Santonian,climate_time_84.5.csv
75,90,5.45885229110718,84.65,-5200,Santonian,climate_time_84.5.csv
76,90,5.46228551864624,84.65,-5200,Santonian,climate_time_84.5.csv
77,90,5.46587657928467,84.65,-5200,Santonian,climate_time_84.5.csv
78,90,5.46962022781372,84.65,-5200,Santonian,climate_time_84.5.csv
79,90,5.47350788116455,84.65,-5200,Santonian,climate_time_84.5.csv
80,90,5.47753095626831,84.65,-5200,Santonian,climate_time_84.5.csv
81,90,5.48167943954468,84.65,-5200,Santonian,climate_time_84.5.csv
82,90,5.48594045639038,84.65,-5200,Santonian,climate_time_84.5.csv
83,90,5.49030303955078,84.65,-5200,Santonian,climate_time_84.5.csv
84,90,5.49475717544556,84.65,-5200,Santonian,climate_time_84.5.csv
85,90,5.4992938041687,84.65,-5200,Santonian,climate_time_84.5.csv
86,90,5.50390291213989,84.65,-5200,Santonian,climate_time_84.5.csv
87,90,5.50857830047607,84.65,-5200,Santonian,climate_time_84.5.csv
88,90,5.51331615447998,84.65,-5200,Santonian,climate_time_84.5.csv
89,90,5.51811408996582,84.65,-5200,Santonian,climate_time_84.5.csv
90,90,5.52297115325928,84.65,-5200,Santonian,climate_time_84.5.csv
91,90,5.52788972854614,84.65,-5200,Santonian,climate_time_84.5.csv
92,90,5.53287124633789,84.65,-5200,Santonian,climate_time_84.5.csv
93,90,5.53792190551758,84.65,-5120,Santonian,climate_time_84.5.csv
94,90,5.54304790496826,84.65,-5120,Santonian,climate_time_84.5.csv
95,90,5.54825305938721,84.65,-5200,Santonian,climate_time_84.5.csv
96,90,5.553542137146,84.65,-5200,Santonian,climate_time_84.5.csv
97,90,5.55891990661621,84.65,-5200,Santonian,climate_time_84.5.csv
98,90,5.56439065933228,84.65,-5200,Santonian,climate_time_84.5.csv
99,90,5.56995439529419,84.65,-5200,Santonian,climate_time_84.5.csv
100,90,5.57560920715332,84.65,-5200,Santonian,climate_time_84.5.csv
