paleolongitude,paleolatitude,temp,Age,depth,Stage,Filename
-180,90,7.4558277130127,510.5,-3360,Stage 4,climate_time_510.5.csv
-179,90,7.45594882965088,510.5,-3480,Stage 4,climate_time_510.5.csv
-178,90,7.4560718536377,510.5,-3480,Stage 4,climate_time_510.5.csv
-177,90,7.45619583129883,510.5,-3480,Stage 4,climate_time_510.5.csv
-176,90,7.45631885528564,510.5,-3480,Stage 4,climate_time_510.5.csv
-175,90,7.45644044876099,510.5,-3480,Stage 4,climate_time_510.5.csv
-174,90,7.4565601348877,510.5,-3480,Stage 4,climate_time_510.5.csv
-173,90,7.4566764831543,510.5,-3480,Stage 4,climate_time_510.5.csv
-172,90,7.45678949356079,510.5,-3480,Stage 4,climate_time_510.5.csv
-171,90,7.45689821243286,510.5,-3480,Stage 4,climate_time_510.5.csv
-170,90,7.45700263977051,510.5,-3480,Stage 4,climate_time_510.5.csv
-169,90,7.45710372924805,510.5,-3480,Stage 4,climate_time_510.5.csv
-168,90,7.45720052719116,510.5,-3480,Stage 4,climate_time_510.5.csv
-167,90,7.45729398727417,510.5,-3480,Stage 4,climate_time_510.5.csv
-166,90,7.45738506317139,510.5,-3480,Stage 4,climate_time_510.5.csv
-165,90,7.4574761390686,510.5,-3480,Stage 4,climate_time_510.5.csv
-164,90,7.45756721496582,510.5,-3480,Stage 4,climate_time_510.5.csv
-163,90,7.45766067504883,510.5,-3480,Stage 4,climate_time_510.5.csv
-162,90,7.4577579498291,510.5,-3480,Stage 4,climate_time_510.5.csv
-161,90,7.45786237716675,510.5,-3480,Stage 4,climate_time_510.5.csv
-160,90,7.45797395706177,510.5,-3480,Stage 4,climate_time_510.5.csv
-159,90,7.45809745788574,510.5,-3480,Stage 4,climate_time_510.5.csv
-158,90,7.45823287963867,510.5,-3480,Stage 4,climate_time_510.5.csv
-157,90,7.45838403701782,510.5,-3480,Stage 4,climate_time_510.5.csv
-156,90,7.45855283737183,510.5,-3480,Stage 4,climate_time_510.5.csv
-155,90,7.458740234375,510.5,-3480,Stage 4,climate_time_510.5.csv
-154,90,7.45894813537598,510.5,-3480,Stage 4,climate_time_510.5.csv
-153,90,7.45917797088623,510.5,-3480,Stage 4,climate_time_510.5.csv
-152,90,7.45943164825439,510.5,-3480,Stage 4,climate_time_510.5.csv
-151,90,7.45970964431763,510.5,-3480,Stage 4,climate_time_510.5.csv
-150,90,7.46001148223877,510.5,-3480,Stage 4,climate_time_510.5.csv
-149,90,7.4603385925293,510.5,-3480,Stage 4,climate_time_510.5.csv
-148,90,7.46069002151489,510.5,-3480,Stage 4,climate_time_510.5.csv
-147,90,7.46106624603271,510.5,-3480,Stage 4,climate_time_510.5.csv
-146,90,7.46146488189697,510.5,-3480,Stage 4,climate_time_510.5.csv
-145,90,7.46188640594482,510.5,-3480,Stage 4,climate_time_510.5.csv
-144,90,7.46232938766479,510.5,-3480,Stage 4,climate_time_510.5.csv
-143,90,7.46279239654541,510.5,-3480,Stage 4,climate_time_510.5.csv
-142,90,7.46327352523804,510.5,-3480,Stage 4,climate_time_510.5.csv
-141,90,7.46377182006836,510.5,-3480,Stage 4,climate_time_510.5.csv
-140,90,7.46428537368774,510.5,-3480,Stage 4,climate_time_510.5.csv
-139,90,7.46481323242188,510.5,-3480,Stage 4,climate_time_510.5.csv
-138,90,7.46535348892212,510.5,-3480,Stage 4,climate_time_510.5.csv
-137,90,7.46590423583984,510.5,-3480,Stage 4,climate_time_510.5.csv
-136,90,7.46646547317505,510.5,-3480,Stage 4,climate_time_510.5.csv
-135,90,7.46703481674194,510.5,-3480,Stage 4,climate_time_510.5.csv
-134,90,7.46761131286621,510.5,-3480,Stage 4,climate_time_510.5.csv
-133,90,7.46819543838501,510.5,-3480,Stage 4,climate_time_510.5.csv
-132,90,7.46878528594971,510.5,-3480,Stage 4,climate_time_510.5.csv
-131,90,7.46938037872314,510.5,-3480,Stage 4,climate_time_510.5.csv
-130,90,7.46998023986816,510.5,-3480,Stage 4,climate_time_510.5.csv
-129,90,7.47058486938477,510.5,-3480,Stage 4,climate_time_510.5.csv
-128,90,7.47119379043579,510.5,-3480,Stage 4,climate_time_510.5.csv
-127,90,7.4718074798584,510.5,-3480,Stage 4,climate_time_510.5.csv
-126,90,7.47242450714111,510.5,-3480,Stage 4,climate_time_510.5.csv
