paleolongitude,paleolatitude,temp,Age,depth,Stage,Filename
-180,90,-0.57948100566864,146.15,-1240,Tithonian,climate_time_146.csv
-179,90,-0.582435190677643,146.15,-4920,Tithonian,climate_time_146.csv
-178,90,-0.585493743419647,146.15,-4920,Tithonian,climate_time_146.csv
-177,90,-0.588634848594666,146.15,-4920,Tithonian,climate_time_146.csv
-176,90,-0.591835916042328,146.15,-4920,Tithonian,climate_time_146.csv
-175,90,-0.595076382160187,146.15,-4920,Tithonian,climate_time_146.csv
-174,90,-0.598332643508911,146.15,-4920,Tithonian,climate_time_146.csv
-173,90,-0.601577997207642,146.15,-4920,Tithonian,climate_time_146.csv
-172,90,-0.604787528514862,146.15,-4920,Tithonian,climate_time_146.csv
-171,90,-0.607939779758453,146.15,-4920,Tithonian,climate_time_146.csv
-170,90,-0.611011266708374,146.15,-4920,Tithonian,climate_time_146.csv
-169,90,-0.613977313041687,146.15,-4920,Tithonian,climate_time_146.csv
-168,90,-0.616817116737366,146.15,-4920,Tithonian,climate_time_146.csv
-167,90,-0.619513154029846,146.15,-4920,Tithonian,climate_time_146.csv
-166,90,-0.622047662734985,146.15,-4920,Tithonian,climate_time_146.csv
-165,90,-0.624403417110443,146.15,-4920,Tithonian,climate_time_146.csv
-164,90,-0.626567125320435,146.15,-4920,Tithonian,climate_time_146.csv
-163,90,-0.628528535366058,146.15,-4920,Tithonian,climate_time_146.csv
-162,90,-0.630277991294861,146.15,-4920,Tithonian,climate_time_146.csv
-161,90,-0.631807327270508,146.15,-4920,Tithonian,climate_time_146.csv
-160,90,-0.633111476898193,146.15,-4920,Tithonian,climate_time_146.csv
-159,90,-0.634187757968903,146.15,-4920,Tithonian,climate_time_146.csv
-158,90,-0.63503485918045,146.15,-4920,Tithonian,climate_time_146.csv
-157,90,-0.635652661323547,146.15,-4920,Tithonian,climate_time_146.csv
-156,90,-0.636043071746826,146.15,-4920,Tithonian,climate_time_146.csv
-155,90,-0.636210501194,146.15,-4920,Tithonian,climate_time_146.csv
-154,90,-0.636160671710968,146.15,-4920,Tithonian,climate_time_146.csv
-153,90,-0.635900139808655,146.15,-4920,Tithonian,climate_time_146.csv
-152,90,-0.635436832904816,146.15,-4920,Tithonian,climate_time_146.csv
-151,90,-0.634781122207642,146.15,-4920,Tithonian,climate_time_146.csv
-150,90,-0.633944869041443,146.15,-4920,Tithonian,climate_time_146.csv
-149,90,-0.63293981552124,146.15,-4920,Tithonian,climate_time_146.csv
-148,90,-0.63177901506424,146.15,-4920,Tithonian,climate_time_146.csv
-147,90,-0.630478620529175,146.15,-4920,Tithonian,climate_time_146.csv
-146,90,-0.629055202007294,146.15,-4920,Tithonian,climate_time_146.csv
-145,90,-0.627523958683014,146.15,-4920,Tithonian,climate_time_146.csv
-144,90,-0.625902354717255,146.15,-4920,Tithonian,climate_time_146.csv
-143,90,-0.62421041727066,146.15,-4920,Tithonian,climate_time_146.csv
-142,90,-0.62246710062027,146.15,-4920,Tithonian,climate_time_146.csv
-141,90,-0.620689392089844,146.15,-4920,Tithonian,climate_time_146.csv
-140,90,-0.618896305561066,146.15,-4920,Tithonian,climate_time_146.csv
-139,90,-0.617108464241028,146.15,-4920,Tithonian,climate_time_146.csv
-138,90,-0.615343630313873,146.15,-4920,Tithonian,climate_time_146.csv
-137,90,-0.613617599010468,146.15,-4920,Tithonian,climate_time_146.csv
-136,90,-0.611947238445282,146.15,-4920,Tithonian,climate_time_146.csv
-135,90,-0.610349059104919,146.15,-4920,Tithonian,climate_time_146.csv
-134,90,-0.60883617401123,146.15,-4920,Tithonian,climate_time_146.csv
-133,90,-0.607419669628143,146.15,-4920,Tithonian,climate_time_146.csv
-132,90,-0.606110215187073,146.15,-4920,Tithonian,climate_time_146.csv
-131,90,-0.604917228221893,146.15,-4920,Tithonian,climate_time_146.csv
-130,90,-0.603846848011017,146.15,-4920,Tithonian,climate_time_146.csv
-129,90,-0.602903127670288,146.15,-4920,Tithonian,climate_time_146.csv
-128,90,-0.602088868618011,146.15,-4920,Tithonian,climate_time_146.csv
-127,90,-0.601405441761017,146.15,-4920,Tithonian,climate_time_146.csv
-126,90,-0.600852489471436,146.15,-4920,Tithonian,climate_time_146.csv
-125,90,-0.600427329540253,146.15,-4920,Tithonian,climate_time_146.csv
-124,90,-0.600126087665558,146.15,-4920,Tithonian,climate_time_146.csv
-123,90,-0.599944651126862,146.15,-4920,Tithonian,climate_time_146.csv
-122,90,-0.599878311157227,146.15,-4920,Tithonian,climate_time_146.csv
-121,90,-0.599920451641083,146.15,-4920,Tithonian,climate_time_146.csv
-120,90,-0.600064396858215,146.15,-4920,Tithonian,climate_time_146.csv
-119,90,-0.600303947925568,146.15,-4920,Tithonian,climate_time_146.csv
-118,90,-0.600633025169373,146.15,-4920,Tithonian,climate_time_146.csv
-117,90,-0.60104501247406,146.15,-4920,Tithonian,climate_time_146.csv
-116,90,-0.60153329372406,146.15,-4920,Tithonian,climate_time_146.csv
