paleolongitude,paleolatitude,temp,Age,depth,Stage,Filename
-180,90,9.05678653717041,91.85,0,Turonian,climate_time_92.csv
-179,90,9.06194972991943,91.85,-2680,Turonian,climate_time_92.csv
-178,90,9.06723690032959,91.85,-2720,Turonian,climate_time_92.csv
-177,90,9.07262897491455,91.85,-2680,Turonian,climate_time_92.csv
-176,90,9.07809638977051,91.85,-2720,Turonian,climate_time_92.csv
-175,90,9.08362007141113,91.85,-2680,Turonian,climate_time_92.csv
-174,90,9.08916473388672,91.85,-2680,Turonian,climate_time_92.csv
-173,90,9.09470081329346,91.85,-2720,Turonian,climate_time_92.csv
-172,90,9.10019111633301,91.85,-2680,Turonian,climate_time_92.csv
-171,90,9.10560989379883,91.85,-2680,Turonian,climate_time_92.csv
-170,90,9.11092472076416,91.85,-2720,Turonian,climate_time_92.csv
-169,90,9.11610412597656,91.85,-2720,Turonian,climate_time_92.csv
-168,90,9.12112140655518,91.85,-2720,Turonian,climate_time_92.csv
-167,90,9.12595367431641,91.85,-2720,Turonian,climate_time_92.csv
-166,90,9.13058280944824,91.85,-2720,Turonian,climate_time_92.csv
-165,90,9.13498878479004,91.85,-2720,Turonian,climate_time_92.csv
-164,90,9.13915729522705,91.85,-2680,Turonian,climate_time_92.csv
-163,90,9.14308071136475,91.85,-2680,Turonian,climate_time_92.csv
-162,90,9.14675045013428,91.85,-2680,Turonian,climate_time_92.csv
-161,90,9.15016174316406,91.85,-2720,Turonian,climate_time_92.csv
-160,90,9.1533145904541,91.85,-2680,Turonian,climate_time_92.csv
-159,90,9.15620899200439,91.85,-2680,Turonian,climate_time_92.csv
-158,90,9.15884590148926,91.85,-2680,Turonian,climate_time_92.csv
-157,90,9.16122913360596,91.85,-2680,Turonian,climate_time_92.csv
-156,90,9.16336441040039,91.85,-2720,Turonian,climate_time_92.csv
-155,90,9.16525936126709,91.85,-2680,Turonian,climate_time_92.csv
-154,90,9.16692447662354,91.85,-2680,Turonian,climate_time_92.csv
-153,90,9.16836166381836,91.85,-2680,Turonian,climate_time_92.csv
-152,90,9.16958427429199,91.85,-2720,Turonian,climate_time_92.csv
-151,90,9.17059898376465,91.85,-2680,Turonian,climate_time_92.csv
-150,90,9.17141437530518,91.85,-2680,Turonian,climate_time_92.csv
-149,90,9.17203807830811,91.85,-2680,Turonian,climate_time_92.csv
-148,90,9.1724796295166,91.85,-2680,Turonian,climate_time_92.csv
-147,90,9.17274951934814,91.85,-2720,Turonian,climate_time_92.csv
-146,90,9.17285633087158,91.85,-2680,Turonian,climate_time_92.csv
-145,90,9.17280960083008,91.85,-2680,Turonian,climate_time_92.csv
-144,90,9.17262268066406,91.85,-2640,Turonian,climate_time_92.csv
-143,90,9.17230701446533,91.85,-5160,Turonian,climate_time_92.csv
-142,90,9.17187595367432,91.85,-5160,Turonian,climate_time_92.csv
-141,90,9.17134380340576,91.85,-5160,Turonian,climate_time_92.csv
-140,90,9.17072486877441,91.85,-5160,Turonian,climate_time_92.csv
-139,90,9.17003726959229,91.85,-5160,Turonian,climate_time_92.csv
-138,90,9.16929626464844,91.85,-5160,Turonian,climate_time_92.csv
-137,90,9.16851711273193,91.85,-5160,Turonian,climate_time_92.csv
-136,90,9.16771411895752,91.85,-5160,Turonian,climate_time_92.csv
-135,90,9.16690921783447,91.85,-4320,Turonian,climate_time_92.csv
-134,90,9.16611099243164,91.85,-4240,Turonian,climate_time_92.csv
-133,90,9.16533184051514,91.85,-4200,Turonian,climate_time_92.csv
-132,90,9.16458511352539,91.85,-4320,Turonian,climate_time_92.csv
-131,90,9.16387462615967,91.85,-5160,Turonian,climate_time_92.csv
-130,90,9.16320896148682,91.85,-5160,Turonian,climate_time_92.csv
-129,90,9.1625862121582,91.85,-5160,Turonian,climate_time_92.csv
-128,90,9.1620044708252,91.85,-5160,Turonian,climate_time_92.csv
-127,90,9.16146087646484,91.85,-5160,Turonian,climate_time_92.csv
-126,90,9.16094493865967,91.85,-5160,Turonian,climate_time_92.csv
-125,90,9.16044330596924,91.85,-5160,Turonian,climate_time_92.csv
-124,90,9.15993976593018,91.85,-5160,Turonian,climate_time_92.csv
-123,90,9.15941619873047,91.85,-5160,Turonian,climate_time_92.csv
-122,90,9.15885543823242,91.85,-5160,Turonian,climate_time_92.csv
-121,90,9.15823459625244,91.85,-5160,Turonian,climate_time_92.csv
-120,90,9.15752696990967,91.85,-4240,Turonian,climate_time_92.csv
-119,90,9.15671157836914,91.85,-4200,Turonian,climate_time_92.csv
-118,90,9.1557674407959,91.85,-4280,Turonian,climate_time_92.csv
-117,90,9.15467166900635,91.85,-5160,Turonian,climate_time_92.csv
-116,90,9.15340423583984,91.85,-5160,Turonian,climate_time_92.csv
-115,90,9.15194606781006,91.85,-5160,Turonian,climate_time_92.csv
-114,90,9.15028667449951,91.85,-5160,Turonian,climate_time_92.csv
-113,90,9.14841461181641,91.85,-5160,Turonian,climate_time_92.csv
-112,90,9.14631938934326,91.85,-5160,Turonian,climate_time_92.csv
-111,90,9.14399909973145,91.85,-5160,Turonian,climate_time_92.csv
-110,90,9.14145278930664,91.85,-5160,Turonian,climate_time_92.csv
-109,90,9.13868808746338,91.85,-5160,Turonian,climate_time_92.csv
-108,90,9.13570880889893,91.85,-5160,Turonian,climate_time_92.csv
-107,90,9.13252639770508,91.85,-5160,Turonian,climate_time_92.csv
-106,90,9.12915515899658,91.85,-5160,Turonian,climate_time_92.csv
-105,90,9.1256103515625,91.85,-5160,Turonian,climate_time_92.csv
-104,90,9.12191009521484,91.85,-5160,Turonian,climate_time_92.csv
-103,90,9.11807060241699,91.85,-5160,Turonian,climate_time_92.csv
-102,90,9.11411190032959,91.85,-5160,Turonian,climate_time_92.csv
-101,90,9.11005401611328,91.85,-5160,Turonian,climate_time_92.csv
-100,90,9.10591220855713,91.85,-5160,Turonian,climate_time_92.csv
-99,90,9.10170459747314,91.85,-5160,Turonian,climate_time_92.csv
-98,90,9.09744739532471,91.85,-5160,Turonian,climate_time_92.csv
-97,90,9.09315204620361,91.85,-5160,Turonian,climate_time_92.csv
-96,90,9.08883380889893,91.85,-5160,Turonian,climate_time_92.csv
-95,90,9.08449459075928,91.85,-5160,Turonian,climate_time_92.csv
-94,90,9.0801477432251,91.85,-5160,Turonian,climate_time_92.csv
-93,90,9.0757942199707,91.85,-5160,Turonian,climate_time_92.csv
-92,90,9.07143592834473,91.85,-5160,Turonian,climate_time_92.csv
-91,90,9.06707286834717,91.85,-5160,Turonian,climate_time_92.csv
-90,90,9.06270503997803,91.85,-5160,Turonian,climate_time_92.csv
-89,90,9.05832767486572,91.85,-5160,Turonian,climate_time_92.csv
-88,90,9.0539379119873,91.85,-5160,Turonian,climate_time_92.csv
-87,90,9.04953098297119,91.85,-5160,Turonian,climate_time_92.csv
-86,90,9.04510021209717,91.85,-5160,Turonian,climate_time_92.csv
-85,90,9.04064178466797,91.85,-5160,Turonian,climate_time_92.csv
-84,90,9.03614902496338,91.85,-5160,Turonian,climate_time_92.csv
-83,90,9.03161716461182,91.85,-5160,Turonian,climate_time_92.csv
-82,90,9.02704238891602,91.85,-5160,Turonian,climate_time_92.csv
-81,90,9.02242088317871,91.85,-5160,Turonian,climate_time_92.csv
-80,90,9.01774978637695,91.85,-5160,Turonian,climate_time_92.csv
-79,90,9.01302623748779,91.85,-5160,Turonian,climate_time_92.csv
-78,90,9.0082483291626,91.85,-5160,Turonian,climate_time_92.csv
-77,90,9.00341510772705,91.85,-5160,Turonian,climate_time_92.csv
-76,90,8.99852561950684,91.85,-5160,Turonian,climate_time_92.csv
-75,90,8.99357986450195,91.85,-5160,Turonian,climate_time_92.csv
-74,90,8.9885778427124,91.85,-5160,Turonian,climate_time_92.csv
-73,90,8.98351955413818,91.85,-5160,Turonian,climate_time_92.csv
-72,90,8.97840309143066,91.85,-5160,Turonian,climate_time_92.csv
-71,90,8.97322845458984,91.85,-5160,Turonian,climate_time_92.csv
-70,90,8.96799659729004,91.85,-5160,Turonian,climate_time_92.csv
-69,90,8.9627046585083,91.85,-5160,Turonian,climate_time_92.csv
-68,90,8.95734882354736,91.85,-5160,Turonian,climate_time_92.csv
-67,90,8.95193004608154,91.85,-5160,Turonian,climate_time_92.csv
-66,90,8.94644451141357,91.85,-5160,Turonian,climate_time_92.csv
-65,90,8.94088745117188,91.85,-5160,Turonian,climate_time_92.csv
-64,90,8.93525695800781,91.85,-5160,Turonian,climate_time_92.csv
-63,90,8.92955017089844,91.85,-5160,Turonian,climate_time_92.csv
-62,90,8.92376136779785,91.85,-5160,Turonian,climate_time_92.csv
-61,90,8.91788864135742,91.85,-5160,Turonian,climate_time_92.csv
-60,90,8.91192817687988,91.85,-5160,Turonian,climate_time_92.csv
-59,90,8.90587711334229,91.85,-5160,Turonian,climate_time_92.csv
-58,90,8.899733543396,91.85,-5160,Turonian,climate_time_92.csv
-57,90,8.8934965133667,91.85,-5160,Turonian,climate_time_92.csv
-56,90,8.88716411590576,91.85,-5160,Turonian,climate_time_92.csv
-55,90,8.88073635101318,91.85,-5160,Turonian,climate_time_92.csv
-54,90,8.8742151260376,91.85,-5160,Turonian,climate_time_92.csv
-53,90,8.86760234832764,91.85,-5160,Turonian,climate_time_92.csv
-52,90,8.86089992523193,91.85,-5160,Turonian,climate_time_92.csv
-51,90,8.85411262512207,91.85,-5160,Turonian,climate_time_92.csv
-50,90,8.84724235534668,91.85,-5160,Turonian,climate_time_92.csv
-49,90,8.84029769897461,91.85,-5160,Turonian,climate_time_92.csv
-48,90,8.83328247070312,91.85,-5160,Turonian,climate_time_92.csv
-47,90,8.82620334625244,91.85,-5160,Turonian,climate_time_92.csv
-46,90,8.81906604766846,91.85,-5160,Turonian,climate_time_92.csv
-45,90,8.81188106536865,91.85,-5160,Turonian,climate_time_92.csv
-44,90,8.80465316772461,91.85,-5160,Turonian,climate_time_92.csv
-43,90,8.79739189147949,91.85,-5160,Turonian,climate_time_92.csv
-42,90,8.79010105133057,91.85,-5160,Turonian,climate_time_92.csv
-41,90,8.78279399871826,91.85,-5160,Turonian,climate_time_92.csv
