paleolongitude,paleolatitude,temp,Age,depth,Stage,Filename
-180,90,7.51867580413818,505.5,-3280,Wuliuan,climate_time_505.5.csv
-179,90,7.518874168396,505.5,-3480,Wuliuan,climate_time_505.5.csv
-178,90,7.51907634735107,505.5,-3480,Wuliuan,climate_time_505.5.csv
-177,90,7.51928329467773,505.5,-3480,Wuliuan,climate_time_505.5.csv
-176,90,7.5194935798645,505.5,-3480,Wuliuan,climate_time_505.5.csv
-175,90,7.5197057723999,505.5,-3480,Wuliuan,climate_time_505.5.csv
-174,90,7.51991891860962,505.5,-3480,Wuliuan,climate_time_505.5.csv
-173,90,7.52013254165649,505.5,-3480,Wuliuan,climate_time_505.5.csv
-172,90,7.52034616470337,505.5,-3480,Wuliuan,climate_time_505.5.csv
-171,90,7.52055931091309,505.5,-3480,Wuliuan,climate_time_505.5.csv
-170,90,7.52077102661133,505.5,-3480,Wuliuan,climate_time_505.5.csv
-169,90,7.52098178863525,505.5,-3480,Wuliuan,climate_time_505.5.csv
-168,90,7.52119207382202,505.5,-3480,Wuliuan,climate_time_505.5.csv
-167,90,7.52140235900879,505.5,-3480,Wuliuan,climate_time_505.5.csv
-166,90,7.52161169052124,505.5,-3480,Wuliuan,climate_time_505.5.csv
-165,90,7.52182245254517,505.5,-3480,Wuliuan,climate_time_505.5.csv
-164,90,7.5220365524292,505.5,-3480,Wuliuan,climate_time_505.5.csv
-163,90,7.52225303649902,505.5,-3480,Wuliuan,climate_time_505.5.csv
-162,90,7.52247524261475,505.5,-3480,Wuliuan,climate_time_505.5.csv
-161,90,7.52270412445068,505.5,-3480,Wuliuan,climate_time_505.5.csv
-160,90,7.52294158935547,505.5,-3480,Wuliuan,climate_time_505.5.csv
-159,90,7.52318906784058,505.5,-3480,Wuliuan,climate_time_505.5.csv
-158,90,7.52344751358032,505.5,-3480,Wuliuan,climate_time_505.5.csv
-157,90,7.52372074127197,505.5,-3480,Wuliuan,climate_time_505.5.csv
-156,90,7.52400827407837,505.5,-3480,Wuliuan,climate_time_505.5.csv
-155,90,7.52431201934814,505.5,-3480,Wuliuan,climate_time_505.5.csv
-154,90,7.52463245391846,505.5,-3480,Wuliuan,climate_time_505.5.csv
-153,90,7.5249719619751,505.5,-3480,Wuliuan,climate_time_505.5.csv
-152,90,7.52532911300659,505.5,-3480,Wuliuan,climate_time_505.5.csv
-151,90,7.52570533752441,505.5,-3480,Wuliuan,climate_time_505.5.csv
-150,90,7.52609968185425,505.5,-3480,Wuliuan,climate_time_505.5.csv
-149,90,7.52651262283325,505.5,-3480,Wuliuan,climate_time_505.5.csv
-148,90,7.52694320678711,505.5,-3480,Wuliuan,climate_time_505.5.csv
-147,90,7.5273904800415,505.5,-3480,Wuliuan,climate_time_505.5.csv
-146,90,7.52785348892212,505.5,-3480,Wuliuan,climate_time_505.5.csv
-145,90,7.52833032608032,505.5,-3480,Wuliuan,climate_time_505.5.csv
-144,90,7.52882051467896,505.5,-3480,Wuliuan,climate_time_505.5.csv
-143,90,7.52932119369507,505.5,-3480,Wuliuan,climate_time_505.5.csv
-142,90,7.5298318862915,505.5,-3480,Wuliuan,climate_time_505.5.csv
-141,90,7.53034973144531,505.5,-3480,Wuliuan,climate_time_505.5.csv
-140,90,7.53087329864502,505.5,-3480,Wuliuan,climate_time_505.5.csv
-139,90,7.53140211105347,505.5,-3480,Wuliuan,climate_time_505.5.csv
-138,90,7.53193283081055,505.5,-3480,Wuliuan,climate_time_505.5.csv
-137,90,7.53246545791626,505.5,-3480,Wuliuan,climate_time_505.5.csv
-136,90,7.53299808502197,505.5,-3480,Wuliuan,climate_time_505.5.csv
-135,90,7.53352975845337,505.5,-3480,Wuliuan,climate_time_505.5.csv
-134,90,7.53405952453613,505.5,-3480,Wuliuan,climate_time_505.5.csv
-133,90,7.53458738327026,505.5,-3480,Wuliuan,climate_time_505.5.csv
-132,90,7.53511190414429,505.5,-3480,Wuliuan,climate_time_505.5.csv
-131,90,7.5356330871582,505.5,-3480,Wuliuan,climate_time_505.5.csv
-130,90,7.53615140914917,505.5,-3480,Wuliuan,climate_time_505.5.csv
-129,90,7.53666591644287,505.5,-3480,Wuliuan,climate_time_505.5.csv
-128,90,7.53717708587646,505.5,-3480,Wuliuan,climate_time_505.5.csv
-127,90,7.53768491744995,505.5,-3480,Wuliuan,climate_time_505.5.csv
-126,90,7.53819036483765,505.5,-3480,Wuliuan,climate_time_505.5.csv
-125,90,7.53869247436523,505.5,-3480,Wuliuan,climate_time_505.5.csv
-124,90,7.53919267654419,505.5,-3480,Wuliuan,climate_time_505.5.csv
-123,90,7.5396900177002,505.5,-3480,Wuliuan,climate_time_505.5.csv
-122,90,7.54018592834473,505.5,-3480,Wuliuan,climate_time_505.5.csv
-121,90,7.54067945480347,505.5,-3480,Wuliuan,climate_time_505.5.csv
-120,90,7.54117250442505,505.5,-3480,Wuliuan,climate_time_505.5.csv
-119,90,7.54166316986084,505.5,-3480,Wuliuan,climate_time_505.5.csv
-118,90,7.54215240478516,505.5,-3480,Wuliuan,climate_time_505.5.csv
-117,90,7.54263973236084,505.5,-3480,Wuliuan,climate_time_505.5.csv
-116,90,7.54312562942505,505.5,-3480,Wuliuan,climate_time_505.5.csv
-115,90,7.54360961914062,505.5,-3480,Wuliuan,climate_time_505.5.csv
-114,90,7.54409074783325,505.5,-3480,Wuliuan,climate_time_505.5.csv
-113,90,7.54456901550293,505.5,-3480,Wuliuan,climate_time_505.5.csv
-112,90,7.54504442214966,505.5,-3480,Wuliuan,climate_time_505.5.csv
-111,90,7.54551601409912,505.5,-3480,Wuliuan,climate_time_505.5.csv
-110,90,7.545982837677,505.5,-3480,Wuliuan,climate_time_505.5.csv
-109,90,7.54644536972046,505.5,-3480,Wuliuan,climate_time_505.5.csv
-108,90,7.54690313339233,505.5,-3480,Wuliuan,climate_time_505.5.csv
-107,90,7.54735565185547,505.5,-3480,Wuliuan,climate_time_505.5.csv
-106,90,7.54780197143555,505.5,-3480,Wuliuan,climate_time_505.5.csv
-105,90,7.54824113845825,505.5,-3480,Wuliuan,climate_time_505.5.csv
-104,90,7.54867458343506,505.5,-3480,Wuliuan,climate_time_505.5.csv
-103,90,7.54909992218018,505.5,-3480,Wuliuan,climate_time_505.5.csv
-102,90,7.54951906204224,505.5,-3480,Wuliuan,climate_time_505.5.csv
-101,90,7.54992961883545,505.5,-3480,Wuliuan,climate_time_505.5.csv
-100,90,7.55033302307129,505.5,-3480,Wuliuan,climate_time_505.5.csv
-99,90,7.55072832107544,505.5,-3480,Wuliuan,climate_time_505.5.csv
-98,90,7.5511155128479,505.5,-3480,Wuliuan,climate_time_505.5.csv
-97,90,7.55149459838867,505.5,-3480,Wuliuan,climate_time_505.5.csv
-96,90,7.55186462402344,505.5,-3480,Wuliuan,climate_time_505.5.csv
-95,90,7.55222702026367,505.5,-3480,Wuliuan,climate_time_505.5.csv
-94,90,7.55258083343506,505.5,-3480,Wuliuan,climate_time_505.5.csv
-93,90,7.5529260635376,505.5,-3480,Wuliuan,climate_time_505.5.csv
-92,90,7.55326318740845,505.5,-3480,Wuliuan,climate_time_505.5.csv
-91,90,7.55359172821045,505.5,-3480,Wuliuan,climate_time_505.5.csv
-90,90,7.5539116859436,505.5,-3480,Wuliuan,climate_time_505.5.csv
-89,90,7.55422449111938,505.5,-3480,Wuliuan,climate_time_505.5.csv
-88,90,7.55452871322632,505.5,-3480,Wuliuan,climate_time_505.5.csv
-87,90,7.55482482910156,505.5,-3480,Wuliuan,climate_time_505.5.csv
-86,90,7.55511379241943,505.5,-3480,Wuliuan,climate_time_505.5.csv
-85,90,7.55539464950562,505.5,-3480,Wuliuan,climate_time_505.5.csv
-84,90,7.55566835403442,505.5,-3480,Wuliuan,climate_time_505.5.csv
-83,90,7.55593490600586,505.5,-3480,Wuliuan,climate_time_505.5.csv
-82,90,7.55619478225708,505.5,-3480,Wuliuan,climate_time_505.5.csv
-81,90,7.55644702911377,505.5,-3480,Wuliuan,climate_time_505.5.csv
-80,90,7.55669355392456,505.5,-3480,Wuliuan,climate_time_505.5.csv
-79,90,7.55693340301514,505.5,-3480,Wuliuan,climate_time_505.5.csv
-78,90,7.5571665763855,505.5,-3480,Wuliuan,climate_time_505.5.csv
-77,90,7.55739450454712,505.5,-3480,Wuliuan,climate_time_505.5.csv
-76,90,7.55761623382568,505.5,-3480,Wuliuan,climate_time_505.5.csv
-75,90,7.55783271789551,505.5,-3480,Wuliuan,climate_time_505.5.csv
-74,90,7.55804252624512,505.5,-3480,Wuliuan,climate_time_505.5.csv
-73,90,7.55824756622314,505.5,-3480,Wuliuan,climate_time_505.5.csv
-72,90,7.55844688415527,505.5,-3480,Wuliuan,climate_time_505.5.csv
-71,90,7.55864000320435,505.5,-3480,Wuliuan,climate_time_505.5.csv
-70,90,7.55882835388184,505.5,-3480,Wuliuan,climate_time_505.5.csv
-69,90,7.55901050567627,505.5,-3480,Wuliuan,climate_time_505.5.csv
-68,90,7.55918788909912,505.5,-3480,Wuliuan,climate_time_505.5.csv
-67,90,7.55935859680176,505.5,-3480,Wuliuan,climate_time_505.5.csv
-66,90,7.55952310562134,505.5,-3480,Wuliuan,climate_time_505.5.csv
-65,90,7.55968236923218,505.5,-3480,Wuliuan,climate_time_505.5.csv
-64,90,7.55983448028564,505.5,-3480,Wuliuan,climate_time_505.5.csv
-63,90,7.55998039245605,505.5,-3480,Wuliuan,climate_time_505.5.csv
-62,90,7.56011915206909,505.5,-3480,Wuliuan,climate_time_505.5.csv
-61,90,7.56025123596191,505.5,-3480,Wuliuan,climate_time_505.5.csv
-60,90,7.56037473678589,505.5,-3480,Wuliuan,climate_time_505.5.csv
-59,90,7.56049156188965,505.5,-3480,Wuliuan,climate_time_505.5.csv
-58,90,7.56060075759888,505.5,-3480,Wuliuan,climate_time_505.5.csv
-57,90,7.56070137023926,505.5,-3480,Wuliuan,climate_time_505.5.csv
-56,90,7.56079292297363,505.5,-3480,Wuliuan,climate_time_505.5.csv
-55,90,7.56087636947632,505.5,-3480,Wuliuan,climate_time_505.5.csv
-54,90,7.560950756073,505.5,-3480,Wuliuan,climate_time_505.5.csv
-53,90,7.56101655960083,505.5,-3480,Wuliuan,climate_time_505.5.csv
-52,90,7.56107187271118,505.5,-3480,Wuliuan,climate_time_505.5.csv
-51,90,7.56111764907837,505.5,-3480,Wuliuan,climate_time_505.5.csv
-50,90,7.56115388870239,505.5,-3480,Wuliuan,climate_time_505.5.csv
-49,90,7.56118011474609,505.5,-3480,Wuliuan,climate_time_505.5.csv
-48,90,7.56119585037231,505.5,-3480,Wuliuan,climate_time_505.5.csv
-47,90,7.56120109558105,505.5,-3480,Wuliuan,climate_time_505.5.csv
-46,90,7.56119537353516,505.5,-3480,Wuliuan,climate_time_505.5.csv
-45,90,7.56117868423462,505.5,-3480,Wuliuan,climate_time_505.5.csv
-44,90,7.5611515045166,505.5,-3480,Wuliuan,climate_time_505.5.csv
-43,90,7.56111240386963,505.5,-3480,Wuliuan,climate_time_505.5.csv
-42,90,7.56106281280518,505.5,-3480,Wuliuan,climate_time_505.5.csv
-41,90,7.56100034713745,505.5,-3480,Wuliuan,climate_time_505.5.csv
-40,90,7.56092739105225,505.5,-3480,Wuliuan,climate_time_505.5.csv
-39,90,7.56084251403809,505.5,-3480,Wuliuan,climate_time_505.5.csv
-38,90,7.56074619293213,505.5,-3480,Wuliuan,climate_time_505.5.csv
-37,90,7.56063747406006,505.5,-3480,Wuliuan,climate_time_505.5.csv
-36,90,7.56051778793335,505.5,-3480,Wuliuan,climate_time_505.5.csv
