"","name","t_age","b_age","int_type","color","Midpoint","t_round","b_round"
"Fortunian","Fortunian",529,538.8,"age","#99B575",533.9,529,538.8
"Stage 2","Stage 2",521,529,"age","#A6BA80",525,521,529
"Stage 3","Stage 3",514.5,521,"age","#A6C583",517.75,514.5,521
"Stage 4","Stage 4",506.5,514.5,"age","#B3CA8E",510.5,506.5,514.5
"Wuliuan","Wuliuan",504.5,506.5,"age","#B3D492",505.5,504.5,506.5
"Drumian","Drumian",500.5,504.5,"age","#BFD99D",502.5,500.5,504.5
"Guzhangian","Guzhangian",497,500.5,"age","#CCDFAA",498.75,497,500.5
"Paibian","Paibian",494.2,497,"age","#CCEBAE",495.6,494.2,497
"Jiangshanian","Jiangshanian",491,494.2,"age","#D9F0BB",492.6,491,494.2
"Stage 10","Stage 10",486.85,491,"age","#E6F5C9",488.925,486.85,491
"Tremadocian","Tremadocian",477.1,486.85,"age","#33A97E",481.975,477.1,486.85
"Floian","Floian",471.3,477.1,"age","#41B087",474.2,471.3,477.1
"Dapingian","Dapingian",469.4,471.3,"age","#66C092",470.35,469.4,471.3
"Darriwilian","Darriwilian",458.2,469.4,"age","#74C69C",463.8,458.2,469.4
"Sandbian","Sandbian",452.8,458.2,"age","#8CD094",455.5,452.8,458.2
"Katian","Katian",445.2,452.8,"age","#99D69F",449,445.2,452.8
"Hirnantian","Hirnantian",443.1,445.2,"age","#A6DBAB",444.15,443.1,445.2
"Rhuddanian","Rhuddanian",440.5,443.1,"age","#A6DCB5",441.8,440.5,443.1
"Aeronian","Aeronian",438.6,440.5,"age","#B3E1C2",439.55,438.6,440.5
"Telychian","Telychian",432.9,438.6,"age","#BFE6CF",435.75,432.9,438.6
"Sheinwoodian","Sheinwoodian",430.6,432.9,"age","#BFE6C3",431.75,430.6,432.9
"Homerian","Homerian",426.7,430.6,"age","#CCEBD1",428.65,426.7,430.6
"Gorstian","Gorstian",425,426.7,"age","#CCECDD",425.85,425,426.7
"Ludfordian","Ludfordian",422.7,425,"age","#D9F0DF",423.85,422.7,425
"Pridoli","Pridoli",419.62,422.7,"epoch","#E6F5E1",421.16,419.62,422.7
"Lochkovian","Lochkovian",413.02,419.62,"age","#E5B75A",416.32,413.02,419.62
"Pragian","Pragian",410.62,413.02,"age","#E5C468",411.82,410.62,413.02
"Emsian","Emsian",393.47,410.62,"age","#E5D075",402.045,393.47,410.62
"Eifelian","Eifelian",387.95,393.47,"age","#F1D576",390.71,387.95,393.47
"Givetian","Givetian",382.31,387.95,"age","#F1E185",385.13,382.31,387.95
"Frasnian","Frasnian",372.15,382.31,"age","#F2EDAD",377.23,372.15,382.31
"Famennian","Famennian",358.86,372.15,"age","#F2EDC5",365.505,358.86,372.15
"Tournaisian","Tournaisian",346.7,358.86,"age","#8CB06C",352.78,346.7,358.86
"Visean","Visean",330.3,346.7,"age","#A6B96C",338.5,330.3,346.7
"Serpukhovian","Serpukhovian",323.4,330.3,"age","#BFC26B",326.85,323.4,330.3
"Bashkirian","Bashkirian",315.2,323.4,"age","#99C2B5",319.3,315.2,323.4
"Moscovian","Moscovian",307,315.2,"age","#C7CBB9",311.1,307,315.2
"Kasimovian","Kasimovian",303.7,307,"age","#BFD0C5",305.35,303.7,307
"Gzhelian","Gzhelian",298.9,303.7,"age","#CCD4C7",301.3,298.9,303.7
"Asselian","Asselian",293.52,298.9,"age","#E36350",296.21,293.52,298.9
"Sakmarian","Sakmarian",290.1,293.52,"age","#E36F5C",291.81,290.1,293.52
"Artinskian","Artinskian",283.3,290.1,"age","#E37B68",286.7,283.3,290.1
"Kungurian","Kungurian",274.4,283.3,"age","#E38776",278.85,274.4,283.3
"Roadian","Roadian",266.9,274.4,"age","#FB8069",270.65,266.9,274.4
"Wordian","Wordian",264.28,266.9,"age","#FB8D76",265.59,264.28,266.9
"Capitanian","Capitanian",259.51,264.28,"age","#FB9A85",261.895,259.51,264.28
"Wuchiapingian","Wuchiapingian",254.14,259.51,"age","#FCB4A2",256.825,254.14,259.51
"Changhsingian","Changhsingian",251.902,254.14,"age","#FCC0B2",253.021,251.902,254.14
"Induan","Induan",249.9,251.902,"age","#A4469F",250.901,249.9,251.902
"Olenekian","Olenekian",246.7,249.9,"age","#B051A5",248.3,246.7,249.9
"Anisian","Anisian",241.464,246.7,"age","#BC75B7",244.082,241.464,246.7
"Ladinian","Ladinian",237,241.464,"age","#C983BF",239.232,237,241.464
"Carnian","Carnian",227.3,237,"age","#C99BCB",232.15,227.3,237
"Norian","Norian",205.7,227.3,"age","#D6AAD3",216.5,205.7,227.3
"Rhaetian","Rhaetian",201.4,205.7,"age","#E3B9DB",203.55,201.4,205.7
"Hettangian","Hettangian",199.5,201.4,"age","#4EB3D3",200.45,199.5,201.4
"Sinemurian","Sinemurian",192.9,199.5,"age","#67BCD8",196.2,192.9,199.5
"Pliensbachian","Pliensbachian",184.2,192.9,"age","#80C5DD",188.55,184.2,192.9
"Toarcian","Toarcian",174.7,184.2,"age","#99CEE3",179.45,174.7,184.2
"Aalenian","Aalenian",170.9,174.7,"age","#9AD9DD",172.8,170.9,174.7
"Bajocian","Bajocian",168.2,170.9,"age","#A6DDE0",169.55,168.2,170.9
"Bathonian","Bathonian",165.3,168.2,"age","#B3E2E3",166.75,165.3,168.2
"Callovian","Callovian",161.5,165.3,"age","#BFE7E5",163.4,161.5,165.3
"Oxfordian","Oxfordian",154.8,161.5,"age","#BFE7F1",158.15,154.8,161.5
"Kimmeridgian","Kimmeridgian",149.2,154.8,"age","#CCECF4",152,149.2,154.8
"Tithonian","Tithonian",143.1,149.2,"age","#D9F1F7",146.15,143.1,149.2
"Berriasian","Berriasian",137.05,143.1,"age","#8CCD60",140.075,137.05,143.1
"Valanginian","Valanginian",132.6,137.05,"age","#99D36A",134.825,132.6,137.05
"Hauterivian","Hauterivian",125.77,132.6,"age","#A6D975",129.185,125.77,132.6
"Barremian","Barremian",121.4,125.77,"age","#B3DF7F",123.585,121.4,125.77
"Aptian","Aptian",113.2,121.4,"age","#BFE48A",117.3,113.2,121.4
"Albian","Albian",100.5,113.2,"age","#CCEA97",106.85,100.5,113.2
"Cenomanian","Cenomanian",93.9,100.5,"age","#B3DE53",97.2,93.9,100.5
"Turonian","Turonian",89.8,93.9,"age","#BFE35D",91.85,89.8,93.9
"Coniacian","Coniacian",85.7,89.8,"age","#CCE968",87.75,85.7,89.8
"Santonian","Santonian",83.6,85.7,"age","#D9EF74",84.65,83.6,85.7
"Campanian","Campanian",72.2,83.6,"age","#E6F47F",77.9,72.2,83.6
"Maastrichtian","Maastrichtian",66,72.2,"age","#F2FA8C",69.1,66,72.2
"Danian","Danian",61.66,66,"age","#FDB462",63.83,61.66,66
