"origin","old_formation","change_to","group","member"
"NMS","1st Abden","1st Abden","",""
"NMS","1st Abden Limestone","1st Abden Limestone","",""
"NMS","1st Abden Shales","1st Abden Shales","",""
"PBDB","2dε","2dε","",""
"NMS","2nd Abden Shale","2nd Abden Shale","",""
"NMS","2nd Abden Shales","2nd Abden Shales","",""
"NMS","3 Fathoms Below Eastet Main Coal  Limestone Coal Group","3 Fathoms Below Eastet Main Coal  Limestone Coal Group","",""
"NMS","3rd Rudist Zone Of D Orbigny  Chloritische Kreide   =Lower Chalk","3rd Rudist Zone Of D Orbigny  Chloritische Kreide   =Lower Chalk","",""
"PBDB","A","A","",""
"PBDB","A'","A'","",""
"PBDB","Aachen","Aachen","",""
"GBIF","Aalten Formation","Aalten Formation","",""
"PBDB","Aalter","Aalter","",""
"GBIF","Aalter Sands Formation","Aalter Sands Formation","",""
"PBDB","Abad","Abad","",""
"PBDB","Abadeh","Abadeh","",""
"PBDB","Abadia","Abadia","",""
"PBDB","Abazinka","Abazinka","",""
"PBDB","Abbotsford Mudstone","Abbotsford Mudstone","",""
"PBDB","Abderaz","Abderaz","",""
"PBDB","Abeih","Abeih","",""
"AMNH","Abeih","Abeih","",""
"AMNH","Abeih Beds","Abeih Beds","",""
"AMNH","Abeih Horizon","Abeih Horizon","",""
"AMNH","Abeih Sandstone","Abeih Sandstone","",""
"AMNH","Abeih Snadstone","Abeih Snadstone","",""
"AMNH","Abeith","Abeith","",""
"AMNH","Abeith Beds","Abeith Beds","",""
"AMNH","Abeith Sandstone","Abeith Sandstone","",""
"PBDB","Abel Head","Abel Head","",""
"PBDB","Abels Bay","Abels Bay","",""
"PBDB","Abenaki","Abenaki","",""
"PBDB","Abercrombie","Abercrombie","",""
"GBIF","Aberdaron Formation","Aberdaron Formation","",""
"PBDB","Aberdeen Lake","Aberdeen Lake","",""
"PBDB","Aberdouz","Aberdouz","",""
"PBDB","Aberhan Pliensbach","Aberhan Pliensbach","",""
"PBDB","Aberhan Sinemur","Aberhan Sinemur","",""
"PBDB","Aberhan Toarc","Aberhan Toarc","",""
"PBDB","Abisinia","Abisinia","",""
"GBIF","Abisinia Formation","Abisinia Formation","",""
"PBDB","Ablakoskövölgy Limestone","Ablakoskövölgy Limestone","",""
"GBIF","Abo","Abo","",""
"GBIF","Abo Sandstone","Abo Sandstone","",""
"GBIF","Abo Sandstone Formation","Abo Sandstone Formation","",""
"GBIF","Abo Ss","Abo Ss","",""
"NMS","Above Stinchar Limestone  Barr Series","Above Stinchar Limestone  Barr Series","",""
"PBDB","Abrakurrie Limestone","Abrakurrie Limestone","",""
"GBIF","Abrigo Fm","Abrigo Fm","",""
"PBDB","Abu Durba","Abu Durba","",""
