origin,old_formation,change_to,member
NMS,1st Abden,Kinghorn Volcanic,First Abden Limestone
NMS,1st Abden Limestone,Kinghorn Volcanic,First Abden Limestone
NMS,1st Abden Shales,Kinghorn Volcanic,First Abden Shale
PBDB,2dε,,
NMS,2nd Abden Shale,Lower Limestone,Second Abden Shale
NMS,2nd Abden Shales,Lower Limestone,Second Abden Shale
NMS,3 Fathoms Below Eastet Main Coal  Limestone Coal Group,Lower Limestone,
NMS,3rd Rudist Zone Of D Orbigny  Chloritische Kreide   =Lower Chalk,Lower Chalk,
PBDB,A,,
PBDB,A',,
PBDB,Aachen,Aachen,
GBIF,Aalten Formation,Breda,Aalten Member
PBDB,Aalter,Aalter,
GBIF,Aalter Sands Formation,Aalter Sands,
PBDB,Abad,Abad,
PBDB,Abadeh,Abadeh,
PBDB,Abadia,Abadia,
PBDB,Abazinka,Abazinka,
PBDB,Abbotsford Mudstone,Abbotsford Mudstone,
PBDB,Abderaz,Abderaz,
PBDB,Abeih,Abeih,
AMNH,Abeih,Abeih,
AMNH,Abeih Beds,Abeih,
AMNH,Abeih Horizon,Abeih,
AMNH,Abeih Sandstone,Abeih,
AMNH,Abeih Snadstone,Abeih,
AMNH,Abeith,Abeih,
AMNH,Abeith Beds,Abeih,
AMNH,Abeith Sandstone,Abeih,
PBDB,Abel Head,Abel Head,
PBDB,Abels Bay,Abels Bay,
PBDB,Abenaki,Abenaki,
PBDB,Abercrombie,Abercrombie,
GBIF,Aberdaron Formation,Aberdaron,
PBDB,Aberdeen Lake,Aberdeen Lake,
PBDB,Aberdouz,Aberdouz,
PBDB,Aberhan Pliensbach,Aberhan Pliensbach,
PBDB,Aberhan Sinemur,Aberhan Sinemur,
PBDB,Aberhan Toarc,Aberhan Toarc,
PBDB,Abisinia,Abisinia,
GBIF,Abisinia Formation,Abisinia,
PBDB,Ablakoskövölgy Limestone,Ablakoskövölgy Limestone,
GBIF,Abo,Abo,
GBIF,Abo Sandstone,Abo,
GBIF,Abo Sandstone Formation,Abo,
GBIF,Abo Ss,Abo,
NMS,Above Stinchar Limestone  Barr Series,Benan Conglomerate,
PBDB,Abrakurrie Limestone,Abrakurrie Limestone,
GBIF,Abrigo Fm,Abrigo,
PBDB,Abu Durba,Abu Durba,
PBDB,Abu Hashish,Abu Hashish,
PBDB,Abu Imama,Abu Imama,
PBDB,Abu Qada,Abu Qada,
PBDB,Abu Qada/Raha,Abu Qada/Raha,
PBDB,Abu Roash,Abu Roash,
PBDB,Abu Tartur,Abu Tartur,
PBDB,Abundancia,Abundancia,
GBIF,Aburayama Formation,Aburayama,
GBIF,Acadia Park,Acadia Park,
PBDB,Acadoparadoxides oelandicus Shales,Acadoparadoxides oelandicus Shales,
PBDB,Acanthopyge,Acanthopyge,
PBDB,Acanthopyge Limestone,Acanthopyge Limestone,
GBIF,Acatita Formation,Acatita,
Peabody,Accraian Series,Accraian Series,
PBDB,Achdorf,Achdorf,
PBDB,Achen,Achen,
PBDB,Acheshbok,Acheshbok,
PBDB,Achladia,Achladia,
PBDB,Acoite,Acoite,
PBDB,Acre Limestone,Acre Limestone,
GBIF,Acre Limestone,Acre Limestone,
PBDB,Acredale,Acredale,
GBIF,Acredale Fm,Acredale,
PBDB,Acton Scott,Acton Scott,
GBIF,Acton Scott Beds,Acton Scott,
GBIF,Acton Scott Formation,Acton Scott,
Peabody,Ada Fm,Ada,
PBDB,Adaev,Adaev,
PBDB,Adam Mudstone,Adam Mudstone,
PBDB,Adams Bjerg,Adams Bjerg,
PBDB,Adatsag,Adatsag,
GBIF,Adaville,Adaville,
GBIF,Adaville Fm,Adaville,
PBDB,Adila,Adila,
PBDB,Adjuntas,Adjuntas,
PBDB,Admiral,Admiral,
AMNH,Admiral,Admiral,
GBIF,Admiral Formation,Admiral,
GBIF,Admire Fm,Admire,
GBIF,Admire Shale,Admire,
PBDB,Adnet,Adnet,
PBDB,Adorf,Adorf,
PBDB,Adorf-Bänderschiefer,Adorf-Bänderschiefer,
PBDB,Advance,Advance,
PBDB,Adz'va,Adz'va,
PBDB,Adze,Adze,
GBIF,Aeltere Grauwacke,,
PBDB,Aertashi,Aertashi,
PBDB,Aftenstjernesø,Aftenstjernesø,
PBDB,Aftenstjernesø Fjord,Aftenstjernesø,
PBDB,AG 4,,
PBDB,AG4,,
PBDB,Agabyt,Agabyt,
PBDB,Agardfjellet,Agardfjellet,
PBDB,Agardhfjellet,Agardfjellet,
PBDB,Agatdal,Agatdal,
GBIF,Agate Beach Formation,Agate Beach,
PBDB,Ager,Ager,
PBDB,Agglomeratic Slate,Agglomeratic Slate,
PBDB,Aghia Varvara,Aghia Varvara,
PBDB,Agidyl,Agidyl,
PBDB,Agnevskaya,Agnevskaya,
PBDB,Agoudim,Agoudim Marls,
PBDB,Agoudim Marls,Agoudim Marls,
PBDB,Agrio,Agrio,
GBIF,Agrio Formation,Agrio,
PBDB,Agua Clara,Agua Clara,
PBDB,Agua de Lucho,Agua de Lucho,
PBDB,Agua de Madeiros,Agua de Madeiros,
PBDB,Água de Madeiros,Agua de Madeiros,
PBDB,Agua Nueva,Agua Nueva,
PBDB,Agua Salada,Agua Salda,
PBDB,Agua Salda,Agua Salda,
PBDB,Aguada Limestone,Aguada Limestone,
PBDB,Aguathuna,Aguathuna,
GBIF,Agueguexite,Agueguexquite,
GBIF,Agueguexite Fm,Agueguexquite,
PBDB,Agueguexquite,Agueguexquite,
GBIF,Agueguexquite,Agueguexquite,
GBIF,Agueguexquite Formation,Agueguexquite,
PBDB,Agui-Ula,Agui-Ula,
PBDB,Aguion,Aguion,
PBDB,Aguión,Aguion,
PBDB,Aguja,Aguja,
AMNH,Aguja,Aguja,
GBIF,Aguja Formation,Aguja,
PBDB,Agwu Shale,Agwu Shale,
PBDB,Ahbach,Ahbach,
GBIF,Ahbach Beds,Ahbach,
GBIF,Ahbach Schichten,Ahbach,
PBDB,Aheimer,Aheimer,
PBDB,Ahlen,Ahlen,
PBDB,Ahmadi,Ahmadi,
PBDB,Ahrdorf,Ahrdorf,
GBIF,Ahrdorf Beds,Ahrdorf,
GBIF,Ahrdorf Formation,Ahrdorf,
PBDB,Aiduna,Aiduna,
PBDB,Aifat,Aifat,
PBDB,Aigu,Aigu,
PBDB,Aimau,Aimau,
PBDB,Aïn  Khira,Aïn  Khira,
PBDB,Ain ed Dick Limestone,Ain ed Dick Limestone,
PBDB,Aïn el Guettar,Aïn el Guettar,
PBDB,Ain Targa,Ain Targa,
PBDB,Aïn-Al-Aliliga,Aïn-Al-Aliliga,
PBDB,Aïn-as-Seffah,Aïn-as-Seffah,
PBDB,Ainoura,Ainoura,
GBIF,Airton Ls,Pendleside,Airton Limestone
GBIF,Airvault Limestone,Toarcian,
PBDB,Aisemont,Aisemont,
PBDB,Aït Athmane,Aït Athmane,
PBDB,Ait Ouarhitane,Ait Ouarhitane,
PBDB,Aitamir,Aitamir,
PBDB,Aitym,Aitym,
GBIF,Aiura Formation,Aiura,
PBDB,Aix-en-Provence,Aix-en-Provence,
GBIF,Aizy Formation,Aizy,
PBDB,Ajax Limestone,Ajax Limestone,
PBDB,Ajiri,Ajiri,
PBDB,Akabira,Akabira,
PBDB,Akachan,Akachan,
GBIF,Akaiwa Formation,Akaiwa,
GBIF,Akara Fm,Akara,
PBDB,Akasaka,Akasaka,
PBDB,Akasaka Limestone,Akasaka,
GBIF,Akasaka Limestone,Akasaka,
GBIF,Akasaka Ls,Akasaka,
PBDB,Akasawa Silt,Akasaka,
PBDB,Akatievo,Akatievo,
PBDB,Akaura,Akaura,
PBDB,Akavassky,Akavassky,
PBDB,Akbaital,Akbaital,
PBDB,Akbasai,Akbasai,
PBDB,Akbasayskaya,Akbasayskaya,
PBDB,Akbulaksai,Akbulaksai,
GBIF,Akdombak Formation,Akdombak,
PBDB,Akerchi,Akerchi,
PBDB,Aketo,Aketo,
GBIF,Aketo Formation,Aketo,
PBDB,Akeyo,Akeyo,
GBIF,Akeyo Formation,Akeyo,
PBDB,Akhura,Akhura,
PBDB,Akiyoshi,Akiyoshi,
PBDB,Akkuyu,Akkuyu,
PBDB,Akpatok,Akpatok,
GBIF,Akrabon Formation,Akrabou,
PBDB,Akrabou,Akrabou,
PBDB,Akrech,Akrech,
PBDB,Akron,Akron,
PBDB,Akrotiri,Akrotiri,
PBDB,Aksala,Aksala,
PBDB,Aksucay,Aksucay,
PBDB,Aktas,Aktas,
PBDB,Aktasty,Aktasty,
PBDB,Akzhar,Akzhar,
PBDB,Al Bad,Al Bad,
PBDB,Al Baniyah,Al Baniyah,
PBDB,Al Faidiyah,Al Faidiyah,
PBDB,Al Hassanat,Al Hassanat,
PBDB,Al Jil,Al Jil,
PBDB,Al Jir,Al Jir,
PBDB,Al Khums,Al Khums,
PBDB,Al Rose,Al Rose,
GBIF,Al Rose Formation,Al Rose,
PBDB,Al-Hisa Phosphorite,Al-Hisa Phosphorite,
NMS,Alabama Beds,Prairie Bluff Chalk,Alabama Beds
NMS,Alabama Besd,Prairie Bluff Chalk,Alabama Beds
PBDB,Alachua,Alachua,
GBIF,Alachua Formation,Alachua,
PBDB,Alacran Mountain,Alacran Mountain,
PBDB,Alajuela,Alajuela,
GBIF,Alajuela Formation,Alajuela,
PBDB,Alam,Alam,
GBIF,Alamitos,Alamitos,
GBIF,Alamitos D,Alamitos,
GBIF,Alamitos M,Alamitos,
GBIF,Alamitos V,Alamitos,
PBDB,Alan Mountain Limestone,Alan Mountain Limestone,
PBDB,Alapah,Alapah,
PBDB,Alapah Limestone,Alapah Limestone,
PBDB,Alaro Calcarenite,Alaro Calcarenite,
PBDB,Alazán,Alazán,
GBIF,Alazan Formation,Alazan,
PBDB,Alba,Alba,
PBDB,Albanov,Albanov,
PBDB,Albian,Albian,
NMS,Albien,Albian,
GBIF,Albion Fm,Albion,
PBDB,Alcântara,Alcântara,
PBDB,Alcobaca,Alcobaca,
PBDB,Alcobaça,Alcobaca,
PBDB,Alcolea,Alcolea,
PBDB,Alconera,Alconera,
PBDB,Alcsutdoboz Limestone,Alcsutdoboz Limestone,
PBDB,Aldabra Limestone,Aldabra Limestone,
PBDB,Aldebaran,Aldebaran,
GBIF,Alden Ls,Hampton,Alden Limestone
GBIF,Aldwell,Aldwell,
GBIF,Alegria Formation,Alegria,
PBDB,Aleksandrovskaya,Aleksandrovskaya,
PBDB,Aleksin,Aleksin,
GBIF,Aleksin Formation,Aleksin,
PBDB,Aleman,Aleman,
GBIF,Aleman Fm,Aleman,
GBIF,Aleman Limestone Formation,Aleman,
GBIF,Aleman Ls,Aleman,
PBDB,Aleqatsiaq Fjord,Aleqatsiaq Fjord,
PBDB,Alexander Bay,Alexander Bay,
PBDB,Alexander Mudstone,Alexander Mudstone,
PBDB,Alexandra,Alexandra,
PBDB,Alexandria,Alexandria,
PBDB,Alexo,Alexo,
PBDB,Alfred Shale,Alfred Shale,
GBIF,Alfred Shale,Alfred Shale,
PBDB,Algan,Algan,
PBDB,Algodoes,Algodoes,
PBDB,Algodões,Algodoes,
PBDB,Alhajuela,Alhajuela,
GBIF,Alhajuela,Alhajuela,
PBDB,Ali Bashi,Ali Bashi,
GBIF,Ali Bashi,Ali Bashi,
PBDB,Alifian Limestone,Alifian Limestone,
PBDB,Alikagarskaya,Alikagarskaya,
PBDB,Alikper,Alikper,
PBDB,Alisitos,Alisitos,
GBIF,Alisitos,Alisitos,
GBIF,Alisitos Formation,Alisitos,
PBDB,Allandale,Allandale,
PBDB,Allaru,Allaru Mudstone,
PBDB,Allaru Mudstone,Allaru Mudstone,
PBDB,Allegheny,Allegheny,
AMNH,Allegheny,Allegheny,
GBIF,Allegheny Fm,Allegheny,
GBIF,Allegheny Formation,Allegheny,
AMNH,Allegheny Series,Allegheny,
PBDB,Allen Bay,Allen Bay,
GBIF,Allen Bay Fm,Allen Bay,
GBIF,Allen Limestone,Plattsburg,
GBIF,Allentown Fm,Allentown,
PBDB,Allgäu,Allgäu,
PBDB,Allt Ddu,Allt Ddu,
PBDB,Allt Ddu Mudstone,Allt Ddu,
NMS,Allt Na Cuile Sandstone,Allt Na Cuile Sandstone,
PBDB,Allt-Ddu Mudstones,Allt Ddu,
PBDB,Allt-Tair-Ffynnon,Allt-Tair-Ffynnon,
PBDB,Almaly,Almaly,
PBDB,Almejas,Almejas,
GBIF,Almejas,Almejas,
GBIF,Almejas Formation,Almejas,
PBDB,Almonacid de la Cuba,Almonacid de la Cuba,
GBIF,Almond,Almond,
GBIF,Almond Fm,Almond,
PBDB,Almstrom Creek,Almstrom Creek,
PBDB,Alos de Balaguer,Alos de Balaguer,
PBDB,Alòs de Balaguer,Alos de Balaguer,
NMS,Alpen Formation,Alpen,
PBDB,Alpena,Alpena,
GBIF,Alpena Limestone,Alpena,
GBIF,Alpena Limestone Formation,Alpena,
GBIF,Alpena Ls,Alpena,
NMS,Alpenkalk,Alpen,
NMS,Alpenkreide,Alpen,
NMS,Alpine Muschelkalk,Alpen,
GBIF,Alpinkalk,Alpen,
PBDB,Alsea,Alsea,
GBIF,Alsea,Alsea,
PBDB,Alston,Alston,
GBIF,Alston Formation,Alston,
PBDB,Altamira,Altamira,
PBDB,Altamira Shale,Altamira,
PBDB,Altamont,Altamont limestone,
GBIF,Altamont,Altamont limestone,
GBIF,Altamont Fm Lake Neosho Shale Mbr,Altamont limestone,Lake Neosho Shale
GBIF,Altamont Formation,Altamont limestone,
PBDB,Altamont limestone,Altamont limestone,
PBDB,Altamont Limestone,Altamont limestone,
GBIF,Altamont Limestone,Altamont limestone,
GBIF,Altamont Ls,Altamont limestone,
PBDB,Alternancia de margas y calizas de Turmiel,Alternancia de margas y calizas de Turmiel,
PBDB,Alternata Limestone,Alternata Limestone,
PBDB,Alticola,Alticola Limestone,
PBDB,Alticola Limestone,Alticola Limestone,
PBDB,Altmühltal,Altmühltal,
GBIF,Altmühltal Formation,Altmühltal,
PBDB,Alto del Cóndor,Alto del Cóndor,
GBIF,Alto Fm,Alto,
GBIF,Altoona Formation,Altoona,
PBDB,Altuda,Altuda,
GBIF,Altuda Fm,Altuda,
PBDB,Alty-Agach,Alty-Agach,
PBDB,Aluginskaya,Aluginskaya,
PBDB,Alum,Alum,
PBDB,Alum Rock Beds,Alum,
GBIF,Alum Sh,Alum,
PBDB,Alum Shale,Alum,
GBIF,Alum Shales,Alum,
PBDB,Alvana limeshales,Alvana limeshales,
PBDB,Alveolina- Nummulites Limestone,Alveolina- Nummulites Limestone,
GBIF,Alymer,Alymer,
PBDB,Alyutovo,Alyutovo,
PBDB,Alzey,Alzey,
PBDB,Amabe,Amabe,
PBDB,Amadjuak,Amadjuak,
PBDB,Amain,Amain,
PBDB,Amaltheenton,Amaltheenton,
PBDB,Amaltheus Clay,Amaltheus,
PBDB,Amaltheus Shale,Amaltheus,
PBDB,Amana Beds,Amana Beds,
PBDB,Amanakskaya,Amanakskaya,
PBDB,Amaninskaya,Amanakskaya,
PBDB,Amaral,Amaral,
PBDB,Amb,Amb,
GBIF,Amb Fm,Amb,
PBDB,Amba Aradam,Amba Aradam,
PBDB,Ambelouzos,Ambelouzos,
PBDB,Ambergris Cay Limestone,Ambergris Cay Limestone,
PBDB,Ambition,Ambition,
PBDB,Ameghino,Ameghino,
PBDB,Ameki,Ameki,
NMS,American Coal Measures,Coal measures,
PBDB,Americus,Americus,
GBIF,Americus,Americus,
GBIF,Americus Ls,Americus,
PBDB,Ames,Ames,
GBIF,Ames,Ames,
GBIF,Ames Limestone,Ames,
GBIF,Ames Limestone Formation,Ames,
PBDB,Amherstburg,Amherstburg,
GBIF,Amherstburg Fm,Amherstburg,
GBIF,Amity Sh,Amity,
PBDB,Amkanzhin,Amkanzhin,
NMS,Ammonites Macrocephalus Zone  Oxford Clay,Oxford Clay,
PBDB,Amouslek,Amouslek,
GBIF,Amouslek Fm,Amouslek,
PBDB,Ampelouzos,Ampelouzos,
