"","X","int_id","name","abbrev","t_age","b_age","int_type","timescales","color","Midpoint"
"1",1,1038,"Meghalayan",NA,0,0.0042,"age","international ages--1","#FEF2E0",0.0021
"2",2,1039,"Northgrippian",NA,0.0042,0.0082,"age","international ages--1","#FEF2E0",0.0062
"3",3,1040,"Greenlandian",NA,0.0082,0.0117,"age","international ages--1","#FEF2E0",0.00995
"4",4,492,"Late Pleistocene",NA,0.0117,0.129,"age","international ages--1","#FFF2C7",0.07035
"5",5,1688,"Chibanian",NA,0.129,0.774,"age","international ages--1","#fff2c7",0.4515
"6",6,276,"Calabrian",NA,0.774,1.8,"age","international ages--1","#FFF2C7",1.287
"7",7,219,"Gelasian",NA,1.8,2.58,"age","international ages--1","#FFEDB3",2.19
"8",8,11,"Piacenzian",NA,2.58,3.6,"age","international ages--1","#FFFFBF",3.09
"9",9,12,"Zanclean",NA,3.6,5.333,"age","international ages--1","#FFFFB3",4.4665
"10",10,14,"Messinian",NA,5.333,7.246,"age","international ages--1","#FFFF73",6.2895
"11",11,15,"Tortonian",NA,7.246,11.63,"age","international ages--1","#FFFF66",9.438
"12",12,16,"Serravallian",NA,11.63,13.82,"age","international ages--1","#FFFF59",12.725
"13",13,17,"Langhian",NA,13.82,15.98,"age","international ages--1","#FFFF4D",14.9
"14",14,18,"Burdigalian",NA,15.98,20.44,"age","international ages--1","#FFFF41",18.21
"15",15,19,"Aquitanian",NA,20.44,23.03,"age","international ages--1","#FFFF33",21.735
"16",16,22,"Chattian",NA,23.03,27.82,"age","international ages--1","#FEE6AA",25.425
"17",17,23,"Rupelian",NA,27.82,33.9,"age","international ages--1","#FED99A",30.86
"18",18,25,"Priabonian",NA,33.9,37.71,"age","international ages--1","#FDCDA1",35.805
"19",19,26,"Bartonian",NA,37.71,41.2,"age","international ages--1","#FDC091",39.455
"20",20,27,"Lutetian",NA,41.2,47.8,"age","international ages--1","#FCB482",44.5
"21",21,28,"Ypresian",NA,47.8,56,"age","international ages--1","#FCA773",51.9
"22",22,30,"Thanetian",NA,56,59.2,"age","international ages--1","#FDBF6F",57.6
"23",23,273,"Selandian",NA,59.2,61.6,"age","international ages--1","#FEBF65",60.4
"24",24,31,"Danian",NA,61.6,66,"age","international ages--1","#FDB462",63.8
"25",25,35,"Maastrichtian",NA,66,72.1,"age","international ages--1","#F2FA8C",69.05
"26",26,36,"Campanian",NA,72.1,83.6,"age","international ages--1","#E6F47F",77.85
"27",27,37,"Santonian",NA,83.6,86.3,"age","international ages--1","#D9EF74",84.95
"28",28,38,"Coniacian",NA,86.3,89.8,"age","international ages--1","#CCE968",88.05
"29",29,39,"Turonian",NA,89.8,93.9,"age","international ages--1","#BFE35D",91.85
"30",30,40,"Cenomanian",NA,93.9,100.5,"age","international ages--1","#B3DE53",97.2
"31",31,42,"Albian",NA,100.5,113,"age","international ages--1","#CCEA97",106.75
"32",32,43,"Aptian",NA,113,121.4,"age","international ages--1","#BFE48A",117.2
"33",33,44,"Barremian",NA,121.4,125.77,"age","international ages--1","#B3DF7F",123.585
"34",34,45,"Hauterivian",NA,125.77,132.6,"age","international ages--1","#A6D975",129.185
"35",35,46,"Valanginian",NA,132.6,139.8,"age","international ages--1","#99D36A",136.2
"36",36,47,"Berriasian",NA,139.8,145,"age","international ages--1","#8CCD60",142.4
"37",37,50,"Tithonian",NA,145,149.2,"age","international ages--1","#D9F1F7",147.1
"38",38,51,"Kimmeridgian",NA,149.2,154.8,"age","international ages--1","#CCECF4",152
"39",39,52,"Oxfordian",NA,154.8,161.5,"age","international ages--1","#BFE7F1",158.15
"40",40,54,"Callovian",NA,161.5,165.3,"age","international ages--1","#BFE7E5",163.4
"41",41,55,"Bathonian",NA,165.3,168.2,"age","international ages--1","#B3E2E3",166.75
"42",42,56,"Bajocian",NA,168.2,170.9,"age","international ages--1","#A6DDE0",169.55
"43",43,57,"Aalenian",NA,170.9,174.7,"age","international ages--1","#9AD9DD",172.8
"44",44,59,"Toarcian",NA,174.7,184.2,"age","international ages--1","#99CEE3",179.45
"45",45,60,"Pliensbachian",NA,184.2,192.9,"age","international ages--1","#80C5DD",188.55
"46",46,61,"Sinemurian",NA,192.9,199.5,"age","international ages--1","#67BCD8",196.2
"47",47,62,"Hettangian",NA,199.5,201.4,"age","international ages--1","#4EB3D3",200.45
"48",48,65,"Rhaetian",NA,201.4,208.5,"age","international ages--1","#E3B9DB",204.95
"49",49,66,"Norian",NA,208.5,227,"age","international ages--1","#D6AAD3",217.75
"50",50,67,"Carnian",NA,227,237,"age","international ages--1","#C99BCB",232
"51",51,69,"Ladinian",NA,237,242,"age","international ages--1","#C983BF",239.5
"52",52,70,"Anisian",NA,242,247.2,"age","international ages--1","#BC75B7",244.6
"53",53,72,"Olenekian",NA,247.2,251.2,"age","international ages--1","#B051A5",249.2
"54",54,73,"Induan",NA,251.2,251.902,"age","international ages--1","#A4469F",251.551
"55",55,221,"Changhsingian",NA,251.902,254.14,"age","international ages--1","#FCC0B2",253.021
"56",56,222,"Wuchiapingian",NA,254.14,259.51,"age","international ages--1","#FCB4A2",256.825
"57",57,224,"Capitanian",NA,259.51,264.28,"age","international ages--1","#FB9A85",261.895
"58",58,225,"Wordian",NA,264.28,266.9,"age","international ages--1","#FB8D76",265.59
"59",59,226,"Roadian",NA,266.9,273.01,"age","international ages--1","#FB8069",269.955
"60",60,79,"Kungurian",NA,273.01,283.5,"age","international ages--1","#E38776",278.255
"61",61,81,"Artinskian",NA,283.5,290.1,"age","international ages--1","#E37B68",286.8
"62",62,82,"Sakmarian",NA,290.1,293.52,"age","international ages--1","#E36F5C",291.81
"63",63,83,"Asselian",NA,293.52,298.9,"age","international ages--1","#E36350",296.21
"64",64,86,"Gzhelian",NA,298.9,303.7,"age","international ages--1","#CCD4C7",301.3
"65",65,87,"Kasimovian",NA,303.7,307,"age","international ages--1","#BFD0C5",305.35
"66",66,88,"Moscovian",NA,307,315.2,"age","international ages--1","#C7CBB9",311.1
"67",67,89,"Bashkirian",NA,315.2,323.2,"age","international ages--1","#99C2B5",319.2
"68",68,91,"Serpukhovian",NA,323.2,330.9,"age","international ages--1","#BFC26B",327.05
"69",69,92,"Visean",NA,330.9,346.7,"age","international ages--1","#A6B96C",338.8
"70",70,93,"Tournaisian",NA,346.7,358.9,"age","international ages--1","#8CB06C",352.8
"71",71,96,"Famennian",NA,358.9,372.2,"age","international ages--1","#F2EDC5",365.55
"72",72,97,"Frasnian",NA,372.2,382.7,"age","international ages--1","#F2EDAD",377.45
"73",73,99,"Givetian",NA,382.7,387.7,"age","international ages--1","#F1E185",385.2
"74",74,100,"Eifelian",NA,387.7,393.3,"age","international ages--1","#F1D576",390.5
"75",75,102,"Emsian",NA,393.3,407.6,"age","international ages--1","#E5D075",400.45
"76",76,228,"Pragian",NA,407.6,410.8,"age","international ages--1","#E5C468",409.2
"77",77,229,"Lochkovian",NA,410.8,419.2,"age","international ages--1","#E5B75A",415
"78",78,107,"Pridoli",NA,419.2,423,"epoch","international ages--1","#E6F5E1",421.1
"79",79,230,"Ludfordian",NA,423,425.6,"age","international ages--1","#D9F0DF",424.3
