"","int_id","name","abbrev","t_age","b_age","int_type","timescales","color","Midpoint","t_round","b_round"
"Fortunian",256,"Fortunian",NA,529,538.8,"age","international ages--1","#99B575",533.9,529,538.8
"Stage 2",255,"Stage 2",NA,521,529,"age","international ages--1","#A6BA80",525,521,529
"Stage 3",254,"Stage 3",NA,514.5,521,"age","international ages--1","#A6C583",517.75,514.5,521
"Stage 4",253,"Stage 4",NA,506.5,514.5,"age","international ages--1","#B3CA8E",510.5,506.5,514.5
"Wuliuan",252,"Wuliuan",NA,504.5,506.5,"age","international ages--1","#B3D492",505.5,504.5,506.5
"Drumian",251,"Drumian",NA,500.5,504.5,"age","international ages--1","#BFD99D",502.5,500.5,504.5
"Guzhangian",250,"Guzhangian",NA,497,500.5,"age","international ages--1","#CCDFAA",498.75,497,500.5
"Paibian",249,"Paibian",NA,494.2,497,"age","international ages--1","#CCEBAE",495.6,494.2,497
"Jiangshanian",248,"Jiangshanian",NA,491,494.2,"age","international ages--1","#D9F0BB",492.6,491,494.2
"Stage 10",247,"Stage 10",NA,486.85,491,"age","international ages--1","#E6F5C9",488.925,486.85,491
"Tremadocian",121,"Tremadocian",NA,477.1,486.85,"age","international ages--1","#33A97E",481.975,477.1,486.85
"Floian",242,"Floian",NA,471.3,477.1,"age","international ages--1","#41B087",474.2,471.3,477.1
"Dapingian",241,"Dapingian",NA,469.4,471.3,"age","international ages--1","#66C092",470.35,469.4,471.3
"Darriwilian",240,"Darriwilian",NA,458.2,469.4,"age","international ages--1","#74C69C",463.8,458.2,469.4
"Sandbian",239,"Sandbian",NA,452.8,458.2,"age","international ages--1","#8CD094",455.5,452.8,458.2
"Katian",238,"Katian",NA,445.2,452.8,"age","international ages--1","#99D69F",449,445.2,452.8
"Hirnantian",237,"Hirnantian",NA,443.1,445.2,"age","international ages--1","#A6DBAB",444.15,443.1,445.2
"Rhuddanian",236,"Rhuddanian",NA,440.5,443.1,"age","international ages--1","#A6DCB5",441.8,440.5,443.1
"Aeronian",235,"Aeronian",NA,438.6,440.5,"age","international ages--1","#B3E1C2",439.55,438.6,440.5
"Telychian",234,"Telychian",NA,432.9,438.6,"age","international ages--1","#BFE6CF",435.75,432.9,438.6
"Sheinwoodian",233,"Sheinwoodian",NA,430.6,432.9,"age","international ages--1","#BFE6C3",431.75,430.6,432.9
"Homerian",232,"Homerian",NA,426.7,430.6,"age","international ages--1","#CCEBD1",428.65,426.7,430.6
"Gorstian",231,"Gorstian",NA,425,426.7,"age","international ages--1","#CCECDD",425.85,425,426.7
"Ludfordian",230,"Ludfordian",NA,422.7,425,"age","international ages--1","#D9F0DF",423.85,422.7,425
"Pridoli",107,"Pridoli",NA,419.62,422.7,"epoch","international ages--1","#E6F5E1",421.16,419.62,422.7
"Lochkovian",229,"Lochkovian",NA,413.02,419.62,"age","international ages--1","#E5B75A",416.32,413.02,419.62
"Pragian",228,"Pragian",NA,410.62,413.02,"age","international ages--1","#E5C468",411.82,410.62,413.02
"Emsian",102,"Emsian",NA,393.47,410.62,"age","international ages--1","#E5D075",402.045,393.47,410.62
"Eifelian",100,"Eifelian",NA,387.95,393.47,"age","international ages--1","#F1D576",390.71,387.95,393.47
"Givetian",99,"Givetian",NA,382.31,387.95,"age","international ages--1","#F1E185",385.13,382.31,387.95
"Frasnian",97,"Frasnian",NA,372.15,382.31,"age","international ages--1","#F2EDAD",377.23,372.15,382.31
"Famennian",96,"Famennian",NA,358.86,372.15,"age","international ages--1","#F2EDC5",365.505,358.86,372.15
"Tournaisian",93,"Tournaisian",NA,346.7,358.86,"age","international ages--1","#8CB06C",352.78,346.7,358.86
"Visean",92,"Visean",NA,330.3,346.7,"age","international ages--1","#A6B96C",338.5,330.3,346.7
"Serpukhovian",91,"Serpukhovian",NA,323.4,330.3,"age","international ages--1","#BFC26B",326.85,323.4,330.3
"Bashkirian",89,"Bashkirian",NA,315.2,323.4,"age","international ages--1","#99C2B5",319.3,315.2,323.4
"Moscovian",88,"Moscovian",NA,307,315.2,"age","international ages--1","#C7CBB9",311.1,307,315.2
"Kasimovian",87,"Kasimovian",NA,303.7,307,"age","international ages--1","#BFD0C5",305.35,303.7,307
"Gzhelian",86,"Gzhelian",NA,298.9,303.7,"age","international ages--1","#CCD4C7",301.3,298.9,303.7
"Asselian",83,"Asselian",NA,293.52,298.9,"age","international ages--1","#E36350",296.21,293.52,298.9
"Sakmarian",82,"Sakmarian",NA,290.1,293.52,"age","international ages--1","#E36F5C",291.81,290.1,293.52
"Artinskian",81,"Artinskian",NA,283.3,290.1,"age","international ages--1","#E37B68",286.7,283.3,290.1
"Kungurian",79,"Kungurian",NA,274.4,283.3,"age","international ages--1","#E38776",278.85,274.4,283.3
"Roadian",226,"Roadian",NA,266.9,274.4,"age","international ages--1","#FB8069",270.65,266.9,274.4
"Wordian",225,"Wordian",NA,264.28,266.9,"age","international ages--1","#FB8D76",265.59,264.28,266.9
"Capitanian",224,"Capitanian",NA,259.51,264.28,"age","international ages--1","#FB9A85",261.895,259.51,264.28
"Wuchiapingian",222,"Wuchiapingian",NA,254.14,259.51,"age","international ages--1","#FCB4A2",256.825,254.14,259.51
"Changhsingian",221,"Changhsingian",NA,251.902,254.14,"age","international ages--1","#FCC0B2",253.021,251.902,254.14
"Induan",73,"Induan",NA,249.9,251.902,"age","international ages--1","#A4469F",250.901,249.9,251.902
"Olenekian",72,"Olenekian",NA,246.7,249.9,"age","international ages--1","#B051A5",248.3,246.7,249.9
"Anisian",70,"Anisian",NA,241.464,246.7,"age","international ages--1","#BC75B7",244.082,241.464,246.7
"Ladinian",69,"Ladinian",NA,237,241.464,"age","international ages--1","#C983BF",239.232,237,241.464
"Carnian",67,"Carnian",NA,227.3,237,"age","international ages--1","#C99BCB",232.15,227.3,237
"Norian",66,"Norian",NA,205.7,227.3,"age","international ages--1","#D6AAD3",216.5,205.7,227.3
"Rhaetian",65,"Rhaetian",NA,201.4,205.7,"age","international ages--1","#E3B9DB",203.55,201.4,205.7
"Hettangian",62,"Hettangian",NA,199.5,201.4,"age","international ages--1","#4EB3D3",200.45,199.5,201.4
"Sinemurian",61,"Sinemurian",NA,192.9,199.5,"age","international ages--1","#67BCD8",196.2,192.9,199.5
"Pliensbachian",60,"Pliensbachian",NA,184.2,192.9,"age","international ages--1","#80C5DD",188.55,184.2,192.9
"Toarcian",59,"Toarcian",NA,174.7,184.2,"age","international ages--1","#99CEE3",179.45,174.7,184.2
"Aalenian",57,"Aalenian",NA,170.9,174.7,"age","international ages--1","#9AD9DD",172.8,170.9,174.7
"Bajocian",56,"Bajocian",NA,168.2,170.9,"age","international ages--1","#A6DDE0",169.55,168.2,170.9
"Bathonian",55,"Bathonian",NA,165.3,168.2,"age","international ages--1","#B3E2E3",166.75,165.3,168.2
"Callovian",54,"Callovian",NA,161.5,165.3,"age","international ages--1","#BFE7E5",163.4,161.5,165.3
"Oxfordian",52,"Oxfordian",NA,154.8,161.5,"age","international ages--1","#BFE7F1",158.15,154.8,161.5
"Kimmeridgian",51,"Kimmeridgian",NA,149.2,154.8,"age","international ages--1","#CCECF4",152,149.2,154.8
"Tithonian",50,"Tithonian",NA,143.1,149.2,"age","international ages--1","#D9F1F7",146.15,143.1,149.2
"Berriasian",47,"Berriasian",NA,137.05,143.1,"age","international ages--1","#8CCD60",140.075,137.05,143.1
"Valanginian",46,"Valanginian",NA,132.6,137.05,"age","international ages--1","#99D36A",134.825,132.6,137.05
"Hauterivian",45,"Hauterivian",NA,125.77,132.6,"age","international ages--1","#A6D975",129.185,125.77,132.6
"Barremian",44,"Barremian",NA,121.4,125.77,"age","international ages--1","#B3DF7F",123.585,121.4,125.77
"Aptian",43,"Aptian",NA,113.2,121.4,"age","international ages--1","#BFE48A",117.3,113.2,121.4
"Albian",42,"Albian",NA,100.5,113.2,"age","international ages--1","#CCEA97",106.85,100.5,113.2
"Cenomanian",40,"Cenomanian",NA,93.9,100.5,"age","international ages--1","#B3DE53",97.2,93.9,100.5
"Turonian",39,"Turonian",NA,89.8,93.9,"age","international ages--1","#BFE35D",91.85,89.8,93.9
"Coniacian",38,"Coniacian",NA,85.7,89.8,"age","international ages--1","#CCE968",87.75,85.7,89.8
"Santonian",37,"Santonian",NA,83.6,85.7,"age","international ages--1","#D9EF74",84.65,83.6,85.7
"Campanian",36,"Campanian",NA,72.2,83.6,"age","international ages--1","#E6F47F",77.9,72.2,83.6
"Maastrichtian",35,"Maastrichtian",NA,66,72.2,"age","international ages--1","#F2FA8C",69.1,66,72.2
"Danian",31,"Danian",NA,61.66,66,"age","international ages--1","#FDB462",63.83,61.66,66
"Selandian",273,"Selandian",NA,59.24,61.66,"age","international ages--1","#FEBF65",60.45,59.24,61.66
"Thanetian",30,"Thanetian",NA,56,59.24,"age","international ages--1","#FDBF6F",57.62,56,59.24
"Ypresian",28,"Ypresian",NA,48.07,56,"age","international ages--1","#FCA773",52.035,48.07,56
"Lutetian",27,"Lutetian",NA,41.03,48.07,"age","international ages--1","#FCB482",44.55,41.03,48.07
"Bartonian",26,"Bartonian",NA,37.71,41.03,"age","international ages--1","#FDC091",39.37,37.71,41.03
"Priabonian",25,"Priabonian",NA,33.9,37.71,"age","international ages--1","#FDCDA1",35.805,33.9,37.71
"Rupelian",23,"Rupelian",NA,27.3,33.9,"age","international ages--1","#FED99A",30.6,27.3,33.9
