"","Interval","LAD","FAD"
"1","Meghalayan",0,0.0042
"2","Northgrippian",0.0042,0.0082
"3","Greenlandian",0.0082,0.0117
"4","Late Pleistocene",0.0117,0.129
"5","Chibanian",0.129,0.774
"6","Calabrian",0.774,1.8
"7","Gelasian",1.8,2.58
"8","Piacenzian",2.58,3.6
"9","Zanclean",3.6,5.333
"10","Messinian",5.333,7.246
"11","Tortonian",7.246,11.63
"12","Serravallian",11.63,13.82
"13","Langhian",13.82,15.98
"14","Burdigalian",15.98,20.44
"15","Aquitanian",20.44,23.03
"16","Chattian",23.03,27.82
"17","Rupelian",27.82,33.9
"18","Priabonian",33.9,37.71
"19","Bartonian",37.71,41.2
"20","Lutetian",41.2,47.8
"21","Ypresian",47.8,56
"22","Thanetian",56,59.2
"23","Selandian",59.2,61.6
"24","Danian",61.6,66
"25","Maastrichtian",66,72.1
"26","Campanian",72.1,83.6
"27","Santonian",83.6,86.3
"28","Coniacian",86.3,89.8
"29","Turonian",89.8,93.9
"30","Cenomanian",93.9,100.5
"31","Albian",100.5,113
"32","Aptian",113,121.4
"33","Barremian",121.4,125.77
"34","Hauterivian",125.77,132.6
"35","Valanginian",132.6,139.8
"36","Berriasian",139.8,145
"37","Tithonian",145,149.2
"38","Kimmeridgian",149.2,154.8
"39","Oxfordian",154.8,161.5
"40","Callovian",161.5,165.3
"41","Bathonian",165.3,168.2
"42","Bajocian",168.2,170.9
"43","Aalenian",170.9,174.7
"44","Toarcian",174.7,184.2
"45","Pliensbachian",184.2,192.9
"46","Sinemurian",192.9,199.5
"47","Hettangian",199.5,201.4
"48","Rhaetian",201.4,208.5
"49","Norian",208.5,227
"50","Carnian",227,237
"51","Ladinian",237,242
"52","Anisian",242,247.2
"53","Olenekian",247.2,251.2
"54","Induan",251.2,251.902
"55","Changhsingian",251.902,254.14
"56","Wuchiapingian",254.14,259.51
"57","Capitanian",259.51,264.28
"58","Wordian",264.28,266.9
"59","Roadian",266.9,273.01
"60","Kungurian",273.01,283.5
"61","Artinskian",283.5,290.1
"62","Sakmarian",290.1,293.52
"63","Asselian",293.52,298.9
"64","Gzhelian",298.9,303.7
"65","Kasimovian",303.7,307
"66","Moscovian",307,315.2
"67","Bashkirian",315.2,323.2
"68","Serpukhovian",323.2,330.9
"69","Visean",330.9,346.7
"70","Tournaisian",346.7,358.9
"71","Famennian",358.9,372.2
"72","Frasnian",372.2,382.7
"73","Givetian",382.7,387.7
"74","Eifelian",387.7,393.3
"75","Emsian",393.3,407.6
"76","Pragian",407.6,410.8
"77","Lochkovian",410.8,419.2
"78","Pridoli",419.2,423
"79","Ludfordian",423,425.6
"80","Gorstian",425.6,427.4
"81","Homerian",427.4,430.5
"82","Sheinwoodian",430.5,433.4
"83","Telychian",433.4,438.5
"84","Aeronian",438.5,440.8
"85","Rhuddanian",440.8,443.8
"86","Hirnantian",443.8,445.2
"87","Katian",445.2,453
"88","Sandbian",453,458.4
"89","Darriwilian",458.4,467.3
"90","Dapingian",467.3,470
"91","Floian",470,477.7
"92","Tremadocian",477.7,485.4
"93","Stage 10",485.4,489.5
"94","Jiangshanian",489.5,494
"95","Paibian",494,497
"96","Guzhangian",497,500.5
"97","Drumian",500.5,504.5
"98","Wuliuan",504.5,509
"99","Stage 4",509,514
"100","Stage 3",514,521
"101","Stage 2",521,529
"102","Fortunian",529,538.8
"205","Holocene",0,0.0117
"206","Pleistocene",0.0117,2.58
"207","Pliocene",2.58,5.333
"208","Miocene",5.333,23.03
"209","Oligocene",23.03,33.9
"210","Eocene",33.9,56
"211","Paleocene",56,66
"212","Late Cretaceous",66,100.5
"213","Early Cretaceous",100.5,145
"214","Late Jurassic",145,161.5
"215","Middle Jurassic",161.5,174.7
"216","Early Jurassic",174.7,201.4
"217","Late Triassic",201.4,237
"218","Middle Triassic",237,247.2
"219","Early Triassic",247.2,251.902
"220","Lopingian",251.902,259.51
