"","site_quota","radius","n.samples","n.timeBins","n.subregions","avg.obs.per.timeBin","avg.obs.per.subregion","intercept","intercept.std.error","intercept.df","intercept.t.value","intercept.p.value","slope","slope.std.error","slope.df","slope.t.value","slope.p.value"
"1",2,200000,3500,18,35,194.444444444444,100,14.5390968171491,2.00185850503562,14.0578820679447,7.26279943391427,4.04332055689941e-06,-0.225183093673717,0.0702835348272493,23.5241323517344,-3.20392385253811,0.00386787693601335
"2",3,200000,1400,8,14,175,100,28.6799953118926,4.84207790493037,5.86849077335503,5.92307597585111,0.00111743069383258,-0.156535337499505,0.0639931282795756,7.78891462245324,-2.44612729066201,0.0409649107195689
"3",4,200000,1000,7,10,142.857142857143,100,39.9082305501197,8.75340053716209,5.59775214821195,4.55916879168175,0.00458566976798998,-0.167689870598594,0.0501038786707699,11.8522453721164,-3.34684409764912,0.00590766127075881
"5",2,500000,3900,22,39,177.272727272727,100,14.610892120081,2.12464601065364,17.7244969403225,6.87685950827453,2.14030894177093e-06,-0.317167962011393,0.0633354048831049,23.8339233561529,-5.00775139271272,4.15321635090316e-05
"6",3,500000,1700,10,17,170,100,24.0766616766348,4.25109651954804,9.28018888219428,5.66363562105018,0.000275219723900668,-0.317223154056863,0.0881653821500747,9.29221841155829,-3.59804660651147,0.00547372044023332
"7",4,500000,1100,8,11,137.5,100,36.2452688813171,6.46408635210387,6.83568743664668,5.60717584930163,0.000879395141021775,-0.311458482928324,0.0713094591672617,11.2466916840598,-4.36770221742637,0.00106507101596968
"8",5,500000,700,6,7,116.666666666667,100,49.2541536514292,11.6908016811468,3.27082463887895,4.21306895752573,0.0205516647110883,-0.249532766625751,0.091875280107615,3.19496466404301,-2.71599462155075,0.0679450900261599
"9",2,1000000,3800,24,38,158.333333333333,100,14.8608061066882,2.02193001195463,20.089976519023,7.34981231735218,4.09445869070425e-07,-0.321205377951581,0.0635469986259073,27.0140877501516,-5.05461130969337,2.62628522535382e-05
"10",3,1000000,1700,11,17,154.545454545455,100,25.0729402881855,3.73218851374109,7.60723891403852,6.71802621863084,0.000188392949976139,-0.33752438690754,0.0794058836165193,9.70541772682029,-4.25062188763709,0.00180519179949168
"11",4,1000000,1200,7,12,171.428571428571,100,37.4939962533441,6.08023060886342,7.2488199137126,6.16654180824778,0.000400498628930922,-0.246749917176787,0.211380351305862,5.98972739291362,-1.16732664910631,0.287438141484566
"12",5,1000000,900,7,9,128.571428571429,100,39.3955382901473,8.54781179005304,5.66059519213378,4.6088448433073,0.00424245922796326,-0.0589024987153192,0.181066394303687,4.03064487508789,-0.325308840118211,0.761134320921924
