"","IRN","catN","refTitle","phylum","class","order","family","genus","subgenus","species","subspecies","combined_name","early_interval","late_interval","max_ma","min_ma","midpoint","chronostratigraphySource","eon","era","period","epoch","age_OLD","latitudeDecimal","longitudeDecimal","uncertaintyInMeters","geodataSource","country","state","county","township","preciseLocation","locality","interpreted_locality","averageLatitude","averageLongitude","range_p_lat","max_dist","p_lat_MERDITH2021","p_lng_MERDITH2021","p_lat_PALEOMAP","p_lng_PALEOMAP","p_lat_GOLONKA","p_lng_GOLONKA","p_lat_TorsvikCocks2017","p_lng_TorsvikCocks2017","system","group","formation","member","lithology1","environment","lithCat","bathCat","reefCat","source","paleocoord_average_uncertainty"
"1458",8603798,4794,"ON THE LOWER SILURIAN (TRENTON) FAUNA OF BAFFIN LAND","Brachiopoda","Rhynchonellata","Orthida","Orthidae","Orthis","","tricenaria","","Brachiopoda_Orthis","Blackriverian","Richmondian",458.4,445.693899204244,452.047,"record","","","ORDOVICIAN","","TRENTONIAN",63.733,-68.933,0,"record","CANADA","NORTHWEST TERRITORIES","","","","BAFFIN LAND, SILLIMANS FOSSIL MOUNT, AT THE HEAD OF FROBISHER BAY","",-2.38355,-76.2194,18.5111,6400.932,-6.4975,-97.0578,-9.2972,-39.02,-2.9534,-94.2947,9.2139,-74.5051,NA,"","","","","","unknown","unknown","unknown","AMNH",3200.466
"1461",8603804,4800,"ON THE LOWER SILURIAN (TRENTON) FAUNA OF BAFFIN LAND","Brachiopoda","Rhynchonellata","Orthida","Orthidae","Orthis","Hebertella ?","bellirugosa","","Brachiopoda_Orthis","Blackriverian","Richmondian",458.4,445.693899204244,452.047,"record","","","ORDOVICIAN","","TRENTONIAN",63.733,-68.933,0,"record","CANADA","NORTHWEST TERRITORIES","","","","BAFFIN LAND, SILLIMANS FOSSIL MOUNT, AT THE HEAD OF FROBISHER BAY","",-2.38355,-76.2194,18.5111,6400.932,-6.4975,-97.0578,-9.2972,-39.02,-2.9534,-94.2947,9.2139,-74.5051,NA,"","","","","","unknown","unknown","unknown","AMNH",3200.466
"1464",8603806,4806,"","Mollusca","Bivalvia","Solemyida","Ctenodontidae","Ctenodonta","","baffinensis","","Mollusca_Ctenodonta","Blackriverian","Richmondian",458.4,445.693899204244,452.047,"record","","","ORDOVICIAN","","TRENTONIAN",63.733,-68.933,0,"record","CANADA","NORTHWEST TERRITORIES","","","","BAFFIN LAND, SILLIMANS FOSSIL MOUNT, AT THE HEAD OF FROBISHER BAY","",-2.38355,-76.2194,18.5111,6400.932,-6.4975,-97.0578,-9.2972,-39.02,-2.9534,-94.2947,9.2139,-74.5051,NA,"","","","","","unknown","unknown","unknown","AMNH",3200.466
"3942",8607090,9340,"","Brachiopoda","Lingulata","Lingulida","Lingulidae","Lingula","","sp.","","Brachiopoda_Lingula","Coniacian","Maastrichtian",89.8,66,77.9,"Macrostrat","","","Cretaceous","Upper","",44.154,-99.922,0,"record","United States of America","SOUTH DAKOTA","LYMAN CO","","","RED CEDAR ISLAND, NEAR, 35 MI BELOW FORT PIERRE, DIVISION 4 OF THE CRETACEOUS SECTION","",49.412175,-62.73355,3.6816,886.102,48.5584,-58.4662,49.7893,-66.3838,51.4913,-57.5916,47.8097,-68.4926,NA,"","Pierre shale","GRANDEUR MBR","shale,gypsum,limestone,ash,sandstone","offshore,slope,offshore shelf,delta front,shoreface,foreshore,coastal indet.,lagoonal/restricted shallow subtidal,marine","unknown","unknown","non-reef","AMNH",443.051
"3955",8607092,9347,"","Mollusca","Bivalvia","Pectinida","Pectinidae","Pecten","","sp.","","Mollusca_Pecten","Coniacian","Maastrichtian",89.8,66,77.9,"Macrostrat","","","Cretaceous","Upper","",43.894,-102.389,0,"record","United States of America","SOUTH DAKOTA","PENNINGTON CO","","","SAGE CREEK, UPPER PART OF DIVISION 2 OF THE CRETACEOUS SECTION","",49.81535,-65.4318,3.7186,869.648,48.9641,-61.1155,50.1237,-69.1216,51.9461,-60.3909,48.2275,-71.0992,NA,"","Pierre shale","","shale,gypsum,limestone,ash,sandstone","offshore,slope,offshore shelf,delta front,shoreface,foreshore,coastal indet.,lagoonal/restricted shallow subtidal,marine","unknown","unknown","non-reef","AMNH",434.824
"3956",8607094,9348,"","Mollusca","Bivalvia","Ostreida","Pteridae","Avicula","","sp.","","Mollusca_Avicula","Coniacian","Maastrichtian",89.8,66,77.9,"Macrostrat","","","Cretaceous","Upper","",44.154,-99.922,0,"record","United States of America","SOUTH DAKOTA","LYMAN CO","","","RED CEDAR ISLAND, 35 MI BELOW FORT PIERRE, DIVISION 4 OF THE CRETACEOUS SECTION","",49.412175,-62.73355,3.6816,886.102,48.5584,-58.4662,49.7893,-66.3838,51.4913,-57.5916,47.8097,-68.4926,NA,"","Pierre shale","","shale,gypsum,limestone,ash,sandstone","offshore,slope,offshore shelf,delta front,shoreface,foreshore,coastal indet.,lagoonal/restricted shallow subtidal,marine","unknown","unknown","non-reef","AMNH",443.051
"3972",8607102,9356,"","Mollusca","Bivalvia","Myalinida","Inoceramidae","Inoceramus","","sp.","","Mollusca_Inoceramus","Turonian",NA,93.9,89.8,91.85,"Macrostrat","","","Cretaceous","Upper","",42.661,-96.888,0,"record","United States of America","NEBRASKA","DIXON CO","","","ON THE MISSOURI RIVER, 5 MI BELOW THE MOUTH OF THE VERMILION RIVER, DIVISION 2 OF THE CRETACEOUS SECTION","",44.855975,-56.356475,5.4451,832.542,45.3147,-51.8087,42.4461,-60.6632,47.8912,-53.3765,43.7719,-59.5775,NA,"","Benton shale","","shale,sandstone","coastal indet.","unknown","shallow","non-reef","AMNH",416.271
"3974",8607104,9357,"","Mollusca","Bivalvia","Myalinida","Inoceramidae","Inoceramus","","sp.","","Mollusca_Inoceramus","Coniacian","Maastrichtian",89.8,66,77.9,"Macrostrat","","","Cretaceous","Upper","",43.894,-102.389,0,"record","United States of America","SOUTH DAKOTA","PENNINGTON CO","","","SAGE CREEK, UPPER PART OF DIVISION 2 OF THE CRETACEOUS SECTION","",49.81535,-65.4318,3.7186,869.648,48.9641,-61.1155,50.1237,-69.1216,51.9461,-60.3909,48.2275,-71.0992,NA,"","Pierre shale","","shale,gypsum,limestone,ash,sandstone","offshore,slope,offshore shelf,delta front,shoreface,foreshore,coastal indet.,lagoonal/restricted shallow subtidal,marine","unknown","unknown","non-reef","AMNH",434.824
"3976",8607106,9358,"","Mollusca","Bivalvia","Myalinida","Inoceramidae","Inoceramus","","sp.","","Mollusca_Inoceramus","Turonian",NA,93.9,89.8,91.85,"Macrostrat","","","Cretaceous","Upper","",42.661,-96.888,0,"record","United States of America","NEBRASKA","DIXON CO","","","ON THE MISSOURI RIVER, 5 MI BELOW THE MOUTH OF THE VERMILION RIVER, DIVISION 2 OF THE CRETACEOUS SECTION","",44.855975,-56.356475,5.4451,832.542,45.3147,-51.8087,42.4461,-60.6632,47.8912,-53.3765,43.7719,-59.5775,NA,"","Benton shale","","shale,sandstone","coastal indet.","unknown","shallow","non-reef","AMNH",416.271
"3983",8607114,9361,"","Mollusca","Bivalvia","Myalinida","Inoceramidae","Inoceramus","","sp.","","Mollusca_Inoceramus","Coniacian","Maastrichtian",89.8,66,77.9,"Macrostrat","","","Cretaceous","Upper","",43.894,-102.389,0,"record","United States of America","SOUTH DAKOTA","PENNINGTON CO","","","SAGE CREEK, DIVISION 4 OF THE CRETACEOUS SECTION","",49.81535,-65.4318,3.7186,869.648,48.9641,-61.1155,50.1237,-69.1216,51.9461,-60.3909,48.2275,-71.0992,NA,"","Pierre shale","","shale,gypsum,limestone,ash,sandstone","offshore,slope,offshore shelf,delta front,shoreface,foreshore,coastal indet.,lagoonal/restricted shallow subtidal,marine","unknown","unknown","non-reef","AMNH",434.824
"3986",8607118,9362,"","Mollusca","Bivalvia","Myalinida","Inoceramidae","Inoceramus","","sp.","","Mollusca_Inoceramus","Coniacian","Maastrichtian",89.8,66,77.9,"Macrostrat","","","Cretaceous","Upper","",43.894,-102.389,0,"record","United States of America","SOUTH DAKOTA","PENNINGTON CO","","","SAGE CREEK, DIVISION 4 OF THE CRETACEOUS SECTION","",49.81535,-65.4318,3.7186,869.648,48.9641,-61.1155,50.1237,-69.1216,51.9461,-60.3909,48.2275,-71.0992,NA,"","Pierre shale","","shale,gypsum,limestone,ash,sandstone","offshore,slope,offshore shelf,delta front,shoreface,foreshore,coastal indet.,lagoonal/restricted shallow subtidal,marine","unknown","unknown","non-reef","AMNH",434.824
"3989",8607120,9363,"","Mollusca","Bivalvia","Myalinida","Inoceramidae","Inoceramus","","sp.","","Mollusca_Inoceramus","Coniacian","Maastrichtian",89.8,66,77.9,"Macrostrat","","","Cretaceous","Upper","",44.36,-100.3,0,"record","United States of America","SOUTH DAKOTA","STANLEY CO","","","GREAT BEND OF THE MISSOURI RIVER, BELOW FORT PIERRE, DIVISION 4 OF THE CRETACEOUS SECTION","",49.703075,-63.005325,3.6855,881.5,48.8496,-58.7328,50.0732,-66.675,51.7875,-57.8609,48.102,-68.7526,NA,"","Pierre shale","","shale,gypsum,limestone,ash,sandstone","offshore,slope,offshore shelf,delta front,shoreface,foreshore,coastal indet.,lagoonal/restricted shallow subtidal,marine","unknown","unknown","non-reef","AMNH",440.75
