originalPlace,interpretedPlace,longitude,latitude,xmin,xmax,ymin,ymax,uncertainty
"Rouen, Normandy, France","Rouen, Seine-Maritime, Normandy, France",1.0984309,49.4435261,1.0302484,1.1521206,49.4172245,49.4652469,4581
"Aust Cliff, Gloucestershire, England, Northern Europe","Aust, Bristol, South Gloucestershire, England, United Kingdom, BS35",-2.6202643,51.5991956,-2.6319965,-2.6120765,51.5945564,51.6018238,638
"Redland, Bristol, Avon, England, Northern Europe","Redland, Bristol, Bristol City, England, United Kingdom",-2.6062403,51.4677204,-2.6159402,-2.593241,51.4608002,51.4785665,1023
"Macon, Saone et Loire, France","Mâcon, Saône-et-Loire, Bourgogne-Franche-Comté, France, 71000",4.8293535,46.3079587,4.7579899,4.8586816,46.2734283,46.3796478,6706
"France, Western Europe",France,2.213749,46.227638,-109.2967524,11.4548613,10.2676819,51.3682119,886364
"Beuval, Somme, France, Western Europe","Beauval, Somme, Hauts-de-France, France, 80630",2.329942,50.106062,2.2897654,2.3725315,50.06746,50.1364723,4552
"Redland, Bristol, Gloucestershire, England, Northern Europe","Redland, Bristol, Bristol City, England, United Kingdom",-2.6062403,51.4677204,-2.6159402,-2.593241,51.4608002,51.4785665,1023
"Monhoulien, Herault, France, England, Northern Europe","Hérault, Occitanie, France",3.2583626,43.5912356,2.5395564,4.1945463,43.2102012,43.9727532,71991
"Essen, Germany, Western Europe","Essen, Mettmann, Düsseldorf, North Rhine-Westphalia, Germany, 45",7.0224632,51.4575573,6.8943602,7.1376762,51.3476021,51.5342124,11694
"Escales, Aude, Occitaine, France, Western Europe","Escales, Aude, Occitanie, France, 11200",2.696366,43.223945,2.6777091,2.7289919,43.2060322,43.2403331,2502
"Ciply, Var., France, Western Europe","Ciply, Mons, Hainaut, Wallonia, Belgium",3.9462109,50.4219839,3.9291888,3.9588847,50.4032162,50.4233482,913
"Malplaquet, France, Western Europe","Taisnières-sur-Hon, Nord, Hauts-de-France, France, 59570",3.839768,50.318349,3.8053801,3.8904682,50.2990246,50.3477688,3259
"Breteuil, Oise, France, Western Europe","Breteuil, Oise, Hauts-de-France, France, 60120",2.29562,49.6340519,2.2347666,2.3401235,49.6116503,49.6603748,4348
"Tarrant County, Texas, USA, NORTH AND CENTRAL AMERICA","Tarrant County, Texas, United States",-97.3516558,32.7732044,-97.550582,-97.031007,32.548666,32.994194,31117
"Chocktaw Creek, Texas, USA, NORTH AND CENTRAL AMERICA","Choctaw Creek, United States",-96.53454413,33.6472953,-96.7065914,-96.3624968,33.5514404,33.7431502,19170
"Benbrook, Texas, USA, NORTH AND CENTRAL AMERICA","Benbrook, Tarrant County, Texas, United States",-97.4605759,32.673188,-97.5039981,-97.411845,32.6458199,32.723728,5080
"Austin, Texas, USA, NORTH AND CENTRAL AMERICA","Austin, Travis County, Texas, United States",-97.7430608,30.267153,-97.938354,-97.5275861,30.075576,30.5166519,28370
"Trouville, France, Western Europe","Trouville-sur-Mer, Calvados, Normandy, France",0.082808,49.366289,0.0752546,0.1319579,49.3554574,49.3898033,1324
"Shennan, Texas, USA, NORTH AND CENTRAL AMERICA","Texas, United States",-99.9018131,31.9685988,-106.6456461,-93.5080389,25.8371165,36.5011261,774098
"Cagny, Calvados, Normandy, France, Western Europe","Cagny, Calvados, Normandy, France, 14630",-0.255309,49.147306,-0.2896796,-0.2348055,49.1380904,49.1684049,2709
"Nogent-le-Rotrou, France, Western Europe","Nogent-le-Rotrou, Eure-et-Loir, Centre-Val de Loire, France, 28400",0.8217777,48.321344,0.7556895,0.8585432,48.2898262,48.3495471,4155
"Varennes, Meuse, France, Western Europe","Varennes-en-Argonne, Meuse, Grand Est, France, 55270",5.033516,49.226297,4.9775843,5.0486909,49.208424,49.2513096,2993
