"","siteQuota","radius","minimum","q0.25","median","q0.75","maximum","mean","standardDeviation"
"1","sQ1","r1",45,134,254,373,4292,413.01,608.49
"2","sQ2","r1",77,236,436,997,5567,898.48,1178.18
"3","sQ3","r1",178,472,662,1561,6571,1600.53,1949.44
"4","sQ4","r1",251,569,690,938,1481,800.59,421.66
"5","sQ1","r2",45,166,269,506,4292,519.75,733.94
"6","sQ2","r2",96,317,454,718,5567,843.71,1139.61
"7","sQ3","r2",149,479,661,1265,6571,1347.77,1720.47
"8","sQ4","r2",174,454,743,1071,2652,816.44,514.56
"9","sQ1","r3",40,173,261,485,4292,486.51,680.53
"10","sQ2","r3",63,369,460,756,5567,825.99,1009.8
"11","sQ3","r3",94,525,734,1158,6571,1266.87,1456.64
"12","sQ4","r3",174,576,826,1473,6693,1459.44,1793.79
