"","siteQuota","radius","minimum","q0.25","median","q0.75","maximum","mean","standardDeviation"
"1","sQ1","r1",41,112,240,458,4271,547.59,887.94
"2","sQ2","r1",151,286,557,719,1652,596.91,382.93
"3","sQ3","r1",485,586.25,697,1020.75,1761,910,502.48
"4","sQ4","r1",NA,NA,NA,NA,NA,NA,NA
"5","sQ1","r2",41,104,222,450,4271,505.33,825.62
"6","sQ2","r2",91,319,480,704,3788,717.76,844.06
"7","sQ3","r2",133,382.5,690,853,2332,705.21,415.98
"8","sQ4","r2",177,567,987,1405,2488,1039.22,532.62
"9","sQ1","r3",43,104,218,518,4271,443.53,641.72
"10","sQ2","r3",91,242,422,737,4387,703.9,874.42
"11","sQ3","r3",141,398,675,950,4486,1071.77,1211.49
"12","sQ4","r3",176,719,948,1147,4577,1323.33,1206.67
