"","siteQuota","radius","minimum","q0.25","median","q0.75","maximum","mean","standardDeviation"
"1","sQ1","r1",31,123,216,349,1610,299.2,292.3
"2","sQ2","r1",52,97.5,285,474.5,1774,470.96,533.94
"3","sQ3","r1",234,234,310,396,396,313.33,66.29
"4","sQ4","r1",NA,NA,NA,NA,NA,NA,NA
"5","sQ1","r2",29,105,227,379.5,2147,399.31,534.89
"6","sQ2","r2",45,188,339,489,1774,462.5,476.44
"7","sQ3","r2",66,110,396,642,1300,397.68,300.85
"8","sQ4","r2",276,276,489,1052.25,1468,657.95,404.82
"9","sQ1","r3",29,126,207,367,2147,397.75,531.7
"10","sQ2","r3",45,198,329,436.25,1774,441.44,472.82
"11","sQ3","r3",66,244,404,604.25,1267,433.46,207.28
"12","sQ4","r3",253,270.25,288.5,614.75,1429,491.12,299.35
