"","siteQuota","radius","minimum","q0.25","median","q0.75","maximum","mean","standardDeviation"
"1","sQ1","r1",48,79,80,130,215,105.63,54.76
"2","sQ2","r1",81,81,123,165,165,123,42.11
"3","sQ3","r1",NA,NA,NA,NA,NA,NA,NA
"4","sQ4","r1",NA,NA,NA,NA,NA,NA,NA
"5","sQ1","r2",48,79,80,130,215,105.91,54.74
"6","sQ2","r2",81,81,123,165,165,123,42.11
"7","sQ3","r2",NA,NA,NA,NA,NA,NA,NA
"8","sQ4","r2",NA,NA,NA,NA,NA,NA,NA
"9","sQ1","r3",48,59,79,95,215,98.02,53.53
"10","sQ2","r3",81,81,118,165,165,121.33,34.43
"11","sQ3","r3",NA,NA,NA,NA,NA,NA,NA
"12","sQ4","r3",NA,NA,NA,NA,NA,NA,NA
