"","siteQuota","radius","minimum","q0.25","median","q0.75","maximum","mean","standardDeviation"
"1","sQ1","r1",45,134,254,373,4292,413.05,606.35
"2","sQ2","r1",77,241,436,997,5567,910.36,1202.73
"3","sQ3","r1",178,472,662,1561,6571,1597.1,1951.41
"4","sQ4","r1",251,569,690,938,1481,801.22,420.88
"5","sQ1","r2",45,166,272,506,4292,519.54,731.82
"6","sQ2","r2",95,317,454,756,5567,847.44,1141.17
"7","sQ3","r2",148,479,647,1330.75,6571,1346.39,1722.51
"8","sQ4","r2",174,454.75,743,1068,2514,817.65,499.61
"9","sQ1","r3",40,173,264,480,4292,484.37,674.64
"10","sQ2","r3",63,369,470.5,756,5567,822.76,992.41
"11","sQ3","r3",94,516,734,1220.25,6571,1258.94,1438.25
"12","sQ4","r3",174,600.25,873,1473,6693,1474.01,1790.3
