"","siteQuota","radius","minimum","q0.25","median","q0.75","maximum","mean","standardDeviation"
"1","sQ1","r1",87,193,418,744,5628,909.15,1292.25
"2","sQ2","r1",369,511,949,1337,5731,1795.9,1997.19
"3","sQ3","r1",786,786,786,786,786,786,0
"4","sQ4","r1",NA,NA,NA,NA,NA,NA,NA
"5","sQ1","r2",87,193,380,697,5628,751.11,989.3
"6","sQ2","r2",275,659,896,1889,6652,1641.77,1745.83
"7","sQ3","r2",442,865,1141,2598,6755,2169.64,2137.36
"8","sQ4","r2",717,858,1975.5,2996,2996,1923.58,1076.95
"9","sQ1","r3",69,193,470,1127,5628,854.8,1016.23
"10","sQ2","r3",219,495,659,1055,6652,1205.02,1375.73
"11","sQ3","r3",291,719,974,1477,6755,1830.14,2071.55
"12","sQ4","r3",458,841,1187,1909,3136,1475.41,821.63
