"","siteQuota","radius","minimum","q0.25","median","q0.75","maximum","mean","standardDeviation"
"1","sQ1","r1",62,167,321,592,2546,487.56,571.97
"2","sQ2","r1",129,196.5,422.5,804.25,3248,833.68,952.33
"3","sQ3","r1",208,208,1107,3135,3755,1659.34,1502.84
"4","sQ4","r1",3837,3837,3837,3837,3837,3837,0
"5","sQ1","r2",62,209,482,934,2813,784.92,828
"6","sQ2","r2",113,407,642,1227,3248,838.05,724.92
"7","sQ3","r2",208,236,773,1217,3755,1201.82,1160.91
"8","sQ4","r2",623,623,2230,3837,3837,2230,1611.03
"9","sQ1","r3",62,228,590.5,1252,2813,873.08,816.29
"10","sQ2","r3",129,407,520,867,3248,807.98,702.25
"11","sQ3","r3",208,680,954,1383,3755,1320.25,957.64
"12","sQ4","r3",623,623,2230,3837,3837,2230,1611.03
