"","siteQuota","radius","minimum","q0.25","median","q0.75","maximum","mean","standardDeviation"
"1","sQ1","r1",43,106.75,210,365,1862,402.6,560.88
"2","sQ2","r1",320,320,327.5,699,821,487.06,215.09
"3","sQ3","r1",883,883,883,883,883,883,0
"4","sQ4","r1",NA,NA,NA,NA,NA,NA,NA
"5","sQ1","r2",25,111,161,365,1862,385.37,536.25
"6","sQ2","r2",45,176,245,336,1170,300.44,205.6
"7","sQ3","r2",77,77,418,707.75,1286,453.37,340.99
"8","sQ4","r2",494,567,647,1010,1375,820.22,308.73
"9","sQ1","r3",25,112,161,365,1862,393.99,545.95
"10","sQ2","r3",45,171,245,336,1048,280.94,184.17
"11","sQ3","r3",77,152,390,469,1286,385.2,250.63
"12","sQ4","r3",282,508,586,810,1348,688.2,243.21
