"","siteQuota","radius","minimum","q0.25","median","q0.75","maximum","mean","standardDeviation"
"1","sQ1","r1",81,81,90.5,100,100,90.5,9.52
"2","sQ2","r1",NA,NA,NA,NA,NA,NA,NA
"3","sQ3","r1",NA,NA,NA,NA,NA,NA,NA
"4","sQ4","r1",NA,NA,NA,NA,NA,NA,NA
"5","sQ1","r2",31,42,81,81,110,75.26,24.63
"6","sQ2","r2",57,115,125,126,126,109.27,26.62
"7","sQ3","r2",141,141,141,141,141,141,0
"8","sQ4","r2",NA,NA,NA,NA,NA,NA,NA
"9","sQ1","r3",31,42,81,81,110,75.5,23.52
"10","sQ2","r3",57,115,115,126,126,108.04,26.85
"11","sQ3","r3",141,141,141,141,141,141,0
"12","sQ4","r3",NA,NA,NA,NA,NA,NA,NA
