"","siteQuota","radius","minimum","q0.25","median","q0.75","maximum","mean","standardDeviation"
"1","sQ1","r1",41,105,240,458,4271,544.34,887.86
"2","sQ2","r1",151,286,557,719,1652,602.17,393.56
"3","sQ3","r1",485,586.25,697,1020.75,1761,910,502.48
"4","sQ4","r1",NA,NA,NA,NA,NA,NA,NA
"5","sQ1","r2",41,104,222,449,4271,496.67,818.71
"6","sQ2","r2",91,319,480,718,3788,725.97,845.92
"7","sQ3","r2",133,384,690,853,2332,712.42,417.2
"8","sQ4","r2",177,567,968,1439.5,2488,1051.07,561.91
"9","sQ1","r3",43,104,218,563,4271,452.74,648.02
"10","sQ2","r3",90,243.5,433,783,4387,699.58,854.99
"11","sQ3","r3",132,398,675,925,4486,1061.5,1205.3
"12","sQ4","r3",182,719,948,1149.75,4577,1324.43,1202.53
