"","siteQuota","radius","minimum","q0.25","median","q0.75","maximum","mean","standardDeviation"
"1","sQ1","r1",39,199,319,550,5628,614.15,970.77
"2","sQ2","r1",189,306,520,733,2426,672.52,486.35
"3","sQ3","r1",647,786,802,1084,2604,1120.83,676.48
"4","sQ4","r1",1042,1042,1042,1042,1042,1042,0
"5","sQ1","r2",39,173,291,556,5628,579.79,885.96
"6","sQ2","r2",118,298,478,734.5,6652,813.74,1237.87
"7","sQ3","r2",196,375,605,879,3417,734.6,465.73
"8","sQ4","r2",240,683,959.5,1379,3808,1117.79,619.43
"9","sQ1","r3",39,164,295,566,5628,524.45,695.44
"10","sQ2","r3",121,314,480.5,901,6652,913.28,1164
"11","sQ3","r3",165,439.5,663,1074,6808,1169.91,1550.15
"12","sQ4","r3",234,614,968.5,1296,4870,1263.04,1108.33
