"","siteQuota","radius","minimum","q0.25","median","q0.75","maximum","mean","standardDeviation"
"1","sQ1","r1",46,113,240,405.25,4271,514.01,833.9
"2","sQ2","r1",134,240,382,719,1999,531.68,407.25
"3","sQ3","r1",485,620,626,774,2139,928.8,612.59
"4","sQ4","r1",NA,NA,NA,NA,NA,NA,NA
"5","sQ1","r2",43,119,231,433,4271,476.72,772.51
"6","sQ2","r2",91,257,380,654,3788,636.18,772.13
"7","sQ3","r2",142,326.5,620,832.5,2831,631.9,410.24
"8","sQ4","r2",177,642,915,1138,3013,992.81,516.31
"9","sQ1","r3",43,107,204,433,4271,420.79,616.06
"10","sQ2","r3",87,186,379,682,4387,642.21,811.95
"11","sQ3","r3",131,270,571,853,4486,908.74,1094.34
"12","sQ4","r3",173,567,887,1005,4577,1150.31,1091.59
